ED,Reported As,Reporting,John A. Jasilli (Conservative),John A. Jasilli (Republican),Jo Anne Simon (Democratic),Scattered,Pete Sikora (Working Families),Total Votes,John A. Jasilli RECAP,Jo Anne Simon RECAP,Scattered RECAP,Pete Sikora RECAP,p_John A. Jasilli (Conservative),p_John A. Jasilli (Republican),p_Jo Anne Simon (Democratic),p_Scattered,p_Pete Sikora (Working Families),p_John A. Jasilli RECAP,p_Jo Anne Simon RECAP,p_Scattered RECAP,p_Pete Sikora RECAP,winner,winner_p
52001,52001,100,3,11,95,2,25,136,14,95,2,25,0.022058823529411766,0.08088235294117647,0.6985294117647058,0.014705882352941176,0.18382352941176472,0.10294117647058823,0.6985294117647058,0.014705882352941176,0.18382352941176472,Jo Anne Simon RECAP,0.6985294117647058
52002,52002,100,2,11,73,0,26,112,13,73,0,26,0.017857142857142856,0.09821428571428571,0.6517857142857143,0.0,0.23214285714285715,0.11607142857142858,0.6517857142857143,0.0,0.23214285714285715,Jo Anne Simon RECAP,0.6517857142857143
52003,52003,100,2,6,41,0,14,63,8,41,0,14,0.031746031746031744,0.09523809523809523,0.6507936507936508,0.0,0.2222222222222222,0.12698412698412698,0.6507936507936508,0.0,0.2222222222222222,Jo Anne Simon RECAP,0.6507936507936508
52004,52004,100,2,16,96,0,23,137,18,96,0,23,0.014598540145985401,0.11678832116788321,0.7007299270072993,0.0,0.1678832116788321,0.13138686131386862,0.7007299270072993,0.0,0.1678832116788321,Jo Anne Simon RECAP,0.7007299270072993
52005,52005,100,2,12,103,0,16,133,14,103,0,16,0.015037593984962405,0.09022556390977443,0.7744360902255639,0.0,0.12030075187969924,0.10526315789473684,0.7744360902255639,0.0,0.12030075187969924,Jo Anne Simon RECAP,0.7744360902255639
52006,52006,100,2,3,51,0,14,70,5,51,0,14,0.02857142857142857,0.04285714285714286,0.7285714285714285,0.0,0.2,0.07142857142857142,0.7285714285714285,0.0,0.2,Jo Anne Simon RECAP,0.7285714285714285
52007,52007,100,6,39,276,0,67,388,45,276,0,67,0.015463917525773196,0.10051546391752578,0.711340206185567,0.0,0.17268041237113402,0.11597938144329897,0.711340206185567,0.0,0.17268041237113402,Jo Anne Simon RECAP,0.711340206185567
52008,52008,100,7,45,292,0,60,404,52,292,0,60,0.017326732673267328,0.11138613861386139,0.7227722772277227,0.0,0.1485148514851485,0.12871287128712872,0.7227722772277227,0.0,0.1485148514851485,Jo Anne Simon RECAP,0.7227722772277227
52009,52009,100,8,24,216,0,57,305,32,216,0,57,0.02622950819672131,0.07868852459016394,0.7081967213114754,0.0,0.18688524590163935,0.10491803278688525,0.7081967213114754,0.0,0.18688524590163935,Jo Anne Simon RECAP,0.7081967213114754
52010,52010,100,4,37,332,1,50,424,41,332,1,50,0.009433962264150943,0.08726415094339622,0.7830188679245284,0.0023584905660377358,0.1179245283018868,0.09669811320754718,0.7830188679245284,0.0023584905660377358,0.1179245283018868,Jo Anne Simon RECAP,0.7830188679245284
