ED,Reported As,Reporting,Maritza Davila (Democratic),Scattered,Total Votes,Maritza Davila RECAP,Scattered RECAP,p_Maritza Davila (Democratic),p_Scattered,p_Maritza Davila RECAP,p_Scattered RECAP,winner,winner_p
53001,53001,100,132,1,133,132,1,0.9924812030075187,0.007518796992481203,0.9924812030075187,0.007518796992481203,Maritza Davila RECAP,0.9924812030075187
53002,53002,100,110,1,111,110,1,0.990990990990991,0.009009009009009009,0.990990990990991,0.009009009009009009,Maritza Davila RECAP,0.990990990990991
53003,53003,100,128,0,128,128,0,1.0,0.0,1.0,0.0,Maritza Davila RECAP,1.0
53004,53004,100,105,4,109,105,4,0.963302752293578,0.03669724770642202,0.963302752293578,0.03669724770642202,Maritza Davila RECAP,0.963302752293578
53005,53005,100,117,0,117,117,0,1.0,0.0,1.0,0.0,Maritza Davila RECAP,1.0
53006,53006,100,20,0,20,20,0,1.0,0.0,1.0,0.0,Maritza Davila RECAP,1.0
53007,53007,100,139,0,139,139,0,1.0,0.0,1.0,0.0,Maritza Davila RECAP,1.0
53008,53008,100,86,0,86,86,0,1.0,0.0,1.0,0.0,Maritza Davila RECAP,1.0
53009,53009,100,143,1,144,143,1,0.9930555555555556,0.006944444444444444,0.9930555555555556,0.006944444444444444,Maritza Davila RECAP,0.9930555555555556
53010,53010,100,126,0,126,126,0,1.0,0.0,1.0,0.0,Maritza Davila RECAP,1.0
53011,53011,100,160,2,162,160,2,0.9876543209876543,0.012345679012345678,0.9876543209876543,0.012345679012345678,Maritza Davila RECAP,0.9876543209876543
53012,53012,100,143,1,144,143,1,0.9930555555555556,0.006944444444444444,0.9930555555555556,0.006944444444444444,Maritza Davila RECAP,0.9930555555555556
53013,53013,100,88,0,88,88,0,1.0,0.0,1.0,0.0,Maritza Davila RECAP,1.0
53014,53014,100,1,0,1,1,0,1.0,0.0,1.0,0.0,Maritza Davila RECAP,1.0
53015,53015,100,154,0,154,154,0,1.0,0.0,1.0,0.0,Maritza Davila RECAP,1.0
53016,53016,100,129,1,130,129,1,0.9923076923076923,0.007692307692307693,0.9923076923076923,0.007692307692307693,Maritza Davila RECAP,0.9923076923076923
53017,53017,100,136,2,138,136,2,0.9855072463768116,0.014492753623188406,0.9855072463768116,0.014492753623188406,Maritza Davila RECAP,0.9855072463768116
53018,53018,100,102,1,103,102,1,0.9902912621359223,0.009708737864077669,0.9902912621359223,0.009708737864077669,Maritza Davila RECAP,0.9902912621359223
53019,53019,100,203,0,203,203,0,1.0,0.0,1.0,0.0,Maritza Davila RECAP,1.0
53020,53020,100,165,3,168,165,3,0.9821428571428571,0.017857142857142856,0.9821428571428571,0.017857142857142856,Maritza Davila RECAP,0.9821428571428571
53021,53021,100,176,1,177,176,1,0.9943502824858758,0.005649717514124294,0.9943502824858758,0.005649717514124294,Maritza Davila RECAP,0.9943502824858758
53022,53022,100,150,0,150,150,0,1.0,0.0,1.0,0.0,Maritza Davila RECAP,1.0
53023,53023,100,104,2,106,104,2,0.9811320754716981,0.018867924528301886,0.9811320754716981,0.018867924528301886,Maritza Davila RECAP,0.9811320754716981
53024,53024,100,243,0,243,243,0,1.0,0.0,1.0,0.0,Maritza Davila RECAP,1.0
53025,53025,100,219,0,219,219,0,1.0,0.0,1.0,0.0,Maritza Davila RECAP,1.0
53026,53026,100,104,0,104,104,0,1.0,0.0,1.0,0.0,Maritza Davila RECAP,1.0
53027,53027,100,110,0,110,110,0,1.0,0.0,1.0,0.0,Maritza Davila RECAP,1.0
53028,53028,100,143,0,143,143,0,1.0,0.0,1.0,0.0,Maritza Davila RECAP,1.0
53029,53029,100,71,0,71,71,0,1.0,0.0,1.0,0.0,Maritza Davila RECAP,1.0
53030,53030,100,166,1,167,166,1,0.9940119760479041,0.005988023952095809,0.9940119760479041,0.005988023952095809,Maritza Davila RECAP,0.9940119760479041
53031,53031,100,162,0,162,162,0,1.0,0.0,1.0,0.0,Maritza Davila RECAP,1.0
53032,53032,100,138,1,139,138,1,0.9928057553956835,0.007194244604316547,0.9928057553956835,0.007194244604316547,Maritza Davila RECAP,0.9928057553956835
53033,53033,100,139,3,142,139,3,0.9788732394366197,0.02112676056338028,0.9788732394366197,0.02112676056338028,Maritza Davila RECAP,0.9788732394366197
53034,53034,100,94,0,94,94,0,1.0,0.0,1.0,0.0,Maritza Davila RECAP,1.0
53035,53035,100,187,3,190,187,3,0.9842105263157894,0.015789473684210527,0.9842105263157894,0.015789473684210527,Maritza Davila RECAP,0.9842105263157894
53036,53036,100,224,3,227,224,3,0.986784140969163,0.013215859030837005,0.986784140969163,0.013215859030837005,Maritza Davila RECAP,0.986784140969163
53037,53037,100,110,2,112,110,2,0.9821428571428571,0.017857142857142856,0.9821428571428571,0.017857142857142856,Maritza Davila RECAP,0.9821428571428571
53038,53038,100,44,0,44,44,0,1.0,0.0,1.0,0.0,Maritza Davila RECAP,1.0
53039,53039,100,81,0,81,81,0,1.0,0.0,1.0,0.0,Maritza Davila RECAP,1.0
53040,53040,100,75,0,75,75,0,1.0,0.0,1.0,0.0,Maritza Davila RECAP,1.0
53041,53041,100,142,0,142,142,0,1.0,0.0,1.0,0.0,Maritza Davila RECAP,1.0
53042,53042,100,125,0,125,125,0,1.0,0.0,1.0,0.0,Maritza Davila RECAP,1.0
53043,53043,100,121,0,121,121,0,1.0,0.0,1.0,0.0,Maritza Davila RECAP,1.0
53044,53044,100,116,1,117,116,1,0.9914529914529915,0.008547008547008548,0.9914529914529915,0.008547008547008548,Maritza Davila RECAP,0.9914529914529915
53045,53045,100,156,1,157,156,1,0.9936305732484076,0.006369426751592357,0.9936305732484076,0.006369426751592357,Maritza Davila RECAP,0.9936305732484076
53046,53046,100,125,2,127,125,2,0.984251968503937,0.015748031496062992,0.984251968503937,0.015748031496062992,Maritza Davila RECAP,0.984251968503937
53047,53047,100,131,2,133,131,2,0.9849624060150376,0.015037593984962405,0.9849624060150376,0.015037593984962405,Maritza Davila RECAP,0.9849624060150376
