ED,Reported As,Reporting,Erik Martin Dilan (Democratic),Khorshed A. Chowdhury (Republican),Scattered,Kimberly Council (Working Families),Khorshed A. Chowdhury (Conservative),Total Votes,Erik Martin Dilan RECAP,Khorshed A. Chowdhury RECAP,Scattered RECAP,Kimberly Council RECAP,p_Erik Martin Dilan (Democratic),p_Khorshed A. Chowdhury (Republican),p_Scattered,p_Kimberly Council (Working Families),p_Khorshed A. Chowdhury (Conservative),p_Erik Martin Dilan RECAP,p_Khorshed A. Chowdhury RECAP,p_Scattered RECAP,p_Kimberly Council RECAP,winner,winner_p
54001,54001,100,40,0,0,1,0,41,40,0,0,1,0.975609756097561,0.0,0.0,0.024390243902439025,0.0,0.975609756097561,0.0,0.0,0.024390243902439025,Erik Martin Dilan RECAP,0.975609756097561
54002,54002,100,64,2,0,1,0,67,64,2,0,1,0.9552238805970149,0.029850746268656716,0.0,0.014925373134328358,0.0,0.9552238805970149,0.029850746268656716,0.0,0.014925373134328358,Erik Martin Dilan RECAP,0.9552238805970149
54003,54003,100,76,9,1,9,1,96,76,10,1,9,0.7916666666666666,0.09375,0.010416666666666666,0.09375,0.010416666666666666,0.7916666666666666,0.10416666666666667,0.010416666666666666,0.09375,Erik Martin Dilan RECAP,0.7916666666666666
54004,54004,100,85,16,0,4,6,111,85,22,0,4,0.7657657657657657,0.14414414414414414,0.0,0.036036036036036036,0.05405405405405406,0.7657657657657657,0.1981981981981982,0.0,0.036036036036036036,Erik Martin Dilan RECAP,0.7657657657657657
54005,54005,100,14,1,0,0,0,15,14,1,0,0,0.9333333333333333,0.06666666666666667,0.0,0.0,0.0,0.9333333333333333,0.06666666666666667,0.0,0.0,Erik Martin Dilan RECAP,0.9333333333333333
54006,54006,100,18,2,0,1,2,23,18,4,0,1,0.782608695652174,0.08695652173913043,0.0,0.043478260869565216,0.08695652173913043,0.782608695652174,0.17391304347826086,0.0,0.043478260869565216,Erik Martin Dilan RECAP,0.782608695652174
54007,54007,100,139,1,0,28,0,168,139,1,0,28,0.8273809523809523,0.005952380952380952,0.0,0.16666666666666666,0.0,0.8273809523809523,0.005952380952380952,0.0,0.16666666666666666,Erik Martin Dilan RECAP,0.8273809523809523
54008,54008,100,142,1,1,4,0,148,142,1,1,4,0.9594594594594594,0.006756756756756757,0.006756756756756757,0.02702702702702703,0.0,0.9594594594594594,0.006756756756756757,0.006756756756756757,0.02702702702702703,Erik Martin Dilan RECAP,0.9594594594594594
54009,54009,100,72,3,0,11,2,88,72,5,0,11,0.8181818181818182,0.03409090909090909,0.0,0.125,0.022727272727272728,0.8181818181818182,0.056818181818181816,0.0,0.125,Erik Martin Dilan RECAP,0.8181818181818182
54010,54010,100,98,0,0,2,1,101,98,1,0,2,0.9702970297029703,0.0,0.0,0.019801980198019802,0.009900990099009901,0.9702970297029703,0.009900990099009901,0.0,0.019801980198019802,Erik Martin Dilan RECAP,0.9702970297029703
