ED,Reported As,Reporting,Latrice Monique Walker (Democratic),Lori A. Boozer (Working Families),Berneda Jackson (Republican),Scattered,Total Votes,Latrice Monique Walker RECAP,Lori A. Boozer RECAP,Berneda Jackson RECAP,Scattered RECAP,p_Latrice Monique Walker (Democratic),p_Lori A. Boozer (Working Families),p_Berneda Jackson (Republican),p_Scattered,p_Latrice Monique Walker RECAP,p_Lori A. Boozer RECAP,p_Berneda Jackson RECAP,p_Scattered RECAP,winner,winner_p
55003,55003,100,30,4,0,0,34,30,4,0,0,0.8823529411764706,0.11764705882352941,0.0,0.0,0.8823529411764706,0.11764705882352941,0.0,0.0,Latrice Monique Walker RECAP,0.8823529411764706
55001,55003,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
55002,55002,100,51,10,2,0,63,51,10,2,0,0.8095238095238095,0.15873015873015872,0.031746031746031744,0.0,0.8095238095238095,0.15873015873015872,0.031746031746031744,0.0,Latrice Monique Walker RECAP,0.8095238095238095
55004,55004,100,193,23,8,0,224,193,23,8,0,0.8616071428571429,0.10267857142857142,0.03571428571428571,0.0,0.8616071428571429,0.10267857142857142,0.03571428571428571,0.0,Latrice Monique Walker RECAP,0.8616071428571429
55005,55005,100,20,0,0,0,20,20,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Latrice Monique Walker RECAP,1.0
55006,55006,100,126,6,2,0,134,126,6,2,0,0.9402985074626866,0.04477611940298507,0.014925373134328358,0.0,0.9402985074626866,0.04477611940298507,0.014925373134328358,0.0,Latrice Monique Walker RECAP,0.9402985074626866
55007,55007,100,123,9,9,0,141,123,9,9,0,0.8723404255319149,0.06382978723404255,0.06382978723404255,0.0,0.8723404255319149,0.06382978723404255,0.06382978723404255,0.0,Latrice Monique Walker RECAP,0.8723404255319149
55008,55008,100,29,5,0,0,34,29,5,0,0,0.8529411764705882,0.14705882352941177,0.0,0.0,0.8529411764705882,0.14705882352941177,0.0,0.0,Latrice Monique Walker RECAP,0.8529411764705882
55009,55009,100,128,4,6,0,138,128,4,6,0,0.927536231884058,0.028985507246376812,0.043478260869565216,0.0,0.927536231884058,0.028985507246376812,0.043478260869565216,0.0,Latrice Monique Walker RECAP,0.927536231884058
55010,55010,100,165,13,5,0,183,165,13,5,0,0.9016393442622951,0.07103825136612021,0.0273224043715847,0.0,0.9016393442622951,0.07103825136612021,0.0273224043715847,0.0,Latrice Monique Walker RECAP,0.9016393442622951
55011,55011,100,161,16,3,0,180,161,16,3,0,0.8944444444444445,0.08888888888888889,0.016666666666666666,0.0,0.8944444444444445,0.08888888888888889,0.016666666666666666,0.0,Latrice Monique Walker RECAP,0.8944444444444445
55012,55012,100,172,20,5,0,197,172,20,5,0,0.8730964467005076,0.10152284263959391,0.025380710659898477,0.0,0.8730964467005076,0.10152284263959391,0.025380710659898477,0.0,Latrice Monique Walker RECAP,0.8730964467005076
55013,55013,100,7,0,0,0,7,7,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Latrice Monique Walker RECAP,1.0
