ED,Reported As,Reporting,Annette M. Robinson (Democratic),Scattered,Garnsey Lee Alston (Republican),Total Votes,Annette M. Robinson RECAP,Scattered RECAP,Garnsey Lee Alston RECAP,p_Annette M. Robinson (Democratic),p_Scattered,p_Garnsey Lee Alston (Republican),p_Annette M. Robinson RECAP,p_Scattered RECAP,p_Garnsey Lee Alston RECAP,winner,winner_p
56001,56001,100,130,0,2,132,130,0,2,0.9848484848484849,0.0,0.015151515151515152,0.9848484848484849,0.0,0.015151515151515152,Annette M. Robinson RECAP,0.9848484848484849
56002,56002,100,89,0,3,92,89,0,3,0.967391304347826,0.0,0.03260869565217391,0.967391304347826,0.0,0.03260869565217391,Annette M. Robinson RECAP,0.967391304347826
56003,56003,100,84,0,1,85,84,0,1,0.9882352941176471,0.0,0.011764705882352941,0.9882352941176471,0.0,0.011764705882352941,Annette M. Robinson RECAP,0.9882352941176471
56004,56004,100,104,0,2,106,104,0,2,0.9811320754716981,0.0,0.018867924528301886,0.9811320754716981,0.0,0.018867924528301886,Annette M. Robinson RECAP,0.9811320754716981
56005,56005,100,117,0,3,120,117,0,3,0.975,0.0,0.025,0.975,0.0,0.025,Annette M. Robinson RECAP,0.975
56006,56006,100,124,0,3,127,124,0,3,0.9763779527559056,0.0,0.023622047244094488,0.9763779527559056,0.0,0.023622047244094488,Annette M. Robinson RECAP,0.9763779527559056
56007,56007,100,143,0,5,148,143,0,5,0.9662162162162162,0.0,0.033783783783783786,0.9662162162162162,0.0,0.033783783783783786,Annette M. Robinson RECAP,0.9662162162162162
56008,56008,100,169,0,2,171,169,0,2,0.9883040935672515,0.0,0.011695906432748537,0.9883040935672515,0.0,0.011695906432748537,Annette M. Robinson RECAP,0.9883040935672515
56009,56009,100,75,0,0,75,75,0,0,1.0,0.0,0.0,1.0,0.0,0.0,Annette M. Robinson RECAP,1.0
56010,56010,100,150,0,7,157,150,0,7,0.9554140127388535,0.0,0.044585987261146494,0.9554140127388535,0.0,0.044585987261146494,Annette M. Robinson RECAP,0.9554140127388535
56011,56011,100,138,1,5,144,138,1,5,0.9583333333333334,0.006944444444444444,0.034722222222222224,0.9583333333333334,0.006944444444444444,0.034722222222222224,Annette M. Robinson RECAP,0.9583333333333334
56012,56012,100,207,0,4,211,207,0,4,0.981042654028436,0.0,0.018957345971563982,0.981042654028436,0.0,0.018957345971563982,Annette M. Robinson RECAP,0.981042654028436
56013,56013,100,155,0,4,159,155,0,4,0.9748427672955975,0.0,0.025157232704402517,0.9748427672955975,0.0,0.025157232704402517,Annette M. Robinson RECAP,0.9748427672955975
56014,56014,100,188,0,7,195,188,0,7,0.9641025641025641,0.0,0.035897435897435895,0.9641025641025641,0.0,0.035897435897435895,Annette M. Robinson RECAP,0.9641025641025641
56015,56015,100,181,0,2,183,181,0,2,0.9890710382513661,0.0,0.01092896174863388,0.9890710382513661,0.0,0.01092896174863388,Annette M. Robinson RECAP,0.9890710382513661
56016,56016,100,249,0,12,261,249,0,12,0.9540229885057471,0.0,0.04597701149425287,0.9540229885057471,0.0,0.04597701149425287,Annette M. Robinson RECAP,0.9540229885057471
56017,56017,100,105,0,3,108,105,0,3,0.9722222222222222,0.0,0.027777777777777776,0.9722222222222222,0.0,0.027777777777777776,Annette M. Robinson RECAP,0.9722222222222222
56018,56018,100,203,1,0,204,203,1,0,0.9950980392156863,0.004901960784313725,0.0,0.9950980392156863,0.004901960784313725,0.0,Annette M. Robinson RECAP,0.9950980392156863
56019,56019,100,204,0,5,209,204,0,5,0.9760765550239234,0.0,0.023923444976076555,0.9760765550239234,0.0,0.023923444976076555,Annette M. Robinson RECAP,0.9760765550239234
56020,56020,100,94,0,3,97,94,0,3,0.9690721649484536,0.0,0.030927835051546393,0.9690721649484536,0.0,0.030927835051546393,Annette M. Robinson RECAP,0.9690721649484536
56021,56021,100,169,0,3,172,169,0,3,0.9825581395348837,0.0,0.01744186046511628,0.9825581395348837,0.0,0.01744186046511628,Annette M. Robinson RECAP,0.9825581395348837
