ED,Reported As,Reporting,Scattered,Walter T. Mosley III (Democratic),Total Votes,Scattered RECAP,Walter T. Mosley III RECAP,p_Scattered,p_Walter T. Mosley III (Democratic),p_Scattered RECAP,p_Walter T. Mosley III RECAP,winner,winner_p
57001,57001,100,0,123,123,0,123,0.0,1.0,0.0,1.0,Walter T. Mosley III RECAP,1.0
57002,57002,100,0,148,148,0,148,0.0,1.0,0.0,1.0,Walter T. Mosley III RECAP,1.0
57003,57003,100,0,149,149,0,149,0.0,1.0,0.0,1.0,Walter T. Mosley III RECAP,1.0
57004,57004,100,1,69,70,1,69,0.014285714285714285,0.9857142857142858,0.014285714285714285,0.9857142857142858,Walter T. Mosley III RECAP,0.9857142857142858
57005,57005,100,0,41,41,0,41,0.0,1.0,0.0,1.0,Walter T. Mosley III RECAP,1.0
57006,57006,100,0,167,167,0,167,0.0,1.0,0.0,1.0,Walter T. Mosley III RECAP,1.0
57007,57007,100,1,155,156,1,155,0.00641025641025641,0.9935897435897436,0.00641025641025641,0.9935897435897436,Walter T. Mosley III RECAP,0.9935897435897436
57008,57008,100,0,123,123,0,123,0.0,1.0,0.0,1.0,Walter T. Mosley III RECAP,1.0
57009,57009,100,3,155,158,3,155,0.0189873417721519,0.9810126582278481,0.0189873417721519,0.9810126582278481,Walter T. Mosley III RECAP,0.9810126582278481
57010,57010,100,0,255,255,0,255,0.0,1.0,0.0,1.0,Walter T. Mosley III RECAP,1.0
57011,57011,100,3,237,240,3,237,0.0125,0.9875,0.0125,0.9875,Walter T. Mosley III RECAP,0.9875
57012,57012,100,0,175,175,0,175,0.0,1.0,0.0,1.0,Walter T. Mosley III RECAP,1.0
57013,57013,100,0,63,63,0,63,0.0,1.0,0.0,1.0,Walter T. Mosley III RECAP,1.0
57014,57014,100,2,103,105,2,103,0.01904761904761905,0.9809523809523809,0.01904761904761905,0.9809523809523809,Walter T. Mosley III RECAP,0.9809523809523809
57015,57015,100,2,218,220,2,218,0.00909090909090909,0.990909090909091,0.00909090909090909,0.990909090909091,Walter T. Mosley III RECAP,0.990909090909091
57016,57016,100,2,279,281,2,279,0.0071174377224199285,0.9928825622775801,0.0071174377224199285,0.9928825622775801,Walter T. Mosley III RECAP,0.9928825622775801
57017,57017,100,0,353,353,0,353,0.0,1.0,0.0,1.0,Walter T. Mosley III RECAP,1.0
57018,57018,100,0,385,385,0,385,0.0,1.0,0.0,1.0,Walter T. Mosley III RECAP,1.0
57019,57019,100,3,26,29,3,26,0.10344827586206896,0.896551724137931,0.10344827586206896,0.896551724137931,Walter T. Mosley III RECAP,0.896551724137931
57020,57019,100,0,0,0,0,0,0,0,0,0,n/a,0
57021,57021,100,3,198,201,3,198,0.014925373134328358,0.9850746268656716,0.014925373134328358,0.9850746268656716,Walter T. Mosley III RECAP,0.9850746268656716
57022,57022,100,0,171,171,0,171,0.0,1.0,0.0,1.0,Walter T. Mosley III RECAP,1.0
57023,57023,100,0,35,35,0,35,0.0,1.0,0.0,1.0,Walter T. Mosley III RECAP,1.0
57024,57024,100,1,267,268,1,267,0.0037313432835820895,0.996268656716418,0.0037313432835820895,0.996268656716418,Walter T. Mosley III RECAP,0.996268656716418
57025,57025,100,3,208,211,3,208,0.014218009478672985,0.985781990521327,0.014218009478672985,0.985781990521327,Walter T. Mosley III RECAP,0.985781990521327
57026,57026,100,3,274,277,3,274,0.010830324909747292,0.9891696750902527,0.010830324909747292,0.9891696750902527,Walter T. Mosley III RECAP,0.9891696750902527
57027,57027,100,0,206,206,0,206,0.0,1.0,0.0,1.0,Walter T. Mosley III RECAP,1.0
57028,57028,100,2,212,214,2,212,0.009345794392523364,0.9906542056074766,0.009345794392523364,0.9906542056074766,Walter T. Mosley III RECAP,0.9906542056074766
57029,57029,100,5,226,231,5,226,0.021645021645021644,0.9783549783549783,0.021645021645021644,0.9783549783549783,Walter T. Mosley III RECAP,0.9783549783549783
57030,57030,100,0,266,266,0,266,0.0,1.0,0.0,1.0,Walter T. Mosley III RECAP,1.0
57031,57031,100,1,421,422,1,421,0.002369668246445498,0.9976303317535545,0.002369668246445498,0.9976303317535545,Walter T. Mosley III RECAP,0.9976303317535545
57032,57032,100,0,113,113,0,113,0.0,1.0,0.0,1.0,Walter T. Mosley III RECAP,1.0
57033,57033,100,0,190,190,0,190,0.0,1.0,0.0,1.0,Walter T. Mosley III RECAP,1.0
57034,57034,100,0,357,357,0,357,0.0,1.0,0.0,1.0,Walter T. Mosley III RECAP,1.0
57035,57035,100,1,271,272,1,271,0.003676470588235294,0.9963235294117647,0.003676470588235294,0.9963235294117647,Walter T. Mosley III RECAP,0.9963235294117647
57036,57036,100,0,233,233,0,233,0.0,1.0,0.0,1.0,Walter T. Mosley III RECAP,1.0
57037,57037,100,1,194,195,1,194,0.005128205128205128,0.9948717948717949,0.005128205128205128,0.9948717948717949,Walter T. Mosley III RECAP,0.9948717948717949
57038,57038,100,2,260,262,2,260,0.007633587786259542,0.9923664122137404,0.007633587786259542,0.9923664122137404,Walter T. Mosley III RECAP,0.9923664122137404
57039,57039,100,0,299,299,0,299,0.0,1.0,0.0,1.0,Walter T. Mosley III RECAP,1.0
57040,57040,100,2,282,284,2,282,0.007042253521126761,0.9929577464788732,0.007042253521126761,0.9929577464788732,Walter T. Mosley III RECAP,0.9929577464788732
57041,57041,100,1,258,259,1,258,0.003861003861003861,0.9961389961389961,0.003861003861003861,0.9961389961389961,Walter T. Mosley III RECAP,0.9961389961389961
57042,57042,100,1,241,242,1,241,0.004132231404958678,0.9958677685950413,0.004132231404958678,0.9958677685950413,Walter T. Mosley III RECAP,0.9958677685950413
57043,57043,100,4,244,248,4,244,0.016129032258064516,0.9838709677419355,0.016129032258064516,0.9838709677419355,Walter T. Mosley III RECAP,0.9838709677419355
57044,57044,100,1,257,258,1,257,0.003875968992248062,0.9961240310077519,0.003875968992248062,0.9961240310077519,Walter T. Mosley III RECAP,0.9961240310077519
57045,57045,100,0,228,228,0,228,0.0,1.0,0.0,1.0,Walter T. Mosley III RECAP,1.0
57046,57046,100,0,135,135,0,135,0.0,1.0,0.0,1.0,Walter T. Mosley III RECAP,1.0
57047,57047,100,2,279,281,2,279,0.0071174377224199285,0.9928825622775801,0.0071174377224199285,0.9928825622775801,Walter T. Mosley III RECAP,0.9928825622775801
57048,57048,100,1,277,278,1,277,0.0035971223021582736,0.9964028776978417,0.0035971223021582736,0.9964028776978417,Walter T. Mosley III RECAP,0.9964028776978417
57049,57049,100,0,134,134,0,134,0.0,1.0,0.0,1.0,Walter T. Mosley III RECAP,1.0
57050,57050,100,0,295,295,0,295,0.0,1.0,0.0,1.0,Walter T. Mosley III RECAP,1.0
57051,57051,100,0,231,231,0,231,0.0,1.0,0.0,1.0,Walter T. Mosley III RECAP,1.0
57052,57052,100,2,204,206,2,204,0.009708737864077669,0.9902912621359223,0.009708737864077669,0.9902912621359223,Walter T. Mosley III RECAP,0.9902912621359223
