ED,Reported As,Reporting,Jeffrey J. Ferretti (Republican),Jeffrey J. Ferretti (Conservative),Scattered,Roxanne J. Persaud (Democratic),Total Votes,Jeffrey J. Ferretti RECAP,Scattered RECAP,Roxanne J. Persaud RECAP,p_Jeffrey J. Ferretti (Republican),p_Jeffrey J. Ferretti (Conservative),p_Scattered,p_Roxanne J. Persaud (Democratic),p_Jeffrey J. Ferretti RECAP,p_Scattered RECAP,p_Roxanne J. Persaud RECAP,winner,winner_p
59001,59001,100,6,0,0,111,117,6,0,111,0.05128205128205128,0.0,0.0,0.9487179487179487,0.05128205128205128,0.0,0.9487179487179487,Roxanne J. Persaud RECAP,0.9487179487179487
59002,59002,100,3,3,0,107,113,6,0,107,0.02654867256637168,0.02654867256637168,0.0,0.9469026548672567,0.05309734513274336,0.0,0.9469026548672567,Roxanne J. Persaud RECAP,0.9469026548672567
59003,59003,100,3,0,0,128,131,3,0,128,0.022900763358778626,0.0,0.0,0.9770992366412213,0.022900763358778626,0.0,0.9770992366412213,Roxanne J. Persaud RECAP,0.9770992366412213
59004,59004,100,4,2,0,129,135,6,0,129,0.02962962962962963,0.014814814814814815,0.0,0.9555555555555556,0.044444444444444446,0.0,0.9555555555555556,Roxanne J. Persaud RECAP,0.9555555555555556
59005,59005,100,5,3,0,235,243,8,0,235,0.0205761316872428,0.012345679012345678,0.0,0.9670781893004116,0.03292181069958848,0.0,0.9670781893004116,Roxanne J. Persaud RECAP,0.9670781893004116
59006,59006,100,3,1,1,299,304,4,1,299,0.009868421052631578,0.003289473684210526,0.003289473684210526,0.9835526315789473,0.013157894736842105,0.003289473684210526,0.9835526315789473,Roxanne J. Persaud RECAP,0.9835526315789473
59007,59007,100,4,3,0,181,188,7,0,181,0.02127659574468085,0.015957446808510637,0.0,0.9627659574468085,0.03723404255319149,0.0,0.9627659574468085,Roxanne J. Persaud RECAP,0.9627659574468085
59008,59008,100,5,2,1,154,162,7,1,154,0.030864197530864196,0.012345679012345678,0.006172839506172839,0.9506172839506173,0.043209876543209874,0.006172839506172839,0.9506172839506173,Roxanne J. Persaud RECAP,0.9506172839506173
59009,59009,100,0,0,0,3,3,0,0,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Roxanne J. Persaud RECAP,1.0
59010,59010,100,2,2,0,89,93,4,0,89,0.021505376344086023,0.021505376344086023,0.0,0.956989247311828,0.043010752688172046,0.0,0.956989247311828,Roxanne J. Persaud RECAP,0.956989247311828
59011,59011,100,8,5,0,196,209,13,0,196,0.03827751196172249,0.023923444976076555,0.0,0.937799043062201,0.06220095693779904,0.0,0.937799043062201,Roxanne J. Persaud RECAP,0.937799043062201
59012,59012,100,8,4,0,239,251,12,0,239,0.03187250996015936,0.01593625498007968,0.0,0.952191235059761,0.04780876494023904,0.0,0.952191235059761,Roxanne J. Persaud RECAP,0.952191235059761
