ED,Reported As,Reporting,Leroy R. Bates Sr. (Republican),Charles Barron (Democratic),Scattered,Leroy R. Bates Sr. (Conservative),Total Votes,Leroy R. Bates Sr. RECAP,Charles Barron RECAP,Scattered RECAP,p_Leroy R. Bates Sr. (Republican),p_Charles Barron (Democratic),p_Scattered,p_Leroy R. Bates Sr. (Conservative),p_Leroy R. Bates Sr. RECAP,p_Charles Barron RECAP,p_Scattered RECAP,winner,winner_p
60001,60001,100,2,164,0,2,168,4,164,0,0.011904761904761904,0.9761904761904762,0.0,0.011904761904761904,0.023809523809523808,0.9761904761904762,0.0,Charles Barron RECAP,0.9761904761904762
60002,60002,100,7,169,0,5,181,12,169,0,0.03867403314917127,0.9337016574585635,0.0,0.027624309392265192,0.06629834254143646,0.9337016574585635,0.0,Charles Barron RECAP,0.9337016574585635
60003,60003,100,5,183,0,4,192,9,183,0,0.026041666666666668,0.953125,0.0,0.020833333333333332,0.046875,0.953125,0.0,Charles Barron RECAP,0.953125
60004,60004,100,8,132,0,2,142,10,132,0,0.056338028169014086,0.9295774647887324,0.0,0.014084507042253521,0.07042253521126761,0.9295774647887324,0.0,Charles Barron RECAP,0.9295774647887324
60005,60005,100,36,158,0,7,201,43,158,0,0.1791044776119403,0.7860696517412935,0.0,0.03482587064676617,0.21393034825870647,0.7860696517412935,0.0,Charles Barron RECAP,0.7860696517412935
60006,60006,100,2,43,0,0,45,2,43,0,0.044444444444444446,0.9555555555555556,0.0,0.0,0.044444444444444446,0.9555555555555556,0.0,Charles Barron RECAP,0.9555555555555556
60007,60007,100,4,244,0,3,251,7,244,0,0.01593625498007968,0.9721115537848606,0.0,0.01195219123505976,0.027888446215139442,0.9721115537848606,0.0,Charles Barron RECAP,0.9721115537848606
60008,60008,100,7,245,0,3,255,10,245,0,0.027450980392156862,0.9607843137254902,0.0,0.011764705882352941,0.0392156862745098,0.9607843137254902,0.0,Charles Barron RECAP,0.9607843137254902
60009,60009,100,1,121,0,0,122,1,121,0,0.00819672131147541,0.9918032786885246,0.0,0.0,0.00819672131147541,0.9918032786885246,0.0,Charles Barron RECAP,0.9918032786885246
60010,60010,100,2,108,0,0,110,2,108,0,0.01818181818181818,0.9818181818181818,0.0,0.0,0.01818181818181818,0.9818181818181818,0.0,Charles Barron RECAP,0.9818181818181818
60011,60011,100,1,12,0,0,13,1,12,0,0.07692307692307693,0.9230769230769231,0.0,0.0,0.07692307692307693,0.9230769230769231,0.0,Charles Barron RECAP,0.9230769230769231
60012,60012,100,5,99,0,1,105,6,99,0,0.047619047619047616,0.9428571428571428,0.0,0.009523809523809525,0.05714285714285714,0.9428571428571428,0.0,Charles Barron RECAP,0.9428571428571428
60013,60013,100,25,215,0,6,246,31,215,0,0.1016260162601626,0.8739837398373984,0.0,0.024390243902439025,0.12601626016260162,0.8739837398373984,0.0,Charles Barron RECAP,0.8739837398373984
60014,60014,100,4,211,0,5,220,9,211,0,0.01818181818181818,0.9590909090909091,0.0,0.022727272727272728,0.04090909090909091,0.9590909090909091,0.0,Charles Barron RECAP,0.9590909090909091
60015,60015,100,6,101,0,1,108,7,101,0,0.05555555555555555,0.9351851851851852,0.0,0.009259259259259259,0.06481481481481481,0.9351851851851852,0.0,Charles Barron RECAP,0.9351851851851852
60016,60016,100,1,64,0,0,65,1,64,0,0.015384615384615385,0.9846153846153847,0.0,0.0,0.015384615384615385,0.9846153846153847,0.0,Charles Barron RECAP,0.9846153846153847
60017,60017,100,20,208,0,7,235,27,208,0,0.0851063829787234,0.8851063829787233,0.0,0.029787234042553193,0.1148936170212766,0.8851063829787233,0.0,Charles Barron RECAP,0.8851063829787233
60018,60018,100,4,101,1,1,107,5,101,1,0.037383177570093455,0.9439252336448598,0.009345794392523364,0.009345794392523364,0.04672897196261682,0.9439252336448598,0.009345794392523364,Charles Barron RECAP,0.9439252336448598
60019,60019,100,1,54,0,2,57,3,54,0,0.017543859649122806,0.9473684210526315,0.0,0.03508771929824561,0.05263157894736842,0.9473684210526315,0.0,Charles Barron RECAP,0.9473684210526315
60020,60020,100,2,20,0,1,23,3,20,0,0.08695652173913043,0.8695652173913043,0.0,0.043478260869565216,0.13043478260869565,0.8695652173913043,0.0,Charles Barron RECAP,0.8695652173913043
60021,60021,100,8,151,0,3,162,11,151,0,0.04938271604938271,0.9320987654320988,0.0,0.018518518518518517,0.06790123456790123,0.9320987654320988,0.0,Charles Barron RECAP,0.9320987654320988
60022,60022,100,7,134,0,1,142,8,134,0,0.04929577464788732,0.9436619718309859,0.0,0.007042253521126761,0.056338028169014086,0.9436619718309859,0.0,Charles Barron RECAP,0.9436619718309859
60023,60023,100,0,35,0,0,35,0,35,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Charles Barron RECAP,1.0
60024,60024,100,2,117,0,3,122,5,117,0,0.01639344262295082,0.9590163934426229,0.0,0.02459016393442623,0.040983606557377046,0.9590163934426229,0.0,Charles Barron RECAP,0.9590163934426229
