ED,Reported As,Reporting,Daniel J. Cavanagh (Conservative),Yvette D. Clarke (Working Families),Yvette D. Clarke (Democratic),Scattered,Total Votes,Daniel J. Cavanagh RECAP,Yvette D. Clarke RECAP,Scattered RECAP,p_Daniel J. Cavanagh (Conservative),p_Yvette D. Clarke (Working Families),p_Yvette D. Clarke (Democratic),p_Scattered,p_Daniel J. Cavanagh RECAP,p_Yvette D. Clarke RECAP,p_Scattered RECAP,winner,winner_p
41001,41001,100,98,13,99,2,212,98,112,2,0.46226415094339623,0.06132075471698113,0.4669811320754717,0.009433962264150943,0.46226415094339623,0.5283018867924528,0.009433962264150943,Yvette D. Clarke RECAP,0.5283018867924528
41002,41002,100,109,11,117,0,237,109,128,0,0.459915611814346,0.046413502109704644,0.4936708860759494,0.0,0.459915611814346,0.540084388185654,0.0,Yvette D. Clarke RECAP,0.540084388185654
41003,41003,100,21,7,26,0,54,21,33,0,0.3888888888888889,0.12962962962962962,0.48148148148148145,0.0,0.3888888888888889,0.6111111111111112,0.0,Yvette D. Clarke RECAP,0.6111111111111112
41004,41004,100,52,19,58,0,129,52,77,0,0.40310077519379844,0.14728682170542637,0.4496124031007752,0.0,0.40310077519379844,0.5968992248062015,0.0,Yvette D. Clarke RECAP,0.5968992248062015
41005,41005,100,130,8,89,0,227,130,97,0,0.5726872246696035,0.03524229074889868,0.3920704845814978,0.0,0.5726872246696035,0.42731277533039647,0.0,Daniel J. Cavanagh RECAP,0.5726872246696035
41006,41006,100,63,15,79,0,157,63,94,0,0.4012738853503185,0.09554140127388536,0.5031847133757962,0.0,0.4012738853503185,0.5987261146496815,0.0,Yvette D. Clarke RECAP,0.5987261146496815
41007,41007,100,59,20,89,2,170,59,109,2,0.34705882352941175,0.11764705882352941,0.5235294117647059,0.011764705882352941,0.34705882352941175,0.6411764705882353,0.011764705882352941,Yvette D. Clarke RECAP,0.6411764705882353
41008,41008,100,80,7,87,0,174,80,94,0,0.45977011494252873,0.040229885057471264,0.5,0.0,0.45977011494252873,0.5402298850574713,0.0,Yvette D. Clarke RECAP,0.5402298850574713
41009,41009,100,66,2,66,1,135,66,68,1,0.4888888888888889,0.014814814814814815,0.4888888888888889,0.007407407407407408,0.4888888888888889,0.5037037037037037,0.007407407407407408,Yvette D. Clarke RECAP,0.5037037037037037
41010,41010,100,56,5,53,1,115,56,58,1,0.48695652173913045,0.043478260869565216,0.4608695652173913,0.008695652173913044,0.48695652173913045,0.5043478260869565,0.008695652173913044,Yvette D. Clarke RECAP,0.5043478260869565
41011,41011,100,30,3,32,0,65,30,35,0,0.46153846153846156,0.046153846153846156,0.49230769230769234,0.0,0.46153846153846156,0.5384615384615384,0.0,Yvette D. Clarke RECAP,0.5384615384615384
41012,41012,100,40,5,39,1,85,40,44,1,0.47058823529411764,0.058823529411764705,0.4588235294117647,0.011764705882352941,0.47058823529411764,0.5176470588235295,0.011764705882352941,Yvette D. Clarke RECAP,0.5176470588235295
41015,41015,100,29,5,19,1,54,29,24,1,0.5370370370370371,0.09259259259259259,0.35185185185185186,0.018518518518518517,0.5370370370370371,0.4444444444444444,0.018518518518518517,Daniel J. Cavanagh RECAP,0.5370370370370371
41013,41015,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
41014,41014,100,10,1,14,0,25,10,15,0,0.4,0.04,0.56,0.0,0.4,0.6,0.0,Yvette D. Clarke RECAP,0.6
41016,41016,100,103,16,115,0,234,103,131,0,0.44017094017094016,0.06837606837606838,0.49145299145299143,0.0,0.44017094017094016,0.5598290598290598,0.0,Yvette D. Clarke RECAP,0.5598290598290598
41017,41017,100,96,8,89,1,194,96,97,1,0.4948453608247423,0.041237113402061855,0.4587628865979381,0.005154639175257732,0.4948453608247423,0.5,0.005154639175257732,Yvette D. Clarke RECAP,0.5
41018,41018,100,95,9,49,2,155,95,58,2,0.6129032258064516,0.05806451612903226,0.3161290322580645,0.012903225806451613,0.6129032258064516,0.3741935483870968,0.012903225806451613,Daniel J. Cavanagh RECAP,0.6129032258064516
41019,41019,100,13,3,10,0,26,13,13,0,0.5,0.11538461538461539,0.38461538461538464,0.0,0.5,0.5,0.0,Tie,0.5
41020,41020,100,35,8,87,1,131,35,95,1,0.26717557251908397,0.061068702290076333,0.6641221374045801,0.007633587786259542,0.26717557251908397,0.7251908396946565,0.007633587786259542,Yvette D. Clarke RECAP,0.7251908396946565
41021,41021,100,48,14,120,2,184,48,134,2,0.2608695652173913,0.07608695652173914,0.6521739130434783,0.010869565217391304,0.2608695652173913,0.7282608695652174,0.010869565217391304,Yvette D. Clarke RECAP,0.7282608695652174
41024,41024,100,6,0,15,0,21,6,15,0,0.2857142857142857,0.0,0.7142857142857143,0.0,0.2857142857142857,0.7142857142857143,0.0,Yvette D. Clarke RECAP,0.7142857142857143
41025,41025,100,5,2,17,0,24,5,19,0,0.20833333333333334,0.08333333333333333,0.7083333333333334,0.0,0.20833333333333334,0.7916666666666666,0.0,Yvette D. Clarke RECAP,0.7916666666666666
41026,41026,100,0,0,25,0,25,0,25,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Yvette D. Clarke RECAP,1.0
