ED,Reported As,Reporting,Simcha Felder (Democratic),Scattered,Simcha Felder (Conservative),Total Votes,Simcha Felder RECAP,Scattered RECAP,p_Simcha Felder (Democratic),p_Scattered,p_Simcha Felder (Conservative),p_Simcha Felder RECAP,p_Scattered RECAP,winner,winner_p
41001,41001,100,134,1,94,229,228,1,0.5851528384279476,0.004366812227074236,0.4104803493449782,0.9956331877729258,0.004366812227074236,Simcha Felder RECAP,0.9956331877729258
41002,41002,100,144,2,91,237,235,2,0.6075949367088608,0.008438818565400843,0.38396624472573837,0.9915611814345991,0.008438818565400843,Simcha Felder RECAP,0.9915611814345991
41003,41003,100,42,0,19,61,61,0,0.6885245901639344,0.0,0.3114754098360656,1.0,0.0,Simcha Felder RECAP,1.0
41004,41004,100,69,2,58,129,127,2,0.5348837209302325,0.015503875968992248,0.4496124031007752,0.9844961240310077,0.015503875968992248,Simcha Felder RECAP,0.9844961240310077
41005,41005,100,139,0,114,253,253,0,0.549407114624506,0.0,0.4505928853754941,1.0,0.0,Simcha Felder RECAP,1.0
41006,41006,100,88,0,59,147,147,0,0.5986394557823129,0.0,0.4013605442176871,1.0,0.0,Simcha Felder RECAP,1.0
41007,41007,100,108,4,60,172,168,4,0.627906976744186,0.023255813953488372,0.3488372093023256,0.9767441860465116,0.023255813953488372,Simcha Felder RECAP,0.9767441860465116
41008,41008,100,124,2,70,196,194,2,0.6326530612244898,0.01020408163265306,0.35714285714285715,0.9897959183673469,0.01020408163265306,Simcha Felder RECAP,0.9897959183673469
41009,41009,100,96,1,54,151,150,1,0.6357615894039735,0.006622516556291391,0.3576158940397351,0.9933774834437086,0.006622516556291391,Simcha Felder RECAP,0.9933774834437086
41010,41010,100,65,2,46,113,111,2,0.5752212389380531,0.017699115044247787,0.40707964601769914,0.9823008849557522,0.017699115044247787,Simcha Felder RECAP,0.9823008849557522
41011,41011,100,39,0,24,63,63,0,0.6190476190476191,0.0,0.38095238095238093,1.0,0.0,Simcha Felder RECAP,1.0
41012,41012,100,51,0,40,91,91,0,0.5604395604395604,0.0,0.43956043956043955,1.0,0.0,Simcha Felder RECAP,1.0
41024,41024,100,16,0,6,22,22,0,0.7272727272727273,0.0,0.2727272727272727,1.0,0.0,Simcha Felder RECAP,1.0
41050,41050,100,150,4,84,238,234,4,0.6302521008403361,0.01680672268907563,0.35294117647058826,0.9831932773109243,0.01680672268907563,Simcha Felder RECAP,0.9831932773109243
41051,41051,100,42,0,12,54,54,0,0.7777777777777778,0.0,0.2222222222222222,1.0,0.0,Simcha Felder RECAP,1.0
41052,41052,100,57,2,29,88,86,2,0.6477272727272727,0.022727272727272728,0.32954545454545453,0.9772727272727273,0.022727272727272728,Simcha Felder RECAP,0.9772727272727273
41058,41058,100,142,4,108,254,250,4,0.5590551181102362,0.015748031496062992,0.4251968503937008,0.984251968503937,0.015748031496062992,Simcha Felder RECAP,0.984251968503937
41059,41059,100,113,1,80,194,193,1,0.5824742268041238,0.005154639175257732,0.41237113402061853,0.9948453608247423,0.005154639175257732,Simcha Felder RECAP,0.9948453608247423
42034,42034,100,110,10,16,136,126,10,0.8088235294117647,0.07352941176470588,0.11764705882352941,0.9264705882352942,0.07352941176470588,Simcha Felder RECAP,0.9264705882352942
42036,42036,100,216,10,70,296,286,10,0.7297297297297297,0.033783783783783786,0.23648648648648649,0.9662162162162162,0.033783783783783786,Simcha Felder RECAP,0.9662162162162162
42037,42037,100,83,9,9,101,92,9,0.8217821782178217,0.0891089108910891,0.0891089108910891,0.9108910891089109,0.0891089108910891,Simcha Felder RECAP,0.9108910891089109
42038,42038,100,128,3,101,232,229,3,0.5517241379310345,0.01293103448275862,0.4353448275862069,0.9870689655172413,0.01293103448275862,Simcha Felder RECAP,0.9870689655172413
42059,42059,100,61,0,41,102,102,0,0.5980392156862745,0.0,0.4019607843137255,1.0,0.0,Simcha Felder RECAP,1.0
42060,42060,100,11,0,13,24,24,0,0.4583333333333333,0.0,0.5416666666666666,1.0,0.0,Simcha Felder RECAP,1.0
42061,42061,100,102,0,55,157,157,0,0.6496815286624203,0.0,0.3503184713375796,1.0,0.0,Simcha Felder RECAP,1.0
42062,42062,100,65,1,55,121,120,1,0.5371900826446281,0.008264462809917356,0.45454545454545453,0.9917355371900827,0.008264462809917356,Simcha Felder RECAP,0.9917355371900827
42063,42063,100,140,2,83,225,223,2,0.6222222222222222,0.008888888888888889,0.3688888888888889,0.9911111111111112,0.008888888888888889,Simcha Felder RECAP,0.9911111111111112
42064,42064,100,177,0,86,263,263,0,0.6730038022813688,0.0,0.3269961977186312,1.0,0.0,Simcha Felder RECAP,1.0
42065,42065,100,113,0,86,199,199,0,0.5678391959798995,0.0,0.4321608040201005,1.0,0.0,Simcha Felder RECAP,1.0
42066,42066,100,77,0,48,125,125,0,0.616,0.0,0.384,1.0,0.0,Simcha Felder RECAP,1.0
42067,42067,100,96,1,27,124,123,1,0.7741935483870968,0.008064516129032258,0.21774193548387097,0.9919354838709677,0.008064516129032258,Simcha Felder RECAP,0.9919354838709677
44001,44001,100,240,4,65,309,305,4,0.7766990291262136,0.012944983818770227,0.21035598705501618,0.9870550161812298,0.012944983818770227,Simcha Felder RECAP,0.9870550161812298
44002,44002,100,309,4,89,402,398,4,0.7686567164179104,0.009950248756218905,0.22139303482587064,0.9900497512437811,0.009950248756218905,Simcha Felder RECAP,0.9900497512437811
