ED,Reported As,Reporting,Elias J. Weir (Conservative),Dell Smitherman (Working Families),Scattered,John L. Sampson (Democratic),Total Votes,Elias J. Weir RECAP,Dell Smitherman RECAP,Scattered RECAP,John L. Sampson RECAP,p_Elias J. Weir (Conservative),p_Dell Smitherman (Working Families),p_Scattered,p_John L. Sampson (Democratic),p_Elias J. Weir RECAP,p_Dell Smitherman RECAP,p_Scattered RECAP,p_John L. Sampson RECAP,winner,winner_p
41015,41015,100,28,4,0,21,53,28,4,0,21,0.5283018867924528,0.07547169811320754,0.0,0.39622641509433965,0.5283018867924528,0.07547169811320754,0.0,0.39622641509433965,Elias J. Weir RECAP,0.5283018867924528
41013,41015,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
41014,41014,100,7,2,0,16,25,7,2,0,16,0.28,0.08,0.0,0.64,0.28,0.08,0.0,0.64,John L. Sampson RECAP,0.64
41019,41019,100,11,6,0,8,25,11,6,0,8,0.44,0.24,0.0,0.32,0.44,0.24,0.0,0.32,Elias J. Weir RECAP,0.44
41020,41020,100,29,9,1,90,129,29,9,1,90,0.2248062015503876,0.06976744186046512,0.007751937984496124,0.6976744186046512,0.2248062015503876,0.06976744186046512,0.007751937984496124,0.6976744186046512,John L. Sampson RECAP,0.6976744186046512
41021,41021,100,37,13,0,123,173,37,13,0,123,0.2138728323699422,0.07514450867052024,0.0,0.7109826589595376,0.2138728323699422,0.07514450867052024,0.0,0.7109826589595376,John L. Sampson RECAP,0.7109826589595376
41022,41022,100,20,2,0,31,53,20,2,0,31,0.37735849056603776,0.03773584905660377,0.0,0.5849056603773585,0.37735849056603776,0.03773584905660377,0.0,0.5849056603773585,John L. Sampson RECAP,0.5849056603773585
41025,41025,100,6,2,0,15,23,6,2,0,15,0.2608695652173913,0.08695652173913043,0.0,0.6521739130434783,0.2608695652173913,0.08695652173913043,0.0,0.6521739130434783,John L. Sampson RECAP,0.6521739130434783
41026,41026,100,0,0,0,25,25,0,0,0,25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,John L. Sampson RECAP,1.0
41027,41027,100,15,11,0,101,127,15,11,0,101,0.11811023622047244,0.08661417322834646,0.0,0.7952755905511811,0.11811023622047244,0.08661417322834646,0.0,0.7952755905511811,John L. Sampson RECAP,0.7952755905511811
41028,41028,100,26,13,0,203,242,26,13,0,203,0.10743801652892562,0.05371900826446281,0.0,0.8388429752066116,0.10743801652892562,0.05371900826446281,0.0,0.8388429752066116,John L. Sampson RECAP,0.8388429752066116
41029,41029,100,0,0,0,5,5,0,0,0,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,John L. Sampson RECAP,1.0
41035,41035,100,56,18,0,99,173,56,18,0,99,0.3236994219653179,0.10404624277456648,0.0,0.5722543352601156,0.3236994219653179,0.10404624277456648,0.0,0.5722543352601156,John L. Sampson RECAP,0.5722543352601156
41042,41042,100,41,2,0,21,64,41,2,0,21,0.640625,0.03125,0.0,0.328125,0.640625,0.03125,0.0,0.328125,Elias J. Weir RECAP,0.640625
41057,41057,100,39,5,0,63,107,39,5,0,63,0.3644859813084112,0.04672897196261682,0.0,0.5887850467289719,0.3644859813084112,0.04672897196261682,0.0,0.5887850467289719,John L. Sampson RECAP,0.5887850467289719
