ED,Reported As,Reporting,Menachem M. Raitport (Conservative),Scattered,Jesse E. Hamilton (Democratic),Total Votes,Menachem M. Raitport RECAP,Scattered RECAP,Jesse E. Hamilton RECAP,p_Menachem M. Raitport (Conservative),p_Scattered,p_Jesse E. Hamilton (Democratic),p_Menachem M. Raitport RECAP,p_Scattered RECAP,p_Jesse E. Hamilton RECAP,winner,winner_p
42068,42068,100,0,0,121,121,0,0,121,0.0,0.0,1.0,0.0,0.0,1.0,Jesse E. Hamilton RECAP,1.0
43011,43011,100,31,0,134,165,31,0,134,0.18787878787878787,0.0,0.8121212121212121,0.18787878787878787,0.0,0.8121212121212121,Jesse E. Hamilton RECAP,0.8121212121212121
43013,43013,100,76,0,103,179,76,0,103,0.4245810055865922,0.0,0.5754189944134078,0.4245810055865922,0.0,0.5754189944134078,Jesse E. Hamilton RECAP,0.5754189944134078
43014,43014,100,7,2,225,234,7,2,225,0.029914529914529916,0.008547008547008548,0.9615384615384616,0.029914529914529916,0.008547008547008548,0.9615384615384616,Jesse E. Hamilton RECAP,0.9615384615384616
43015,43015,100,8,1,237,246,8,1,237,0.032520325203252036,0.0040650406504065045,0.9634146341463414,0.032520325203252036,0.0040650406504065045,0.9634146341463414,Jesse E. Hamilton RECAP,0.9634146341463414
43016,43016,100,4,0,309,313,4,0,309,0.012779552715654952,0.0,0.987220447284345,0.012779552715654952,0.0,0.987220447284345,Jesse E. Hamilton RECAP,0.987220447284345
43017,43017,100,2,1,119,122,2,1,119,0.01639344262295082,0.00819672131147541,0.9754098360655737,0.01639344262295082,0.00819672131147541,0.9754098360655737,Jesse E. Hamilton RECAP,0.9754098360655737
43018,43018,100,5,0,212,217,5,0,212,0.02304147465437788,0.0,0.9769585253456221,0.02304147465437788,0.0,0.9769585253456221,Jesse E. Hamilton RECAP,0.9769585253456221
43019,43019,100,0,0,209,209,0,0,209,0.0,0.0,1.0,0.0,0.0,1.0,Jesse E. Hamilton RECAP,1.0
43020,43020,100,8,1,307,316,8,1,307,0.02531645569620253,0.0031645569620253164,0.9715189873417721,0.02531645569620253,0.0031645569620253164,0.9715189873417721,Jesse E. Hamilton RECAP,0.9715189873417721
43021,43021,100,5,0,193,198,5,0,193,0.025252525252525252,0.0,0.9747474747474747,0.025252525252525252,0.0,0.9747474747474747,Jesse E. Hamilton RECAP,0.9747474747474747
43022,43022,100,1,0,243,244,1,0,243,0.004098360655737705,0.0,0.9959016393442623,0.004098360655737705,0.0,0.9959016393442623,Jesse E. Hamilton RECAP,0.9959016393442623
43023,43023,100,2,2,294,298,2,2,294,0.006711409395973154,0.006711409395973154,0.9865771812080537,0.006711409395973154,0.006711409395973154,0.9865771812080537,Jesse E. Hamilton RECAP,0.9865771812080537
43024,43024,100,2,0,184,186,2,0,184,0.010752688172043012,0.0,0.989247311827957,0.010752688172043012,0.0,0.989247311827957,Jesse E. Hamilton RECAP,0.989247311827957
43025,43025,100,2,0,318,320,2,0,318,0.00625,0.0,0.99375,0.00625,0.0,0.99375,Jesse E. Hamilton RECAP,0.99375
43026,43026,100,6,0,237,243,6,0,237,0.024691358024691357,0.0,0.9753086419753086,0.024691358024691357,0.0,0.9753086419753086,Jesse E. Hamilton RECAP,0.9753086419753086
43027,43027,100,1,0,222,223,1,0,222,0.004484304932735426,0.0,0.9955156950672646,0.004484304932735426,0.0,0.9955156950672646,Jesse E. Hamilton RECAP,0.9955156950672646
