ED,Reported As,Reporting,Kevin S. Parker (Democratic),Herman G. Hall (Conservative),Scattered,Kevin S. Parker (Working Families),Total Votes,Kevin S. Parker RECAP,Herman G. Hall RECAP,Scattered RECAP,p_Kevin S. Parker (Democratic),p_Herman G. Hall (Conservative),p_Scattered,p_Kevin S. Parker (Working Families),p_Kevin S. Parker RECAP,p_Herman G. Hall RECAP,p_Scattered RECAP,winner,winner_p
41023,41023,100,26,3,0,1,30,27,3,0,0.8666666666666667,0.1,0.0,0.03333333333333333,0.9,0.1,0.0,Kevin S. Parker RECAP,0.9
41030,41030,100,113,2,2,11,128,124,2,2,0.8828125,0.015625,0.015625,0.0859375,0.96875,0.015625,0.015625,Kevin S. Parker RECAP,0.96875
41031,41031,100,214,11,0,10,235,224,11,0,0.9106382978723404,0.04680851063829787,0.0,0.0425531914893617,0.9531914893617022,0.04680851063829787,0.0,Kevin S. Parker RECAP,0.9531914893617022
41032,41032,100,154,2,0,21,177,175,2,0,0.8700564971751412,0.011299435028248588,0.0,0.11864406779661017,0.9887005649717514,0.011299435028248588,0.0,Kevin S. Parker RECAP,0.9887005649717514
41033,41033,100,179,6,0,16,201,195,6,0,0.8905472636815921,0.029850746268656716,0.0,0.07960199004975124,0.9701492537313433,0.029850746268656716,0.0,Kevin S. Parker RECAP,0.9701492537313433
41034,41034,100,200,8,1,14,223,214,8,1,0.8968609865470852,0.03587443946188341,0.004484304932735426,0.06278026905829596,0.9596412556053812,0.03587443946188341,0.004484304932735426,Kevin S. Parker RECAP,0.9596412556053812
41037,41037,100,218,4,0,10,232,228,4,0,0.9396551724137931,0.017241379310344827,0.0,0.04310344827586207,0.9827586206896551,0.017241379310344827,0.0,Kevin S. Parker RECAP,0.9827586206896551
41038,41038,100,331,7,0,11,349,342,7,0,0.9484240687679083,0.02005730659025788,0.0,0.03151862464183381,0.9799426934097422,0.02005730659025788,0.0,Kevin S. Parker RECAP,0.9799426934097422
41039,41039,100,203,6,0,10,219,213,6,0,0.9269406392694064,0.0273972602739726,0.0,0.045662100456621,0.9726027397260274,0.0273972602739726,0.0,Kevin S. Parker RECAP,0.9726027397260274
41040,41040,100,196,2,0,5,203,201,2,0,0.9655172413793104,0.009852216748768473,0.0,0.024630541871921183,0.9901477832512315,0.009852216748768473,0.0,Kevin S. Parker RECAP,0.9901477832512315
