ED,Reported As,Reporting,Martin J. Golden (Republican),James T. Kemmerer (Democratic),James T. Kemmerer (Working Families),Scattered,Martin J. Golden (Conservative),Martin J. Golden (Independence),Total Votes,Martin J. Golden RECAP,James T. Kemmerer RECAP,Scattered RECAP,p_Martin J. Golden (Republican),p_James T. Kemmerer (Democratic),p_James T. Kemmerer (Working Families),p_Scattered,p_Martin J. Golden (Conservative),p_Martin J. Golden (Independence),p_Martin J. Golden RECAP,p_James T. Kemmerer RECAP,p_Scattered RECAP,winner,winner_p
41016,41016,100,143,68,10,1,47,13,282,203,78,1,0.5070921985815603,0.24113475177304963,0.03546099290780142,0.0035460992907801418,0.16666666666666666,0.04609929078014184,0.7198581560283688,0.2765957446808511,0.0035460992907801418,Martin J. Golden RECAP,0.7198581560283688
41017,41017,100,120,52,5,2,44,18,241,182,57,2,0.4979253112033195,0.2157676348547718,0.02074688796680498,0.008298755186721992,0.1825726141078838,0.07468879668049792,0.7551867219917012,0.23651452282157676,0.008298755186721992,Martin J. Golden RECAP,0.7551867219917012
41018,41018,100,90,36,9,0,35,4,174,129,45,0,0.5172413793103449,0.20689655172413793,0.05172413793103448,0.0,0.20114942528735633,0.022988505747126436,0.7413793103448276,0.25862068965517243,0.0,Martin J. Golden RECAP,0.7413793103448276
41036,41036,100,144,27,6,0,31,10,218,185,33,0,0.6605504587155964,0.12385321100917432,0.027522935779816515,0.0,0.14220183486238533,0.045871559633027525,0.8486238532110092,0.15137614678899083,0.0,Martin J. Golden RECAP,0.8486238532110092
41046,41046,100,130,75,6,0,46,18,275,194,81,0,0.4727272727272727,0.2727272727272727,0.02181818181818182,0.0,0.16727272727272727,0.06545454545454546,0.7054545454545454,0.29454545454545455,0.0,Martin J. Golden RECAP,0.7054545454545454
41056,41056,100,70,36,1,1,21,4,133,95,37,1,0.5263157894736842,0.2706766917293233,0.007518796992481203,0.007518796992481203,0.15789473684210525,0.03007518796992481,0.7142857142857143,0.2781954887218045,0.007518796992481203,Martin J. Golden RECAP,0.7142857142857143
41081,41081,100,121,72,5,1,23,13,235,157,77,1,0.5148936170212766,0.30638297872340425,0.02127659574468085,0.00425531914893617,0.09787234042553192,0.05531914893617021,0.6680851063829787,0.3276595744680851,0.00425531914893617,Martin J. Golden RECAP,0.6680851063829787
41082,41082,100,123,54,7,1,16,5,206,144,61,1,0.5970873786407767,0.2621359223300971,0.03398058252427184,0.0048543689320388345,0.07766990291262135,0.024271844660194174,0.6990291262135923,0.2961165048543689,0.0048543689320388345,Martin J. Golden RECAP,0.6990291262135923
41083,41083,100,95,79,3,2,20,10,209,125,82,2,0.45454545454545453,0.37799043062200954,0.014354066985645933,0.009569377990430622,0.09569377990430622,0.04784688995215311,0.5980861244019139,0.3923444976076555,0.009569377990430622,Martin J. Golden RECAP,0.5980861244019139
41084,41084,100,156,70,6,0,61,15,308,232,76,0,0.5064935064935064,0.22727272727272727,0.01948051948051948,0.0,0.19805194805194806,0.048701298701298704,0.7532467532467533,0.24675324675324675,0.0,Martin J. Golden RECAP,0.7532467532467533
