ED,Reported As,Reporting,Scattered,Velmanette Montgomery (Democratic),Velmanette Montgomery (Working Families),Total Votes,Scattered RECAP,Velmanette Montgomery RECAP,p_Scattered,p_Velmanette Montgomery (Democratic),p_Velmanette Montgomery (Working Families),p_Scattered RECAP,p_Velmanette Montgomery RECAP,winner,winner_p
43012,43012,100,0,188,16,204,0,204,0.0,0.9215686274509803,0.0784313725490196,0.0,1.0,Velmanette Montgomery RECAP,1.0
43045,43045,100,0,164,42,206,0,206,0.0,0.7961165048543689,0.20388349514563106,0.0,1.0,Velmanette Montgomery RECAP,1.0
43046,43046,100,0,94,17,111,0,111,0.0,0.8468468468468469,0.15315315315315314,0.0,1.0,Velmanette Montgomery RECAP,1.0
43047,43047,100,0,157,40,197,0,197,0.0,0.7969543147208121,0.20304568527918782,0.0,1.0,Velmanette Montgomery RECAP,1.0
43048,43048,100,0,220,23,243,0,243,0.0,0.9053497942386831,0.09465020576131687,0.0,1.0,Velmanette Montgomery RECAP,1.0
43049,43049,100,0,248,18,266,0,266,0.0,0.9323308270676691,0.06766917293233082,0.0,1.0,Velmanette Montgomery RECAP,1.0
43050,43050,100,1,145,21,167,1,166,0.005988023952095809,0.8682634730538922,0.12574850299401197,0.005988023952095809,0.9940119760479041,Velmanette Montgomery RECAP,0.9940119760479041
43051,43051,100,0,262,21,283,0,283,0.0,0.9257950530035336,0.07420494699646643,0.0,1.0,Velmanette Montgomery RECAP,1.0
43072,43072,100,0,211,38,249,0,249,0.0,0.8473895582329317,0.15261044176706828,0.0,1.0,Velmanette Montgomery RECAP,1.0
50001,50001,100,0,18,11,29,0,29,0.0,0.6206896551724138,0.3793103448275862,0.0,1.0,Velmanette Montgomery RECAP,1.0
50014,50014,100,0,80,4,84,0,84,0.0,0.9523809523809523,0.047619047619047616,0.0,1.0,Velmanette Montgomery RECAP,1.0
50083,50083,100,0,62,7,69,0,69,0.0,0.8985507246376812,0.10144927536231885,0.0,1.0,Velmanette Montgomery RECAP,1.0
50084,50084,100,0,17,3,20,0,20,0.0,0.85,0.15,0.0,1.0,Velmanette Montgomery RECAP,1.0
50085,50085,100,1,20,23,44,1,43,0.022727272727272728,0.45454545454545453,0.5227272727272727,0.022727272727272728,0.9772727272727273,Velmanette Montgomery RECAP,0.9772727272727273
50086,50084,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
50088,50088,100,0,16,1,17,0,17,0.0,0.9411764705882353,0.058823529411764705,0.0,1.0,Velmanette Montgomery RECAP,1.0
50089,50089,100,1,130,70,201,1,200,0.004975124378109453,0.6467661691542289,0.3482587064676617,0.004975124378109453,0.9950248756218906,Velmanette Montgomery RECAP,0.9950248756218906
50090,50090,100,1,84,29,114,1,113,0.008771929824561403,0.7368421052631579,0.2543859649122807,0.008771929824561403,0.9912280701754386,Velmanette Montgomery RECAP,0.9912280701754386
50091,50091,100,1,168,68,237,1,236,0.004219409282700422,0.7088607594936709,0.2869198312236287,0.004219409282700422,0.9957805907172996,Velmanette Montgomery RECAP,0.9957805907172996
50092,50092,100,1,152,49,202,1,201,0.0049504950495049506,0.7524752475247525,0.24257425742574257,0.0049504950495049506,0.995049504950495,Velmanette Montgomery RECAP,0.995049504950495
50093,50093,100,0,28,10,38,0,38,0.0,0.7368421052631579,0.2631578947368421,0.0,1.0,Velmanette Montgomery RECAP,1.0
50095,50095,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
50098,50088,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
