ED,Reported As,Reporting,Louis L. Nock (Democratic),Scattered,Arlene P. Bluth (Democratic),Total Votes,Louis L. Nock RECAP,Scattered RECAP,Arlene P. Bluth RECAP,p_Louis L. Nock (Democratic),p_Scattered,p_Arlene P. Bluth (Democratic),p_Louis L. Nock RECAP,p_Scattered RECAP,p_Arlene P. Bluth RECAP,winner,winner_p
65001,65001,100,62,2,72,136,62,2,72,0.45588235294117646,0.014705882352941176,0.5294117647058824,0.45588235294117646,0.014705882352941176,0.5294117647058824,Arlene P. Bluth RECAP,0.5294117647058824
65002,65002,100,125,3,125,253,125,3,125,0.49407114624505927,0.011857707509881422,0.49407114624505927,0.49407114624505927,0.011857707509881422,0.49407114624505927,Tie,0.49407114624505927
65003,65003,100,46,2,54,102,46,2,54,0.45098039215686275,0.0196078431372549,0.5294117647058824,0.45098039215686275,0.0196078431372549,0.5294117647058824,Arlene P. Bluth RECAP,0.5294117647058824
65004,65004,100,98,2,102,202,98,2,102,0.48514851485148514,0.009900990099009901,0.504950495049505,0.48514851485148514,0.009900990099009901,0.504950495049505,Arlene P. Bluth RECAP,0.504950495049505
65005,65005,100,81,1,85,167,81,1,85,0.48502994011976047,0.005988023952095809,0.5089820359281437,0.48502994011976047,0.005988023952095809,0.5089820359281437,Arlene P. Bluth RECAP,0.5089820359281437
65006,65006,100,155,7,177,339,155,7,177,0.45722713864306785,0.02064896755162242,0.5221238938053098,0.45722713864306785,0.02064896755162242,0.5221238938053098,Arlene P. Bluth RECAP,0.5221238938053098
65007,65007,100,113,3,131,247,113,3,131,0.4574898785425101,0.012145748987854251,0.5303643724696356,0.4574898785425101,0.012145748987854251,0.5303643724696356,Arlene P. Bluth RECAP,0.5303643724696356
65008,65008,100,150,11,188,349,150,11,188,0.4297994269340974,0.03151862464183381,0.5386819484240688,0.4297994269340974,0.03151862464183381,0.5386819484240688,Arlene P. Bluth RECAP,0.5386819484240688
65009,65009,100,65,3,68,136,65,3,68,0.47794117647058826,0.022058823529411766,0.5,0.47794117647058826,0.022058823529411766,0.5,Arlene P. Bluth RECAP,0.5
65010,65010,100,108,0,121,229,108,0,121,0.47161572052401746,0.0,0.5283842794759825,0.47161572052401746,0.0,0.5283842794759825,Arlene P. Bluth RECAP,0.5283842794759825
65011,65011,100,67,0,77,144,67,0,77,0.4652777777777778,0.0,0.5347222222222222,0.4652777777777778,0.0,0.5347222222222222,Arlene P. Bluth RECAP,0.5347222222222222
65012,65012,100,100,1,103,204,100,1,103,0.49019607843137253,0.004901960784313725,0.5049019607843137,0.49019607843137253,0.004901960784313725,0.5049019607843137,Arlene P. Bluth RECAP,0.5049019607843137
65013,65013,100,141,5,162,308,141,5,162,0.4577922077922078,0.016233766233766232,0.525974025974026,0.4577922077922078,0.016233766233766232,0.525974025974026,Arlene P. Bluth RECAP,0.525974025974026
65014,65014,100,176,2,201,379,176,2,201,0.46437994722955145,0.005277044854881266,0.5303430079155673,0.46437994722955145,0.005277044854881266,0.5303430079155673,Arlene P. Bluth RECAP,0.5303430079155673
65015,65015,100,84,1,100,185,84,1,100,0.4540540540540541,0.005405405405405406,0.5405405405405406,0.4540540540540541,0.005405405405405406,0.5405405405405406,Arlene P. Bluth RECAP,0.5405405405405406
65016,65016,100,139,5,150,294,139,5,150,0.47278911564625853,0.017006802721088437,0.5102040816326531,0.47278911564625853,0.017006802721088437,0.5102040816326531,Arlene P. Bluth RECAP,0.5102040816326531
65017,65017,100,3,0,3,6,3,0,3,0.5,0.0,0.5,0.5,0.0,0.5,Tie,0.5
65018,65018,100,66,0,72,138,66,0,72,0.4782608695652174,0.0,0.5217391304347826,0.4782608695652174,0.0,0.5217391304347826,Arlene P. Bluth RECAP,0.5217391304347826
65019,65019,100,65,3,79,147,65,3,79,0.4421768707482993,0.02040816326530612,0.5374149659863946,0.4421768707482993,0.02040816326530612,0.5374149659863946,Arlene P. Bluth RECAP,0.5374149659863946
65020,65020,100,64,0,71,135,64,0,71,0.4740740740740741,0.0,0.5259259259259259,0.4740740740740741,0.0,0.5259259259259259,Arlene P. Bluth RECAP,0.5259259259259259
65021,65021,100,85,2,110,197,85,2,110,0.43147208121827413,0.01015228426395939,0.5583756345177665,0.43147208121827413,0.01015228426395939,0.5583756345177665,Arlene P. Bluth RECAP,0.5583756345177665
65022,65022,100,115,0,128,243,115,0,128,0.4732510288065844,0.0,0.5267489711934157,0.4732510288065844,0.0,0.5267489711934157,Arlene P. Bluth RECAP,0.5267489711934157
65023,65023,100,59,0,58,117,59,0,58,0.5042735042735043,0.0,0.49572649572649574,0.5042735042735043,0.0,0.49572649572649574,Louis L. Nock RECAP,0.5042735042735043
65024,65024,100,84,0,91,175,84,0,91,0.48,0.0,0.52,0.48,0.0,0.52,Arlene P. Bluth RECAP,0.52
65025,65025,100,34,0,34,68,34,0,34,0.5,0.0,0.5,0.5,0.0,0.5,Tie,0.5
65026,65026,100,48,0,47,95,48,0,47,0.5052631578947369,0.0,0.49473684210526314,0.5052631578947369,0.0,0.49473684210526314,Louis L. Nock RECAP,0.5052631578947369
65027,65027,100,85,0,90,175,85,0,90,0.4857142857142857,0.0,0.5142857142857142,0.4857142857142857,0.0,0.5142857142857142,Arlene P. Bluth RECAP,0.5142857142857142
65028,65028,100,35,0,46,81,35,0,46,0.43209876543209874,0.0,0.5679012345679012,0.43209876543209874,0.0,0.5679012345679012,Arlene P. Bluth RECAP,0.5679012345679012
65029,65029,100,45,2,50,97,45,2,50,0.4639175257731959,0.020618556701030927,0.5154639175257731,0.4639175257731959,0.020618556701030927,0.5154639175257731,Arlene P. Bluth RECAP,0.5154639175257731
65030,65030,100,110,0,126,236,110,0,126,0.4661016949152542,0.0,0.5338983050847458,0.4661016949152542,0.0,0.5338983050847458,Arlene P. Bluth RECAP,0.5338983050847458
65031,65031,100,148,0,150,298,148,0,150,0.4966442953020134,0.0,0.5033557046979866,0.4966442953020134,0.0,0.5033557046979866,Arlene P. Bluth RECAP,0.5033557046979866
65032,65032,100,96,0,104,200,96,0,104,0.48,0.0,0.52,0.48,0.0,0.52,Arlene P. Bluth RECAP,0.52
65033,65033,100,97,0,93,190,97,0,93,0.5105263157894737,0.0,0.48947368421052634,0.5105263157894737,0.0,0.48947368421052634,Louis L. Nock RECAP,0.5105263157894737
65034,65034,100,91,0,88,179,91,0,88,0.5083798882681564,0.0,0.49162011173184356,0.5083798882681564,0.0,0.49162011173184356,Louis L. Nock RECAP,0.5083798882681564
65035,65035,100,69,1,70,140,69,1,70,0.4928571428571429,0.007142857142857143,0.5,0.4928571428571429,0.007142857142857143,0.5,Arlene P. Bluth RECAP,0.5
65036,65036,100,102,0,106,208,102,0,106,0.49038461538461536,0.0,0.5096153846153846,0.49038461538461536,0.0,0.5096153846153846,Arlene P. Bluth RECAP,0.5096153846153846
65037,65037,100,87,0,90,177,87,0,90,0.4915254237288136,0.0,0.5084745762711864,0.4915254237288136,0.0,0.5084745762711864,Arlene P. Bluth RECAP,0.5084745762711864
65038,65038,100,98,0,110,208,98,0,110,0.47115384615384615,0.0,0.5288461538461539,0.47115384615384615,0.0,0.5288461538461539,Arlene P. Bluth RECAP,0.5288461538461539
65039,65039,100,61,0,80,141,61,0,80,0.4326241134751773,0.0,0.5673758865248227,0.4326241134751773,0.0,0.5673758865248227,Arlene P. Bluth RECAP,0.5673758865248227
65040,65040,100,68,0,73,141,68,0,73,0.48226950354609927,0.0,0.5177304964539007,0.48226950354609927,0.0,0.5177304964539007,Arlene P. Bluth RECAP,0.5177304964539007
65041,65041,100,52,1,64,117,52,1,64,0.4444444444444444,0.008547008547008548,0.5470085470085471,0.4444444444444444,0.008547008547008548,0.5470085470085471,Arlene P. Bluth RECAP,0.5470085470085471
65042,65042,100,63,0,80,143,63,0,80,0.4405594405594406,0.0,0.5594405594405595,0.4405594405594406,0.0,0.5594405594405595,Arlene P. Bluth RECAP,0.5594405594405595
65043,65043,100,105,0,119,224,105,0,119,0.46875,0.0,0.53125,0.46875,0.0,0.53125,Arlene P. Bluth RECAP,0.53125
65044,65044,100,214,4,233,451,214,4,233,0.4745011086474501,0.008869179600886918,0.516629711751663,0.4745011086474501,0.008869179600886918,0.516629711751663,Arlene P. Bluth RECAP,0.516629711751663
65045,65045,100,186,2,207,395,186,2,207,0.4708860759493671,0.005063291139240506,0.5240506329113924,0.4708860759493671,0.005063291139240506,0.5240506329113924,Arlene P. Bluth RECAP,0.5240506329113924
65046,65046,100,164,0,186,350,164,0,186,0.4685714285714286,0.0,0.5314285714285715,0.4685714285714286,0.0,0.5314285714285715,Arlene P. Bluth RECAP,0.5314285714285715
65047,65047,100,145,1,158,304,145,1,158,0.4769736842105263,0.003289473684210526,0.5197368421052632,0.4769736842105263,0.003289473684210526,0.5197368421052632,Arlene P. Bluth RECAP,0.5197368421052632
65048,65048,100,193,1,209,403,193,1,209,0.47890818858560796,0.0024813895781637717,0.5186104218362283,0.47890818858560796,0.0024813895781637717,0.5186104218362283,Arlene P. Bluth RECAP,0.5186104218362283
65049,65049,100,100,3,145,248,100,3,145,0.4032258064516129,0.012096774193548387,0.5846774193548387,0.4032258064516129,0.012096774193548387,0.5846774193548387,Arlene P. Bluth RECAP,0.5846774193548387
65050,65050,100,101,0,118,219,101,0,118,0.4611872146118721,0.0,0.5388127853881278,0.4611872146118721,0.0,0.5388127853881278,Arlene P. Bluth RECAP,0.5388127853881278
65051,65051,100,181,2,204,387,181,2,204,0.46770025839793283,0.00516795865633075,0.5271317829457365,0.46770025839793283,0.00516795865633075,0.5271317829457365,Arlene P. Bluth RECAP,0.5271317829457365
65052,65052,100,148,0,170,318,148,0,170,0.46540880503144655,0.0,0.5345911949685535,0.46540880503144655,0.0,0.5345911949685535,Arlene P. Bluth RECAP,0.5345911949685535
65053,65053,100,156,0,172,328,156,0,172,0.47560975609756095,0.0,0.524390243902439,0.47560975609756095,0.0,0.524390243902439,Arlene P. Bluth RECAP,0.524390243902439
65054,65054,100,137,2,162,301,137,2,162,0.45514950166112955,0.006644518272425249,0.5382059800664452,0.45514950166112955,0.006644518272425249,0.5382059800664452,Arlene P. Bluth RECAP,0.5382059800664452
65055,65055,100,147,0,167,314,147,0,167,0.4681528662420382,0.0,0.5318471337579618,0.4681528662420382,0.0,0.5318471337579618,Arlene P. Bluth RECAP,0.5318471337579618
65056,65056,100,84,0,91,175,84,0,91,0.48,0.0,0.52,0.48,0.0,0.52,Arlene P. Bluth RECAP,0.52
65057,65057,100,67,0,69,136,67,0,69,0.49264705882352944,0.0,0.5073529411764706,0.49264705882352944,0.0,0.5073529411764706,Arlene P. Bluth RECAP,0.5073529411764706
65058,65058,100,63,0,67,130,63,0,67,0.4846153846153846,0.0,0.5153846153846153,0.4846153846153846,0.0,0.5153846153846153,Arlene P. Bluth RECAP,0.5153846153846153
65059,65059,100,100,5,114,219,100,5,114,0.45662100456621,0.0228310502283105,0.5205479452054794,0.45662100456621,0.0228310502283105,0.5205479452054794,Arlene P. Bluth RECAP,0.5205479452054794
65060,65060,100,60,0,70,130,60,0,70,0.46153846153846156,0.0,0.5384615384615384,0.46153846153846156,0.0,0.5384615384615384,Arlene P. Bluth RECAP,0.5384615384615384
65061,65061,100,91,1,93,185,91,1,93,0.4918918918918919,0.005405405405405406,0.5027027027027027,0.4918918918918919,0.005405405405405406,0.5027027027027027,Arlene P. Bluth RECAP,0.5027027027027027
65062,65062,100,63,0,67,130,63,0,67,0.4846153846153846,0.0,0.5153846153846153,0.4846153846153846,0.0,0.5153846153846153,Arlene P. Bluth RECAP,0.5153846153846153
65063,65063,100,93,2,91,186,93,2,91,0.5,0.010752688172043012,0.489247311827957,0.5,0.010752688172043012,0.489247311827957,Louis L. Nock RECAP,0.5
65064,65064,100,56,1,59,116,56,1,59,0.4827586206896552,0.008620689655172414,0.5086206896551724,0.4827586206896552,0.008620689655172414,0.5086206896551724,Arlene P. Bluth RECAP,0.5086206896551724
65065,65065,100,41,0,48,89,41,0,48,0.4606741573033708,0.0,0.5393258426966292,0.4606741573033708,0.0,0.5393258426966292,Arlene P. Bluth RECAP,0.5393258426966292
65066,65066,100,47,0,50,97,47,0,50,0.4845360824742268,0.0,0.5154639175257731,0.4845360824742268,0.0,0.5154639175257731,Arlene P. Bluth RECAP,0.5154639175257731
65067,65067,100,23,0,27,50,23,0,27,0.46,0.0,0.54,0.46,0.0,0.54,Arlene P. Bluth RECAP,0.54
65068,65068,100,108,2,115,225,108,2,115,0.48,0.008888888888888889,0.5111111111111111,0.48,0.008888888888888889,0.5111111111111111,Arlene P. Bluth RECAP,0.5111111111111111
65069,65069,100,72,0,86,158,72,0,86,0.45569620253164556,0.0,0.5443037974683544,0.45569620253164556,0.0,0.5443037974683544,Arlene P. Bluth RECAP,0.5443037974683544
65070,65070,100,13,0,14,27,13,0,14,0.48148148148148145,0.0,0.5185185185185185,0.48148148148148145,0.0,0.5185185185185185,Arlene P. Bluth RECAP,0.5185185185185185
65071,65071,100,94,0,102,196,94,0,102,0.47959183673469385,0.0,0.5204081632653061,0.47959183673469385,0.0,0.5204081632653061,Arlene P. Bluth RECAP,0.5204081632653061
65072,65072,100,92,1,92,185,92,1,92,0.4972972972972973,0.005405405405405406,0.4972972972972973,0.4972972972972973,0.005405405405405406,0.4972972972972973,Tie,0.4972972972972973
65073,65073,100,120,0,148,268,120,0,148,0.44776119402985076,0.0,0.5522388059701493,0.44776119402985076,0.0,0.5522388059701493,Arlene P. Bluth RECAP,0.5522388059701493
65074,65074,100,124,1,146,271,124,1,146,0.4575645756457565,0.0036900369003690036,0.5387453874538746,0.4575645756457565,0.0036900369003690036,0.5387453874538746,Arlene P. Bluth RECAP,0.5387453874538746
65075,65075,100,75,0,87,162,75,0,87,0.46296296296296297,0.0,0.5370370370370371,0.46296296296296297,0.0,0.5370370370370371,Arlene P. Bluth RECAP,0.5370370370370371
65076,65076,100,112,0,119,231,112,0,119,0.48484848484848486,0.0,0.5151515151515151,0.48484848484848486,0.0,0.5151515151515151,Arlene P. Bluth RECAP,0.5151515151515151
65077,65077,100,136,2,153,291,136,2,153,0.46735395189003437,0.006872852233676976,0.5257731958762887,0.46735395189003437,0.006872852233676976,0.5257731958762887,Arlene P. Bluth RECAP,0.5257731958762887
65078,65078,100,69,1,89,159,69,1,89,0.4339622641509434,0.006289308176100629,0.559748427672956,0.4339622641509434,0.006289308176100629,0.559748427672956,Arlene P. Bluth RECAP,0.559748427672956
65079,65079,100,146,0,175,321,146,0,175,0.45482866043613707,0.0,0.5451713395638629,0.45482866043613707,0.0,0.5451713395638629,Arlene P. Bluth RECAP,0.5451713395638629
65080,65080,100,104,4,118,226,104,4,118,0.46017699115044247,0.017699115044247787,0.5221238938053098,0.46017699115044247,0.017699115044247787,0.5221238938053098,Arlene P. Bluth RECAP,0.5221238938053098
65081,65081,100,102,3,116,221,102,3,116,0.46153846153846156,0.013574660633484163,0.5248868778280543,0.46153846153846156,0.013574660633484163,0.5248868778280543,Arlene P. Bluth RECAP,0.5248868778280543
65082,65082,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
