ED,Reported As,Reporting,Scattered,Jose A. Padilla Jr. (Democratic),Total Votes,Scattered RECAP,Jose A. Padilla Jr. RECAP,p_Scattered,p_Jose A. Padilla Jr. (Democratic),p_Scattered RECAP,p_Jose A. Padilla Jr. RECAP,winner,winner_p
68034,68034,100,0,169,169,0,169,0.0,1.0,0.0,1.0,Jose A. Padilla Jr. RECAP,1.0
68053,68053,100,1,126,127,1,126,0.007874015748031496,0.9921259842519685,0.007874015748031496,0.9921259842519685,Jose A. Padilla Jr. RECAP,0.9921259842519685
68054,68054,100,0,126,126,0,126,0.0,1.0,0.0,1.0,Jose A. Padilla Jr. RECAP,1.0
68055,68055,100,0,114,114,0,114,0.0,1.0,0.0,1.0,Jose A. Padilla Jr. RECAP,1.0
68056,68056,100,0,139,139,0,139,0.0,1.0,0.0,1.0,Jose A. Padilla Jr. RECAP,1.0
68061,68061,100,1,147,148,1,147,0.006756756756756757,0.9932432432432432,0.006756756756756757,0.9932432432432432,Jose A. Padilla Jr. RECAP,0.9932432432432432
68062,68062,100,0,96,96,0,96,0.0,1.0,0.0,1.0,Jose A. Padilla Jr. RECAP,1.0
68063,68063,100,0,164,164,0,164,0.0,1.0,0.0,1.0,Jose A. Padilla Jr. RECAP,1.0
68064,68064,100,0,85,85,0,85,0.0,1.0,0.0,1.0,Jose A. Padilla Jr. RECAP,1.0
68065,68065,100,0,83,83,0,83,0.0,1.0,0.0,1.0,Jose A. Padilla Jr. RECAP,1.0
68066,68066,100,0,140,140,0,140,0.0,1.0,0.0,1.0,Jose A. Padilla Jr. RECAP,1.0
68067,68067,100,0,77,77,0,77,0.0,1.0,0.0,1.0,Jose A. Padilla Jr. RECAP,1.0
68068,68068,100,0,87,87,0,87,0.0,1.0,0.0,1.0,Jose A. Padilla Jr. RECAP,1.0
68069,68069,100,0,114,114,0,114,0.0,1.0,0.0,1.0,Jose A. Padilla Jr. RECAP,1.0
68070,68070,100,0,65,65,0,65,0.0,1.0,0.0,1.0,Jose A. Padilla Jr. RECAP,1.0
68071,68071,100,0,112,112,0,112,0.0,1.0,0.0,1.0,Jose A. Padilla Jr. RECAP,1.0
68072,68072,100,1,54,55,1,54,0.01818181818181818,0.9818181818181818,0.01818181818181818,0.9818181818181818,Jose A. Padilla Jr. RECAP,0.9818181818181818
68073,68073,100,0,115,115,0,115,0.0,1.0,0.0,1.0,Jose A. Padilla Jr. RECAP,1.0
68074,68074,100,1,162,163,1,162,0.006134969325153374,0.9938650306748467,0.006134969325153374,0.9938650306748467,Jose A. Padilla Jr. RECAP,0.9938650306748467
68075,68075,100,2,162,164,2,162,0.012195121951219513,0.9878048780487805,0.012195121951219513,0.9878048780487805,Jose A. Padilla Jr. RECAP,0.9878048780487805
68076,68076,100,2,114,116,2,114,0.017241379310344827,0.9827586206896551,0.017241379310344827,0.9827586206896551,Jose A. Padilla Jr. RECAP,0.9827586206896551
68077,68077,100,0,78,78,0,78,0.0,1.0,0.0,1.0,Jose A. Padilla Jr. RECAP,1.0
68078,68078,100,0,215,215,0,215,0.0,1.0,0.0,1.0,Jose A. Padilla Jr. RECAP,1.0
68079,68079,100,0,103,103,0,103,0.0,1.0,0.0,1.0,Jose A. Padilla Jr. RECAP,1.0
68080,68080,100,0,229,229,0,229,0.0,1.0,0.0,1.0,Jose A. Padilla Jr. RECAP,1.0
68082,68082,100,0,229,229,0,229,0.0,1.0,0.0,1.0,Jose A. Padilla Jr. RECAP,1.0
68083,68083,100,2,213,215,2,213,0.009302325581395349,0.9906976744186047,0.009302325581395349,0.9906976744186047,Jose A. Padilla Jr. RECAP,0.9906976744186047
68084,68084,100,0,167,167,0,167,0.0,1.0,0.0,1.0,Jose A. Padilla Jr. RECAP,1.0
68085,68085,100,0,208,208,0,208,0.0,1.0,0.0,1.0,Jose A. Padilla Jr. RECAP,1.0
68086,68086,100,0,37,37,0,37,0.0,1.0,0.0,1.0,Jose A. Padilla Jr. RECAP,1.0
68087,68087,100,0,224,224,0,224,0.0,1.0,0.0,1.0,Jose A. Padilla Jr. RECAP,1.0
68088,68088,100,0,104,104,0,104,0.0,1.0,0.0,1.0,Jose A. Padilla Jr. RECAP,1.0
68089,68089,100,0,215,215,0,215,0.0,1.0,0.0,1.0,Jose A. Padilla Jr. RECAP,1.0
68090,68090,100,0,107,107,0,107,0.0,1.0,0.0,1.0,Jose A. Padilla Jr. RECAP,1.0
68091,68091,100,0,76,76,0,76,0.0,1.0,0.0,1.0,Jose A. Padilla Jr. RECAP,1.0
68092,68092,100,0,101,101,0,101,0.0,1.0,0.0,1.0,Jose A. Padilla Jr. RECAP,1.0
68093,68093,100,0,187,187,0,187,0.0,1.0,0.0,1.0,Jose A. Padilla Jr. RECAP,1.0
68094,68094,100,0,17,17,0,17,0.0,1.0,0.0,1.0,Jose A. Padilla Jr. RECAP,1.0
68095,68095,100,0,0,0,0,0,0,0,0,0,n/a,0
68099,68099,100,0,72,72,0,72,0.0,1.0,0.0,1.0,Jose A. Padilla Jr. RECAP,1.0
68100,68100,100,0,129,129,0,129,0.0,1.0,0.0,1.0,Jose A. Padilla Jr. RECAP,1.0
68101,68101,100,0,93,93,0,93,0.0,1.0,0.0,1.0,Jose A. Padilla Jr. RECAP,1.0
68203,68203,100,0,0,0,0,0,0,0,0,0,n/a,0
68204,68204,100,0,0,0,0,0,0,0,0,0,n/a,0
70027,70027,100,1,215,216,1,215,0.004629629629629629,0.9953703703703703,0.004629629629629629,0.9953703703703703,Jose A. Padilla Jr. RECAP,0.9953703703703703
70037,70037,100,0,176,176,0,176,0.0,1.0,0.0,1.0,Jose A. Padilla Jr. RECAP,1.0
70038,70038,100,0,133,133,0,133,0.0,1.0,0.0,1.0,Jose A. Padilla Jr. RECAP,1.0
70039,70039,100,0,127,127,0,127,0.0,1.0,0.0,1.0,Jose A. Padilla Jr. RECAP,1.0
70046,70046,100,0,341,341,0,341,0.0,1.0,0.0,1.0,Jose A. Padilla Jr. RECAP,1.0
70047,70047,100,0,218,218,0,218,0.0,1.0,0.0,1.0,Jose A. Padilla Jr. RECAP,1.0
70054,70054,100,0,346,346,0,346,0.0,1.0,0.0,1.0,Jose A. Padilla Jr. RECAP,1.0
