ED,Reported As,Reporting,Sheldon Silver (Democratic),Sheldon Silver (Working Families),Scattered,Maureen Koetz (Republican),Total Votes,Sheldon Silver RECAP,Scattered RECAP,Maureen Koetz RECAP,p_Sheldon Silver (Democratic),p_Sheldon Silver (Working Families),p_Scattered,p_Maureen Koetz (Republican),p_Sheldon Silver RECAP,p_Scattered RECAP,p_Maureen Koetz RECAP,winner,winner_p
65001,65001,100,59,4,0,31,94,63,0,31,0.6276595744680851,0.0425531914893617,0.0,0.32978723404255317,0.6702127659574468,0.0,0.32978723404255317,Sheldon Silver RECAP,0.6702127659574468
65002,65002,100,104,13,0,81,198,117,0,81,0.5252525252525253,0.06565656565656566,0.0,0.4090909090909091,0.5909090909090909,0.0,0.4090909090909091,Sheldon Silver RECAP,0.5909090909090909
65003,65003,100,40,6,0,34,80,46,0,34,0.5,0.075,0.0,0.425,0.575,0.0,0.425,Sheldon Silver RECAP,0.575
65004,65004,100,81,10,2,40,133,91,2,40,0.6090225563909775,0.07518796992481203,0.015037593984962405,0.3007518796992481,0.6842105263157895,0.015037593984962405,0.3007518796992481,Sheldon Silver RECAP,0.6842105263157895
65005,65005,100,92,4,1,20,117,96,1,20,0.7863247863247863,0.03418803418803419,0.008547008547008548,0.17094017094017094,0.8205128205128205,0.008547008547008548,0.17094017094017094,Sheldon Silver RECAP,0.8205128205128205
65006,65006,100,196,31,0,69,296,227,0,69,0.6621621621621622,0.10472972972972973,0.0,0.23310810810810811,0.7668918918918919,0.0,0.23310810810810811,Sheldon Silver RECAP,0.7668918918918919
65007,65007,100,138,23,1,53,215,161,1,53,0.641860465116279,0.10697674418604651,0.004651162790697674,0.24651162790697675,0.7488372093023256,0.004651162790697674,0.24651162790697675,Sheldon Silver RECAP,0.7488372093023256
65008,65008,100,206,40,2,95,343,246,2,95,0.6005830903790087,0.11661807580174927,0.0058309037900874635,0.27696793002915454,0.717201166180758,0.0058309037900874635,0.27696793002915454,Sheldon Silver RECAP,0.717201166180758
65009,65009,100,63,7,0,31,101,70,0,31,0.6237623762376238,0.06930693069306931,0.0,0.3069306930693069,0.693069306930693,0.0,0.3069306930693069,Sheldon Silver RECAP,0.693069306930693
65010,65010,100,101,16,0,27,144,117,0,27,0.7013888888888888,0.1111111111111111,0.0,0.1875,0.8125,0.0,0.1875,Sheldon Silver RECAP,0.8125
65011,65011,100,61,13,1,38,113,74,1,38,0.5398230088495575,0.11504424778761062,0.008849557522123894,0.336283185840708,0.6548672566371682,0.008849557522123894,0.336283185840708,Sheldon Silver RECAP,0.6548672566371682
65012,65012,100,102,9,0,65,176,111,0,65,0.5795454545454546,0.05113636363636364,0.0,0.3693181818181818,0.6306818181818182,0.0,0.3693181818181818,Sheldon Silver RECAP,0.6306818181818182
65013,65013,100,136,17,2,58,213,153,2,58,0.6384976525821596,0.07981220657276995,0.009389671361502348,0.27230046948356806,0.7183098591549296,0.009389671361502348,0.27230046948356806,Sheldon Silver RECAP,0.7183098591549296
65014,65014,100,171,27,0,99,297,198,0,99,0.5757575757575758,0.09090909090909091,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,Sheldon Silver RECAP,0.6666666666666666
65015,65015,100,95,15,1,37,148,110,1,37,0.6418918918918919,0.10135135135135136,0.006756756756756757,0.25,0.7432432432432432,0.006756756756756757,0.25,Sheldon Silver RECAP,0.7432432432432432
65016,65016,100,160,20,1,56,237,180,1,56,0.6751054852320675,0.08438818565400844,0.004219409282700422,0.23628691983122363,0.759493670886076,0.004219409282700422,0.23628691983122363,Sheldon Silver RECAP,0.759493670886076
65017,65017,100,1,1,0,0,2,2,0,0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,Sheldon Silver RECAP,1.0
65018,65018,100,96,3,0,5,104,99,0,5,0.9230769230769231,0.028846153846153848,0.0,0.04807692307692308,0.9519230769230769,0.0,0.04807692307692308,Sheldon Silver RECAP,0.9519230769230769
65019,65019,100,106,5,1,11,123,111,1,11,0.8617886178861789,0.04065040650406504,0.008130081300813009,0.08943089430894309,0.9024390243902439,0.008130081300813009,0.08943089430894309,Sheldon Silver RECAP,0.9024390243902439
65020,65020,100,105,6,0,9,120,111,0,9,0.875,0.05,0.0,0.075,0.925,0.0,0.075,Sheldon Silver RECAP,0.925
65021,65021,100,128,11,0,13,152,139,0,13,0.8421052631578947,0.07236842105263158,0.0,0.08552631578947369,0.9144736842105263,0.0,0.08552631578947369,Sheldon Silver RECAP,0.9144736842105263
65022,65022,100,126,22,1,64,213,148,1,64,0.5915492957746479,0.10328638497652583,0.004694835680751174,0.3004694835680751,0.6948356807511737,0.004694835680751174,0.3004694835680751,Sheldon Silver RECAP,0.6948356807511737
65023,65023,100,81,7,0,12,100,88,0,12,0.81,0.07,0.0,0.12,0.88,0.0,0.12,Sheldon Silver RECAP,0.88
65024,65024,100,94,4,1,32,131,98,1,32,0.7175572519083969,0.030534351145038167,0.007633587786259542,0.24427480916030533,0.7480916030534351,0.007633587786259542,0.24427480916030533,Sheldon Silver RECAP,0.7480916030534351
65025,65025,100,56,5,1,23,85,61,1,23,0.6588235294117647,0.058823529411764705,0.011764705882352941,0.27058823529411763,0.7176470588235294,0.011764705882352941,0.27058823529411763,Sheldon Silver RECAP,0.7176470588235294
65026,65026,100,67,7,0,22,96,74,0,22,0.6979166666666666,0.07291666666666667,0.0,0.22916666666666666,0.7708333333333334,0.0,0.22916666666666666,Sheldon Silver RECAP,0.7708333333333334
65027,65027,100,134,15,0,34,183,149,0,34,0.73224043715847,0.08196721311475409,0.0,0.18579234972677597,0.8142076502732241,0.0,0.18579234972677597,Sheldon Silver RECAP,0.8142076502732241
65028,65028,100,51,5,0,2,58,56,0,2,0.8793103448275862,0.08620689655172414,0.0,0.034482758620689655,0.9655172413793104,0.0,0.034482758620689655,Sheldon Silver RECAP,0.9655172413793104
65029,65029,100,52,6,0,14,72,58,0,14,0.7222222222222222,0.08333333333333333,0.0,0.19444444444444445,0.8055555555555556,0.0,0.19444444444444445,Sheldon Silver RECAP,0.8055555555555556
65030,65030,100,144,10,0,31,185,154,0,31,0.7783783783783784,0.05405405405405406,0.0,0.16756756756756758,0.8324324324324325,0.0,0.16756756756756758,Sheldon Silver RECAP,0.8324324324324325
65031,65031,100,196,7,0,45,248,203,0,45,0.7903225806451613,0.028225806451612902,0.0,0.1814516129032258,0.8185483870967742,0.0,0.1814516129032258,Sheldon Silver RECAP,0.8185483870967742
65032,65032,100,102,17,0,14,133,119,0,14,0.7669172932330827,0.12781954887218044,0.0,0.10526315789473684,0.8947368421052632,0.0,0.10526315789473684,Sheldon Silver RECAP,0.8947368421052632
65033,65033,100,141,5,2,8,156,146,2,8,0.9038461538461539,0.03205128205128205,0.01282051282051282,0.05128205128205128,0.9358974358974359,0.01282051282051282,0.05128205128205128,Sheldon Silver RECAP,0.9358974358974359
65034,65034,100,115,6,0,14,135,121,0,14,0.8518518518518519,0.044444444444444446,0.0,0.1037037037037037,0.8962962962962963,0.0,0.1037037037037037,Sheldon Silver RECAP,0.8962962962962963
