ED,Reported As,Reporting,Linda B. Rosenthal (Democratic),Scattered,Linda B. Rosenthal (Working Families),Total Votes,Linda B. Rosenthal RECAP,Scattered RECAP,p_Linda B. Rosenthal (Democratic),p_Scattered,p_Linda B. Rosenthal (Working Families),p_Linda B. Rosenthal RECAP,p_Scattered RECAP,winner,winner_p
67001,67001,100,123,1,17,141,140,1,0.8723404255319149,0.0070921985815602835,0.12056737588652482,0.9929078014184397,0.0070921985815602835,Linda B. Rosenthal RECAP,0.9929078014184397
67002,67002,100,188,4,45,237,233,4,0.7932489451476793,0.016877637130801686,0.189873417721519,0.9831223628691983,0.016877637130801686,Linda B. Rosenthal RECAP,0.9831223628691983
67003,67003,100,204,0,20,224,224,0,0.9107142857142857,0.0,0.08928571428571429,1.0,0.0,Linda B. Rosenthal RECAP,1.0
67004,67004,100,111,1,28,140,139,1,0.7928571428571428,0.007142857142857143,0.2,0.9928571428571429,0.007142857142857143,Linda B. Rosenthal RECAP,0.9928571428571429
67005,67005,100,164,0,14,178,178,0,0.9213483146067416,0.0,0.07865168539325842,1.0,0.0,Linda B. Rosenthal RECAP,1.0
67006,67006,100,194,1,48,243,242,1,0.7983539094650206,0.00411522633744856,0.19753086419753085,0.9958847736625515,0.00411522633744856,Linda B. Rosenthal RECAP,0.9958847736625515
67007,67007,100,167,1,23,191,190,1,0.8743455497382199,0.005235602094240838,0.12041884816753927,0.9947643979057592,0.005235602094240838,Linda B. Rosenthal RECAP,0.9947643979057592
67008,67008,100,146,3,27,176,173,3,0.8295454545454546,0.017045454545454544,0.1534090909090909,0.9829545454545454,0.017045454545454544,Linda B. Rosenthal RECAP,0.9829545454545454
67009,67009,100,123,0,17,140,140,0,0.8785714285714286,0.0,0.12142857142857143,1.0,0.0,Linda B. Rosenthal RECAP,1.0
67010,67010,100,237,2,40,279,277,2,0.8494623655913979,0.007168458781362007,0.14336917562724014,0.992831541218638,0.007168458781362007,Linda B. Rosenthal RECAP,0.992831541218638
67011,67011,100,85,3,14,102,99,3,0.8333333333333334,0.029411764705882353,0.13725490196078433,0.9705882352941176,0.029411764705882353,Linda B. Rosenthal RECAP,0.9705882352941176
67012,67012,100,59,4,9,72,68,4,0.8194444444444444,0.05555555555555555,0.125,0.9444444444444444,0.05555555555555555,Linda B. Rosenthal RECAP,0.9444444444444444
67013,67013,100,245,2,30,277,275,2,0.8844765342960289,0.007220216606498195,0.10830324909747292,0.9927797833935018,0.007220216606498195,Linda B. Rosenthal RECAP,0.9927797833935018
67014,67014,100,213,1,41,255,254,1,0.8352941176470589,0.00392156862745098,0.1607843137254902,0.996078431372549,0.00392156862745098,Linda B. Rosenthal RECAP,0.996078431372549
67015,67015,100,195,2,50,247,245,2,0.7894736842105263,0.008097165991902834,0.20242914979757085,0.9919028340080972,0.008097165991902834,Linda B. Rosenthal RECAP,0.9919028340080972
67016,67016,100,159,0,20,179,179,0,0.888268156424581,0.0,0.11173184357541899,1.0,0.0,Linda B. Rosenthal RECAP,1.0
67017,67017,100,167,1,27,195,194,1,0.8564102564102564,0.005128205128205128,0.13846153846153847,0.9948717948717949,0.005128205128205128,Linda B. Rosenthal RECAP,0.9948717948717949
67018,67018,100,234,4,44,282,278,4,0.8297872340425532,0.014184397163120567,0.15602836879432624,0.9858156028368794,0.014184397163120567,Linda B. Rosenthal RECAP,0.9858156028368794
