ED,Reported As,Reporting,Robert J. Rodriguez (Democratic),Robert J. Rodriguez (Working Families),Scattered,Ted Jones (Republican),Total Votes,Robert J. Rodriguez RECAP,Scattered RECAP,Ted Jones RECAP,p_Robert J. Rodriguez (Democratic),p_Robert J. Rodriguez (Working Families),p_Scattered,p_Ted Jones (Republican),p_Robert J. Rodriguez RECAP,p_Scattered RECAP,p_Ted Jones RECAP,winner,winner_p
68001,68001,100,184,12,0,24,220,196,0,24,0.8363636363636363,0.05454545454545454,0.0,0.10909090909090909,0.8909090909090909,0.0,0.10909090909090909,Robert J. Rodriguez RECAP,0.8909090909090909
68002,68002,100,157,11,1,18,187,168,1,18,0.839572192513369,0.058823529411764705,0.0053475935828877,0.0962566844919786,0.8983957219251337,0.0053475935828877,0.0962566844919786,Robert J. Rodriguez RECAP,0.8983957219251337
68003,68003,100,116,26,0,30,172,142,0,30,0.6744186046511628,0.1511627906976744,0.0,0.1744186046511628,0.8255813953488372,0.0,0.1744186046511628,Robert J. Rodriguez RECAP,0.8255813953488372
68004,68004,100,229,27,3,62,321,256,3,62,0.7133956386292835,0.08411214953271028,0.009345794392523364,0.19314641744548286,0.7975077881619937,0.009345794392523364,0.19314641744548286,Robert J. Rodriguez RECAP,0.7975077881619937
68005,68005,100,117,20,0,45,182,137,0,45,0.6428571428571429,0.10989010989010989,0.0,0.24725274725274726,0.7527472527472527,0.0,0.24725274725274726,Robert J. Rodriguez RECAP,0.7527472527472527
68006,68006,100,82,5,0,9,96,87,0,9,0.8541666666666666,0.052083333333333336,0.0,0.09375,0.90625,0.0,0.09375,Robert J. Rodriguez RECAP,0.90625
68007,68007,100,91,20,0,40,151,111,0,40,0.6026490066225165,0.13245033112582782,0.0,0.26490066225165565,0.7350993377483444,0.0,0.26490066225165565,Robert J. Rodriguez RECAP,0.7350993377483444
68008,68008,100,179,10,0,110,299,189,0,110,0.5986622073578596,0.033444816053511704,0.0,0.36789297658862874,0.6321070234113713,0.0,0.36789297658862874,Robert J. Rodriguez RECAP,0.6321070234113713
68009,68009,100,121,17,1,69,208,138,1,69,0.5817307692307693,0.08173076923076923,0.004807692307692308,0.3317307692307692,0.6634615384615384,0.004807692307692308,0.3317307692307692,Robert J. Rodriguez RECAP,0.6634615384615384
68010,68010,100,117,10,0,81,208,127,0,81,0.5625,0.04807692307692308,0.0,0.3894230769230769,0.6105769230769231,0.0,0.3894230769230769,Robert J. Rodriguez RECAP,0.6105769230769231
68011,68011,100,170,24,0,100,294,194,0,100,0.5782312925170068,0.08163265306122448,0.0,0.3401360544217687,0.6598639455782312,0.0,0.3401360544217687,Robert J. Rodriguez RECAP,0.6598639455782312
68012,68012,100,106,17,0,41,164,123,0,41,0.6463414634146342,0.10365853658536585,0.0,0.25,0.75,0.0,0.25,Robert J. Rodriguez RECAP,0.75
68013,68013,100,56,9,0,5,70,65,0,5,0.8,0.12857142857142856,0.0,0.07142857142857142,0.9285714285714286,0.0,0.07142857142857142,Robert J. Rodriguez RECAP,0.9285714285714286
68014,68014,100,96,12,0,28,136,108,0,28,0.7058823529411765,0.08823529411764706,0.0,0.20588235294117646,0.7941176470588235,0.0,0.20588235294117646,Robert J. Rodriguez RECAP,0.7941176470588235
68015,68015,100,165,18,0,42,225,183,0,42,0.7333333333333333,0.08,0.0,0.18666666666666668,0.8133333333333334,0.0,0.18666666666666668,Robert J. Rodriguez RECAP,0.8133333333333334
68016,68016,100,94,2,0,10,106,96,0,10,0.8867924528301887,0.018867924528301886,0.0,0.09433962264150944,0.9056603773584906,0.0,0.09433962264150944,Robert J. Rodriguez RECAP,0.9056603773584906
68017,68017,100,94,7,0,6,107,101,0,6,0.8785046728971962,0.06542056074766354,0.0,0.056074766355140186,0.9439252336448598,0.0,0.056074766355140186,Robert J. Rodriguez RECAP,0.9439252336448598
68018,68018,100,131,15,0,5,151,146,0,5,0.8675496688741722,0.09933774834437085,0.0,0.033112582781456956,0.9668874172185431,0.0,0.033112582781456956,Robert J. Rodriguez RECAP,0.9668874172185431
68019,68019,100,127,7,1,11,146,134,1,11,0.8698630136986302,0.04794520547945205,0.00684931506849315,0.07534246575342465,0.9178082191780822,0.00684931506849315,0.07534246575342465,Robert J. Rodriguez RECAP,0.9178082191780822
68020,68020,100,46,11,0,9,66,57,0,9,0.696969696969697,0.16666666666666666,0.0,0.13636363636363635,0.8636363636363636,0.0,0.13636363636363635,Robert J. Rodriguez RECAP,0.8636363636363636
68021,68021,100,129,7,0,4,140,136,0,4,0.9214285714285714,0.05,0.0,0.02857142857142857,0.9714285714285714,0.0,0.02857142857142857,Robert J. Rodriguez RECAP,0.9714285714285714
68022,68022,100,77,9,0,8,94,86,0,8,0.8191489361702128,0.09574468085106383,0.0,0.0851063829787234,0.9148936170212766,0.0,0.0851063829787234,Robert J. Rodriguez RECAP,0.9148936170212766
68023,68023,100,148,17,1,11,177,165,1,11,0.8361581920903954,0.096045197740113,0.005649717514124294,0.062146892655367235,0.9322033898305084,0.005649717514124294,0.062146892655367235,Robert J. Rodriguez RECAP,0.9322033898305084
68024,68024,100,73,7,2,7,89,80,2,7,0.8202247191011236,0.07865168539325842,0.02247191011235955,0.07865168539325842,0.898876404494382,0.02247191011235955,0.07865168539325842,Robert J. Rodriguez RECAP,0.898876404494382
68025,68025,100,110,9,1,5,125,119,1,5,0.88,0.072,0.008,0.04,0.952,0.008,0.04,Robert J. Rodriguez RECAP,0.952
68026,68026,100,111,9,0,16,136,120,0,16,0.8161764705882353,0.0661764705882353,0.0,0.11764705882352941,0.8823529411764706,0.0,0.11764705882352941,Robert J. Rodriguez RECAP,0.8823529411764706
68027,68027,100,87,4,2,13,106,91,2,13,0.8207547169811321,0.03773584905660377,0.018867924528301886,0.12264150943396226,0.8584905660377359,0.018867924528301886,0.12264150943396226,Robert J. Rodriguez RECAP,0.8584905660377359
68028,68028,100,106,8,0,15,129,114,0,15,0.8217054263565892,0.06201550387596899,0.0,0.11627906976744186,0.8837209302325582,0.0,0.11627906976744186,Robert J. Rodriguez RECAP,0.8837209302325582
68029,68029,100,51,5,0,2,58,56,0,2,0.8793103448275862,0.08620689655172414,0.0,0.034482758620689655,0.9655172413793104,0.0,0.034482758620689655,Robert J. Rodriguez RECAP,0.9655172413793104
68030,68030,100,91,6,0,5,102,97,0,5,0.8921568627450981,0.058823529411764705,0.0,0.049019607843137254,0.9509803921568627,0.0,0.049019607843137254,Robert J. Rodriguez RECAP,0.9509803921568627
68031,68031,100,183,11,0,5,199,194,0,5,0.9195979899497487,0.05527638190954774,0.0,0.02512562814070352,0.9748743718592965,0.0,0.02512562814070352,Robert J. Rodriguez RECAP,0.9748743718592965
68032,68032,100,118,3,0,2,123,121,0,2,0.959349593495935,0.024390243902439025,0.0,0.016260162601626018,0.983739837398374,0.0,0.016260162601626018,Robert J. Rodriguez RECAP,0.983739837398374
68033,68033,100,182,32,0,19,233,214,0,19,0.7811158798283262,0.13733905579399142,0.0,0.0815450643776824,0.9184549356223176,0.0,0.0815450643776824,Robert J. Rodriguez RECAP,0.9184549356223176
68034,68034,100,159,16,0,6,181,175,0,6,0.8784530386740331,0.08839779005524862,0.0,0.03314917127071823,0.9668508287292817,0.0,0.03314917127071823,Robert J. Rodriguez RECAP,0.9668508287292817
68035,68035,100,86,1,0,2,89,87,0,2,0.9662921348314607,0.011235955056179775,0.0,0.02247191011235955,0.9775280898876404,0.0,0.02247191011235955,Robert J. Rodriguez RECAP,0.9775280898876404
