ED,Reported As,Reporting,Scattered,Daniel J. O'Donnell (Democratic),Total Votes,Scattered RECAP,Daniel J. O'Donnell RECAP,p_Scattered,p_Daniel J. O'Donnell (Democratic),p_Scattered RECAP,p_Daniel J. O'Donnell RECAP,winner,winner_p
69001,69001,100,1,185,186,1,185,0.005376344086021506,0.9946236559139785,0.005376344086021506,0.9946236559139785,Daniel J. O'Donnell RECAP,0.9946236559139785
69002,69002,100,0,141,141,0,141,0.0,1.0,0.0,1.0,Daniel J. O'Donnell RECAP,1.0
69003,69003,100,1,230,231,1,230,0.004329004329004329,0.9956709956709957,0.004329004329004329,0.9956709956709957,Daniel J. O'Donnell RECAP,0.9956709956709957
69004,69004,100,1,209,210,1,209,0.004761904761904762,0.9952380952380953,0.004761904761904762,0.9952380952380953,Daniel J. O'Donnell RECAP,0.9952380952380953
69005,69005,100,0,197,197,0,197,0.0,1.0,0.0,1.0,Daniel J. O'Donnell RECAP,1.0
69006,69006,100,2,270,272,2,270,0.007352941176470588,0.9926470588235294,0.007352941176470588,0.9926470588235294,Daniel J. O'Donnell RECAP,0.9926470588235294
69007,69007,100,0,201,201,0,201,0.0,1.0,0.0,1.0,Daniel J. O'Donnell RECAP,1.0
69008,69008,100,0,0,0,0,0,0,0,0,0,n/a,0
69009,69009,100,0,242,242,0,242,0.0,1.0,0.0,1.0,Daniel J. O'Donnell RECAP,1.0
69010,69010,100,3,290,293,3,290,0.010238907849829351,0.9897610921501706,0.010238907849829351,0.9897610921501706,Daniel J. O'Donnell RECAP,0.9897610921501706
69011,69011,100,2,282,284,2,282,0.007042253521126761,0.9929577464788732,0.007042253521126761,0.9929577464788732,Daniel J. O'Donnell RECAP,0.9929577464788732
69012,69012,100,0,224,224,0,224,0.0,1.0,0.0,1.0,Daniel J. O'Donnell RECAP,1.0
69013,69013,100,0,189,189,0,189,0.0,1.0,0.0,1.0,Daniel J. O'Donnell RECAP,1.0
69014,69014,100,3,145,148,3,145,0.02027027027027027,0.9797297297297297,0.02027027027027027,0.9797297297297297,Daniel J. O'Donnell RECAP,0.9797297297297297
69015,69015,100,1,237,238,1,237,0.004201680672268907,0.9957983193277311,0.004201680672268907,0.9957983193277311,Daniel J. O'Donnell RECAP,0.9957983193277311
69016,69016,100,1,178,179,1,178,0.00558659217877095,0.994413407821229,0.00558659217877095,0.994413407821229,Daniel J. O'Donnell RECAP,0.994413407821229
69017,69017,100,0,240,240,0,240,0.0,1.0,0.0,1.0,Daniel J. O'Donnell RECAP,1.0
69018,69018,100,2,314,316,2,314,0.006329113924050633,0.9936708860759493,0.006329113924050633,0.9936708860759493,Daniel J. O'Donnell RECAP,0.9936708860759493
69019,69019,100,0,176,176,0,176,0.0,1.0,0.0,1.0,Daniel J. O'Donnell RECAP,1.0
69020,69020,100,1,291,292,1,291,0.003424657534246575,0.9965753424657534,0.003424657534246575,0.9965753424657534,Daniel J. O'Donnell RECAP,0.9965753424657534
69021,69021,100,1,166,167,1,166,0.005988023952095809,0.9940119760479041,0.005988023952095809,0.9940119760479041,Daniel J. O'Donnell RECAP,0.9940119760479041
69022,69022,100,2,255,257,2,255,0.007782101167315175,0.9922178988326849,0.007782101167315175,0.9922178988326849,Daniel J. O'Donnell RECAP,0.9922178988326849
69023,69023,100,0,167,167,0,167,0.0,1.0,0.0,1.0,Daniel J. O'Donnell RECAP,1.0
69024,69024,100,1,215,216,1,215,0.004629629629629629,0.9953703703703703,0.004629629629629629,0.9953703703703703,Daniel J. O'Donnell RECAP,0.9953703703703703
69025,69025,100,4,270,274,4,270,0.014598540145985401,0.9854014598540146,0.014598540145985401,0.9854014598540146,Daniel J. O'Donnell RECAP,0.9854014598540146
69026,69026,100,1,244,245,1,244,0.004081632653061225,0.9959183673469387,0.004081632653061225,0.9959183673469387,Daniel J. O'Donnell RECAP,0.9959183673469387
69027,69027,100,1,103,104,1,103,0.009615384615384616,0.9903846153846154,0.009615384615384616,0.9903846153846154,Daniel J. O'Donnell RECAP,0.9903846153846154
69028,69028,100,0,95,95,0,95,0.0,1.0,0.0,1.0,Daniel J. O'Donnell RECAP,1.0
69029,69029,100,0,291,291,0,291,0.0,1.0,0.0,1.0,Daniel J. O'Donnell RECAP,1.0
