ED,Reported As,Reporting,Noni Moore (Republican),Keith L. T. Wright (Working Families),Scattered,Keith L. T. Wright (Democratic),Total Votes,Noni Moore RECAP,Keith L. T. Wright RECAP,Scattered RECAP,p_Noni Moore (Republican),p_Keith L. T. Wright (Working Families),p_Scattered,p_Keith L. T. Wright (Democratic),p_Noni Moore RECAP,p_Keith L. T. Wright RECAP,p_Scattered RECAP,winner,winner_p
70001,70001,100,17,34,0,203,254,17,237,0,0.06692913385826772,0.13385826771653545,0.0,0.7992125984251969,0.06692913385826772,0.9330708661417323,0.0,Keith L. T. Wright RECAP,0.9330708661417323
70002,70002,100,10,19,0,147,176,10,166,0,0.056818181818181816,0.10795454545454546,0.0,0.8352272727272727,0.056818181818181816,0.9431818181818182,0.0,Keith L. T. Wright RECAP,0.9431818181818182
70003,70003,100,9,23,1,218,251,9,241,1,0.035856573705179286,0.09163346613545817,0.00398406374501992,0.8685258964143426,0.035856573705179286,0.9601593625498008,0.00398406374501992,Keith L. T. Wright RECAP,0.9601593625498008
70004,70004,100,6,22,0,196,224,6,218,0,0.026785714285714284,0.09821428571428571,0.0,0.875,0.026785714285714284,0.9732142857142857,0.0,Keith L. T. Wright RECAP,0.9732142857142857
70005,70005,100,19,48,1,248,316,19,296,1,0.060126582278481014,0.1518987341772152,0.0031645569620253164,0.7848101265822784,0.060126582278481014,0.9367088607594937,0.0031645569620253164,Keith L. T. Wright RECAP,0.9367088607594937
70006,70006,100,10,24,0,133,167,10,157,0,0.059880239520958084,0.1437125748502994,0.0,0.7964071856287425,0.059880239520958084,0.9401197604790419,0.0,Keith L. T. Wright RECAP,0.9401197604790419
70007,70007,100,10,24,1,173,208,10,197,1,0.04807692307692308,0.11538461538461539,0.004807692307692308,0.8317307692307693,0.04807692307692308,0.9471153846153846,0.004807692307692308,Keith L. T. Wright RECAP,0.9471153846153846
70008,70008,100,12,22,0,168,202,12,190,0,0.0594059405940594,0.10891089108910891,0.0,0.8316831683168316,0.0594059405940594,0.9405940594059405,0.0,Keith L. T. Wright RECAP,0.9405940594059405
70009,70009,100,17,53,0,292,362,17,345,0,0.04696132596685083,0.1464088397790055,0.0,0.8066298342541437,0.04696132596685083,0.9530386740331491,0.0,Keith L. T. Wright RECAP,0.9530386740331491
70010,70010,100,15,29,1,261,306,15,290,1,0.049019607843137254,0.09477124183006536,0.0032679738562091504,0.8529411764705882,0.049019607843137254,0.9477124183006536,0.0032679738562091504,Keith L. T. Wright RECAP,0.9477124183006536
70011,70011,100,9,26,1,224,260,9,250,1,0.03461538461538462,0.1,0.0038461538461538464,0.8615384615384616,0.03461538461538462,0.9615384615384616,0.0038461538461538464,Keith L. T. Wright RECAP,0.9615384615384616
