ED,Reported As,Reporting,Jerome Johnson  (Republican),Herman D. Farrell Jr. (Democratic),Scattered,Total Votes,Jerome Johnson  RECAP,Herman D. Farrell Jr. RECAP,Scattered RECAP,p_Jerome Johnson  (Republican),p_Herman D. Farrell Jr. (Democratic),p_Scattered,p_Jerome Johnson  RECAP,p_Herman D. Farrell Jr. RECAP,p_Scattered RECAP,winner,winner_p
71001,71001,100,14,212,1,227,0,212,1,0.06167400881057269,0.933920704845815,0.004405286343612335,0.0,0.933920704845815,0.004405286343612335,Herman D. Farrell Jr. RECAP,0.933920704845815
71002,71002,100,8,139,1,148,0,139,1,0.05405405405405406,0.9391891891891891,0.006756756756756757,0.0,0.9391891891891891,0.006756756756756757,Herman D. Farrell Jr. RECAP,0.9391891891891891
71003,71003,100,9,101,0,110,0,101,0,0.08181818181818182,0.9181818181818182,0.0,0.0,0.9181818181818182,0.0,Herman D. Farrell Jr. RECAP,0.9181818181818182
71004,71004,100,5,126,1,132,0,126,1,0.03787878787878788,0.9545454545454546,0.007575757575757576,0.0,0.9545454545454546,0.007575757575757576,Herman D. Farrell Jr. RECAP,0.9545454545454546
71005,71005,100,5,176,0,181,0,176,0,0.027624309392265192,0.9723756906077348,0.0,0.0,0.9723756906077348,0.0,Herman D. Farrell Jr. RECAP,0.9723756906077348
71006,71006,100,11,185,1,197,0,185,1,0.05583756345177665,0.9390862944162437,0.005076142131979695,0.0,0.9390862944162437,0.005076142131979695,Herman D. Farrell Jr. RECAP,0.9390862944162437
71007,71007,100,17,105,0,122,0,105,0,0.13934426229508196,0.860655737704918,0.0,0.0,0.860655737704918,0.0,Herman D. Farrell Jr. RECAP,0.860655737704918
71008,71008,100,10,148,0,158,0,148,0,0.06329113924050633,0.9367088607594937,0.0,0.0,0.9367088607594937,0.0,Herman D. Farrell Jr. RECAP,0.9367088607594937
71009,71009,100,3,272,1,276,0,272,1,0.010869565217391304,0.9855072463768116,0.0036231884057971015,0.0,0.9855072463768116,0.0036231884057971015,Herman D. Farrell Jr. RECAP,0.9855072463768116
71010,71010,100,33,190,1,224,0,190,1,0.14732142857142858,0.8482142857142857,0.004464285714285714,0.0,0.8482142857142857,0.004464285714285714,Herman D. Farrell Jr. RECAP,0.8482142857142857
71011,71011,100,5,220,0,225,0,220,0,0.022222222222222223,0.9777777777777777,0.0,0.0,0.9777777777777777,0.0,Herman D. Farrell Jr. RECAP,0.9777777777777777
71012,71012,100,11,255,1,267,0,255,1,0.04119850187265917,0.9550561797752809,0.003745318352059925,0.0,0.9550561797752809,0.003745318352059925,Herman D. Farrell Jr. RECAP,0.9550561797752809
71013,71013,100,3,135,1,139,0,135,1,0.02158273381294964,0.9712230215827338,0.007194244604316547,0.0,0.9712230215827338,0.007194244604316547,Herman D. Farrell Jr. RECAP,0.9712230215827338
71014,71014,100,1,129,0,130,0,129,0,0.007692307692307693,0.9923076923076923,0.0,0.0,0.9923076923076923,0.0,Herman D. Farrell Jr. RECAP,0.9923076923076923
71015,71015,100,5,109,0,114,0,109,0,0.043859649122807015,0.956140350877193,0.0,0.0,0.956140350877193,0.0,Herman D. Farrell Jr. RECAP,0.956140350877193
71016,71016,100,5,266,1,272,0,266,1,0.01838235294117647,0.9779411764705882,0.003676470588235294,0.0,0.9779411764705882,0.003676470588235294,Herman D. Farrell Jr. RECAP,0.9779411764705882
71017,71017,100,4,115,0,119,0,115,0,0.03361344537815126,0.9663865546218487,0.0,0.0,0.9663865546218487,0.0,Herman D. Farrell Jr. RECAP,0.9663865546218487
71018,71018,100,3,375,0,378,0,375,0,0.007936507936507936,0.9920634920634921,0.0,0.0,0.9920634920634921,0.0,Herman D. Farrell Jr. RECAP,0.9920634920634921
71019,71019,100,14,438,0,452,0,438,0,0.030973451327433628,0.9690265486725663,0.0,0.0,0.9690265486725663,0.0,Herman D. Farrell Jr. RECAP,0.9690265486725663
71020,71020,100,5,441,0,446,0,441,0,0.011210762331838564,0.9887892376681614,0.0,0.0,0.9887892376681614,0.0,Herman D. Farrell Jr. RECAP,0.9887892376681614
71021,71021,100,11,260,0,271,0,260,0,0.04059040590405904,0.959409594095941,0.0,0.0,0.959409594095941,0.0,Herman D. Farrell Jr. RECAP,0.959409594095941
71022,71022,100,8,138,0,146,0,138,0,0.0547945205479452,0.9452054794520548,0.0,0.0,0.9452054794520548,0.0,Herman D. Farrell Jr. RECAP,0.9452054794520548
71023,71023,100,1,237,0,238,0,237,0,0.004201680672268907,0.9957983193277311,0.0,0.0,0.9957983193277311,0.0,Herman D. Farrell Jr. RECAP,0.9957983193277311
71024,71024,100,9,249,0,258,0,249,0,0.03488372093023256,0.9651162790697675,0.0,0.0,0.9651162790697675,0.0,Herman D. Farrell Jr. RECAP,0.9651162790697675
71025,71025,100,8,122,0,130,0,122,0,0.06153846153846154,0.9384615384615385,0.0,0.0,0.9384615384615385,0.0,Herman D. Farrell Jr. RECAP,0.9384615384615385
71026,71026,100,12,269,0,281,0,269,0,0.042704626334519574,0.9572953736654805,0.0,0.0,0.9572953736654805,0.0,Herman D. Farrell Jr. RECAP,0.9572953736654805
71027,71027,100,7,133,0,140,0,133,0,0.05,0.95,0.0,0.0,0.95,0.0,Herman D. Farrell Jr. RECAP,0.95
71028,71028,100,8,154,0,162,0,154,0,0.04938271604938271,0.9506172839506173,0.0,0.0,0.9506172839506173,0.0,Herman D. Farrell Jr. RECAP,0.9506172839506173
71029,71029,100,11,138,0,149,0,138,0,0.0738255033557047,0.9261744966442953,0.0,0.0,0.9261744966442953,0.0,Herman D. Farrell Jr. RECAP,0.9261744966442953
71030,71030,100,8,132,0,140,0,132,0,0.05714285714285714,0.9428571428571428,0.0,0.0,0.9428571428571428,0.0,Herman D. Farrell Jr. RECAP,0.9428571428571428
71031,71031,100,14,154,0,168,0,154,0,0.08333333333333333,0.9166666666666666,0.0,0.0,0.9166666666666666,0.0,Herman D. Farrell Jr. RECAP,0.9166666666666666
71032,71032,100,12,199,3,214,0,199,3,0.056074766355140186,0.9299065420560748,0.014018691588785047,0.0,0.9299065420560748,0.014018691588785047,Herman D. Farrell Jr. RECAP,0.9299065420560748
71033,71033,100,17,228,0,245,0,228,0,0.06938775510204082,0.9306122448979591,0.0,0.0,0.9306122448979591,0.0,Herman D. Farrell Jr. RECAP,0.9306122448979591
71034,71034,100,6,285,0,291,0,285,0,0.020618556701030927,0.979381443298969,0.0,0.0,0.979381443298969,0.0,Herman D. Farrell Jr. RECAP,0.979381443298969
71035,71035,100,5,148,1,154,0,148,1,0.032467532467532464,0.961038961038961,0.006493506493506494,0.0,0.961038961038961,0.006493506493506494,Herman D. Farrell Jr. RECAP,0.961038961038961
71036,71036,100,7,125,0,132,0,125,0,0.05303030303030303,0.946969696969697,0.0,0.0,0.946969696969697,0.0,Herman D. Farrell Jr. RECAP,0.946969696969697
