ED,Reported As,Reporting,Guillermo Linares (Democratic),Scattered,Ronnie Cabrera (Republican),Total Votes,Guillermo Linares RECAP,Scattered RECAP,Ronnie Cabrera RECAP,p_Guillermo Linares (Democratic),p_Scattered,p_Ronnie Cabrera (Republican),p_Guillermo Linares RECAP,p_Scattered RECAP,p_Ronnie Cabrera RECAP,winner,winner_p
72001,72001,100,102,2,6,110,102,2,6,0.9272727272727272,0.01818181818181818,0.05454545454545454,0.9272727272727272,0.01818181818181818,0.05454545454545454,Guillermo Linares RECAP,0.9272727272727272
72002,72002,100,209,1,10,220,209,1,10,0.95,0.004545454545454545,0.045454545454545456,0.95,0.004545454545454545,0.045454545454545456,Guillermo Linares RECAP,0.95
72003,72003,100,141,0,13,154,141,0,13,0.9155844155844156,0.0,0.08441558441558442,0.9155844155844156,0.0,0.08441558441558442,Guillermo Linares RECAP,0.9155844155844156
72004,72004,100,193,1,17,211,193,1,17,0.9146919431279621,0.004739336492890996,0.08056872037914692,0.9146919431279621,0.004739336492890996,0.08056872037914692,Guillermo Linares RECAP,0.9146919431279621
72005,72005,100,145,0,9,154,145,0,9,0.9415584415584416,0.0,0.05844155844155844,0.9415584415584416,0.0,0.05844155844155844,Guillermo Linares RECAP,0.9415584415584416
72006,72006,100,143,0,4,147,143,0,4,0.9727891156462585,0.0,0.027210884353741496,0.9727891156462585,0.0,0.027210884353741496,Guillermo Linares RECAP,0.9727891156462585
72007,72007,100,147,0,8,155,147,0,8,0.9483870967741935,0.0,0.05161290322580645,0.9483870967741935,0.0,0.05161290322580645,Guillermo Linares RECAP,0.9483870967741935
72008,72008,100,151,0,10,161,151,0,10,0.937888198757764,0.0,0.062111801242236024,0.937888198757764,0.0,0.062111801242236024,Guillermo Linares RECAP,0.937888198757764
72009,72009,100,191,0,14,205,191,0,14,0.9317073170731708,0.0,0.06829268292682927,0.9317073170731708,0.0,0.06829268292682927,Guillermo Linares RECAP,0.9317073170731708
72010,72010,100,132,1,12,145,132,1,12,0.9103448275862069,0.006896551724137931,0.08275862068965517,0.9103448275862069,0.006896551724137931,0.08275862068965517,Guillermo Linares RECAP,0.9103448275862069
72011,72011,100,131,0,16,147,131,0,16,0.891156462585034,0.0,0.10884353741496598,0.891156462585034,0.0,0.10884353741496598,Guillermo Linares RECAP,0.891156462585034
72012,72012,100,171,4,11,186,171,4,11,0.9193548387096774,0.021505376344086023,0.05913978494623656,0.9193548387096774,0.021505376344086023,0.05913978494623656,Guillermo Linares RECAP,0.9193548387096774
72013,72013,100,105,0,9,114,105,0,9,0.9210526315789473,0.0,0.07894736842105263,0.9210526315789473,0.0,0.07894736842105263,Guillermo Linares RECAP,0.9210526315789473
72014,72014,100,189,0,7,196,189,0,7,0.9642857142857143,0.0,0.03571428571428571,0.9642857142857143,0.0,0.03571428571428571,Guillermo Linares RECAP,0.9642857142857143
72015,72015,100,159,0,9,168,159,0,9,0.9464285714285714,0.0,0.05357142857142857,0.9464285714285714,0.0,0.05357142857142857,Guillermo Linares RECAP,0.9464285714285714
72016,72016,100,184,0,15,199,184,0,15,0.9246231155778895,0.0,0.07537688442211055,0.9246231155778895,0.0,0.07537688442211055,Guillermo Linares RECAP,0.9246231155778895
72017,72017,100,170,0,9,179,170,0,9,0.9497206703910615,0.0,0.05027932960893855,0.9497206703910615,0.0,0.05027932960893855,Guillermo Linares RECAP,0.9497206703910615
72018,72018,100,151,1,47,199,151,1,47,0.7587939698492462,0.005025125628140704,0.23618090452261306,0.7587939698492462,0.005025125628140704,0.23618090452261306,Guillermo Linares RECAP,0.7587939698492462
72019,72019,100,150,0,35,185,150,0,35,0.8108108108108109,0.0,0.1891891891891892,0.8108108108108109,0.0,0.1891891891891892,Guillermo Linares RECAP,0.8108108108108109
72020,72020,100,173,0,15,188,173,0,15,0.9202127659574468,0.0,0.0797872340425532,0.9202127659574468,0.0,0.0797872340425532,Guillermo Linares RECAP,0.9202127659574468
72021,72021,100,155,0,9,164,155,0,9,0.9451219512195121,0.0,0.054878048780487805,0.9451219512195121,0.0,0.054878048780487805,Guillermo Linares RECAP,0.9451219512195121
72022,72022,100,145,2,23,170,145,2,23,0.8529411764705882,0.011764705882352941,0.13529411764705881,0.8529411764705882,0.011764705882352941,0.13529411764705881,Guillermo Linares RECAP,0.8529411764705882
72023,72023,100,86,0,12,98,86,0,12,0.8775510204081632,0.0,0.12244897959183673,0.8775510204081632,0.0,0.12244897959183673,Guillermo Linares RECAP,0.8775510204081632
72024,72024,100,164,0,12,176,164,0,12,0.9318181818181818,0.0,0.06818181818181818,0.9318181818181818,0.0,0.06818181818181818,Guillermo Linares RECAP,0.9318181818181818
72025,72025,100,126,0,13,139,126,0,13,0.9064748201438849,0.0,0.09352517985611511,0.9064748201438849,0.0,0.09352517985611511,Guillermo Linares RECAP,0.9064748201438849
72026,72026,100,113,0,17,130,113,0,17,0.8692307692307693,0.0,0.13076923076923078,0.8692307692307693,0.0,0.13076923076923078,Guillermo Linares RECAP,0.8692307692307693
72027,72027,100,85,1,2,88,85,1,2,0.9659090909090909,0.011363636363636364,0.022727272727272728,0.9659090909090909,0.011363636363636364,0.022727272727272728,Guillermo Linares RECAP,0.9659090909090909
72028,72028,100,170,0,13,183,170,0,13,0.9289617486338798,0.0,0.07103825136612021,0.9289617486338798,0.0,0.07103825136612021,Guillermo Linares RECAP,0.9289617486338798
72029,72029,100,158,0,9,167,158,0,9,0.9461077844311377,0.0,0.05389221556886228,0.9461077844311377,0.0,0.05389221556886228,Guillermo Linares RECAP,0.9461077844311377
72030,72030,100,151,1,7,159,151,1,7,0.949685534591195,0.006289308176100629,0.0440251572327044,0.949685534591195,0.006289308176100629,0.0440251572327044,Guillermo Linares RECAP,0.949685534591195
72031,72031,100,173,0,13,186,173,0,13,0.9301075268817204,0.0,0.06989247311827956,0.9301075268817204,0.0,0.06989247311827956,Guillermo Linares RECAP,0.9301075268817204
72032,72032,100,164,0,12,176,164,0,12,0.9318181818181818,0.0,0.06818181818181818,0.9318181818181818,0.0,0.06818181818181818,Guillermo Linares RECAP,0.9318181818181818
72033,72033,100,108,0,37,145,108,0,37,0.7448275862068966,0.0,0.25517241379310346,0.7448275862068966,0.0,0.25517241379310346,Guillermo Linares RECAP,0.7448275862068966
72034,72034,100,140,0,11,151,140,0,11,0.9271523178807947,0.0,0.0728476821192053,0.9271523178807947,0.0,0.0728476821192053,Guillermo Linares RECAP,0.9271523178807947
72035,72035,100,145,0,7,152,145,0,7,0.9539473684210527,0.0,0.046052631578947366,0.9539473684210527,0.0,0.046052631578947366,Guillermo Linares RECAP,0.9539473684210527
72036,72036,100,175,1,17,193,175,1,17,0.9067357512953368,0.0051813471502590676,0.08808290155440414,0.9067357512953368,0.0051813471502590676,0.08808290155440414,Guillermo Linares RECAP,0.9067357512953368
72037,72037,100,90,1,22,113,90,1,22,0.7964601769911505,0.008849557522123894,0.19469026548672566,0.7964601769911505,0.008849557522123894,0.19469026548672566,Guillermo Linares RECAP,0.7964601769911505
72038,72038,100,150,1,23,174,150,1,23,0.8620689655172413,0.005747126436781609,0.13218390804597702,0.8620689655172413,0.005747126436781609,0.13218390804597702,Guillermo Linares RECAP,0.8620689655172413
72039,72039,100,225,3,21,249,225,3,21,0.9036144578313253,0.012048192771084338,0.08433734939759036,0.9036144578313253,0.012048192771084338,0.08433734939759036,Guillermo Linares RECAP,0.9036144578313253
72040,72040,100,100,0,11,111,100,0,11,0.9009009009009009,0.0,0.0990990990990991,0.9009009009009009,0.0,0.0990990990990991,Guillermo Linares RECAP,0.9009009009009009
72041,72041,100,285,1,30,316,285,1,30,0.9018987341772152,0.0031645569620253164,0.0949367088607595,0.9018987341772152,0.0031645569620253164,0.0949367088607595,Guillermo Linares RECAP,0.9018987341772152
72042,72042,100,230,0,32,262,230,0,32,0.8778625954198473,0.0,0.12213740458015267,0.8778625954198473,0.0,0.12213740458015267,Guillermo Linares RECAP,0.8778625954198473
72043,72043,100,174,0,14,188,174,0,14,0.925531914893617,0.0,0.07446808510638298,0.925531914893617,0.0,0.07446808510638298,Guillermo Linares RECAP,0.925531914893617
72044,72044,100,133,0,13,146,133,0,13,0.910958904109589,0.0,0.08904109589041095,0.910958904109589,0.0,0.08904109589041095,Guillermo Linares RECAP,0.910958904109589
72045,72045,100,121,0,8,129,121,0,8,0.937984496124031,0.0,0.06201550387596899,0.937984496124031,0.0,0.06201550387596899,Guillermo Linares RECAP,0.937984496124031
72046,72046,100,132,1,9,142,132,1,9,0.9295774647887324,0.007042253521126761,0.06338028169014084,0.9295774647887324,0.007042253521126761,0.06338028169014084,Guillermo Linares RECAP,0.9295774647887324
72047,72047,100,137,0,7,144,137,0,7,0.9513888888888888,0.0,0.04861111111111111,0.9513888888888888,0.0,0.04861111111111111,Guillermo Linares RECAP,0.9513888888888888
72048,72048,100,134,0,13,147,134,0,13,0.9115646258503401,0.0,0.08843537414965986,0.9115646258503401,0.0,0.08843537414965986,Guillermo Linares RECAP,0.9115646258503401
72049,72049,100,148,0,9,157,148,0,9,0.9426751592356688,0.0,0.05732484076433121,0.9426751592356688,0.0,0.05732484076433121,Guillermo Linares RECAP,0.9426751592356688
72050,72050,100,150,0,7,157,150,0,7,0.9554140127388535,0.0,0.044585987261146494,0.9554140127388535,0.0,0.044585987261146494,Guillermo Linares RECAP,0.9554140127388535
72051,72051,100,148,0,10,158,148,0,10,0.9367088607594937,0.0,0.06329113924050633,0.9367088607594937,0.0,0.06329113924050633,Guillermo Linares RECAP,0.9367088607594937
72052,72052,100,169,0,16,185,169,0,16,0.9135135135135135,0.0,0.08648648648648649,0.9135135135135135,0.0,0.08648648648648649,Guillermo Linares RECAP,0.9135135135135135
72053,72053,100,183,0,18,201,183,0,18,0.9104477611940298,0.0,0.08955223880597014,0.9104477611940298,0.0,0.08955223880597014,Guillermo Linares RECAP,0.9104477611940298
72054,72054,100,137,1,11,149,137,1,11,0.9194630872483222,0.006711409395973154,0.0738255033557047,0.9194630872483222,0.006711409395973154,0.0738255033557047,Guillermo Linares RECAP,0.9194630872483222
72055,72055,100,109,0,11,120,109,0,11,0.9083333333333333,0.0,0.09166666666666666,0.9083333333333333,0.0,0.09166666666666666,Guillermo Linares RECAP,0.9083333333333333
72056,72056,100,150,1,5,156,150,1,5,0.9615384615384616,0.00641025641025641,0.03205128205128205,0.9615384615384616,0.00641025641025641,0.03205128205128205,Guillermo Linares RECAP,0.9615384615384616
72057,72057,100,177,2,25,204,177,2,25,0.8676470588235294,0.00980392156862745,0.12254901960784313,0.8676470588235294,0.00980392156862745,0.12254901960784313,Guillermo Linares RECAP,0.8676470588235294
72058,72058,100,238,2,24,264,238,2,24,0.9015151515151515,0.007575757575757576,0.09090909090909091,0.9015151515151515,0.007575757575757576,0.09090909090909091,Guillermo Linares RECAP,0.9015151515151515
72059,72059,100,144,0,25,169,144,0,25,0.8520710059171598,0.0,0.14792899408284024,0.8520710059171598,0.0,0.14792899408284024,Guillermo Linares RECAP,0.8520710059171598
72060,72060,100,254,1,20,275,254,1,20,0.9236363636363636,0.0036363636363636364,0.07272727272727272,0.9236363636363636,0.0036363636363636364,0.07272727272727272,Guillermo Linares RECAP,0.9236363636363636
72061,72061,100,134,1,11,146,134,1,11,0.9178082191780822,0.00684931506849315,0.07534246575342465,0.9178082191780822,0.00684931506849315,0.07534246575342465,Guillermo Linares RECAP,0.9178082191780822
72062,72062,100,135,0,19,154,135,0,19,0.8766233766233766,0.0,0.12337662337662338,0.8766233766233766,0.0,0.12337662337662338,Guillermo Linares RECAP,0.8766233766233766
72063,72063,100,163,1,14,178,163,1,14,0.9157303370786517,0.0056179775280898875,0.07865168539325842,0.9157303370786517,0.0056179775280898875,0.07865168539325842,Guillermo Linares RECAP,0.9157303370786517
72064,72064,100,252,4,29,285,252,4,29,0.8842105263157894,0.014035087719298246,0.10175438596491228,0.8842105263157894,0.014035087719298246,0.10175438596491228,Guillermo Linares RECAP,0.8842105263157894
72065,72065,100,123,0,10,133,123,0,10,0.924812030075188,0.0,0.07518796992481203,0.924812030075188,0.0,0.07518796992481203,Guillermo Linares RECAP,0.924812030075188
72066,72066,100,265,4,44,313,265,4,44,0.8466453674121406,0.012779552715654952,0.14057507987220447,0.8466453674121406,0.012779552715654952,0.14057507987220447,Guillermo Linares RECAP,0.8466453674121406
72067,72067,100,247,3,30,280,247,3,30,0.8821428571428571,0.010714285714285714,0.10714285714285714,0.8821428571428571,0.010714285714285714,0.10714285714285714,Guillermo Linares RECAP,0.8821428571428571
72068,72068,100,314,7,34,355,314,7,34,0.8845070422535212,0.01971830985915493,0.09577464788732394,0.8845070422535212,0.01971830985915493,0.09577464788732394,Guillermo Linares RECAP,0.8845070422535212
72069,72069,100,210,2,29,241,210,2,29,0.8713692946058091,0.008298755186721992,0.12033195020746888,0.8713692946058091,0.008298755186721992,0.12033195020746888,Guillermo Linares RECAP,0.8713692946058091
72070,72070,100,110,0,11,121,110,0,11,0.9090909090909091,0.0,0.09090909090909091,0.9090909090909091,0.0,0.09090909090909091,Guillermo Linares RECAP,0.9090909090909091
72071,72071,100,142,0,7,149,142,0,7,0.9530201342281879,0.0,0.04697986577181208,0.9530201342281879,0.0,0.04697986577181208,Guillermo Linares RECAP,0.9530201342281879
72072,72072,100,203,0,4,207,203,0,4,0.9806763285024155,0.0,0.01932367149758454,0.9806763285024155,0.0,0.01932367149758454,Guillermo Linares RECAP,0.9806763285024155
72073,72073,100,45,0,3,48,45,0,3,0.9375,0.0,0.0625,0.9375,0.0,0.0625,Guillermo Linares RECAP,0.9375
72074,72074,100,167,2,9,178,167,2,9,0.9382022471910112,0.011235955056179775,0.05056179775280899,0.9382022471910112,0.011235955056179775,0.05056179775280899,Guillermo Linares RECAP,0.9382022471910112
72075,72075,100,254,0,11,265,254,0,11,0.9584905660377359,0.0,0.04150943396226415,0.9584905660377359,0.0,0.04150943396226415,Guillermo Linares RECAP,0.9584905660377359
72076,72076,100,149,0,10,159,149,0,10,0.9371069182389937,0.0,0.06289308176100629,0.9371069182389937,0.0,0.06289308176100629,Guillermo Linares RECAP,0.9371069182389937
72200,72200,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
72201,72201,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
72202,72202,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
72203,72203,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
72204,72204,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
72205,72205,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
