ED,Reported As,Reporting,David B. Casavis (Republican),David B. Casavis (Independence),Dan Quart (Working Families),Donal Butterfield (Green),Scattered,Dan Quart (Democratic),Total Votes,David B. Casavis RECAP,Dan Quart RECAP,Donal Butterfield RECAP,Scattered RECAP,p_David B. Casavis (Republican),p_David B. Casavis (Independence),p_Dan Quart (Working Families),p_Donal Butterfield (Green),p_Scattered,p_Dan Quart (Democratic),p_David B. Casavis RECAP,p_Dan Quart RECAP,p_Donal Butterfield RECAP,p_Scattered RECAP,winner,winner_p
73001,73001,100,37,2,14,10,0,136,199,39,150,10,0,0.18592964824120603,0.010050251256281407,0.07035175879396985,0.05025125628140704,0.0,0.6834170854271356,0.19597989949748743,0.7537688442211056,0.05025125628140704,0.0,Dan Quart RECAP,0.7537688442211056
73002,73002,100,68,3,10,4,1,114,200,71,124,4,1,0.34,0.015,0.05,0.02,0.005,0.57,0.355,0.62,0.02,0.005,Dan Quart RECAP,0.62
73003,73003,100,54,2,20,10,0,172,258,56,192,10,0,0.20930232558139536,0.007751937984496124,0.07751937984496124,0.03875968992248062,0.0,0.6666666666666666,0.21705426356589147,0.7441860465116279,0.03875968992248062,0.0,Dan Quart RECAP,0.7441860465116279
73004,73004,100,53,1,13,1,0,114,182,54,127,1,0,0.29120879120879123,0.005494505494505495,0.07142857142857142,0.005494505494505495,0.0,0.6263736263736264,0.2967032967032967,0.6978021978021978,0.005494505494505495,0.0,Dan Quart RECAP,0.6978021978021978
73005,73005,100,94,4,29,7,1,184,319,98,213,7,1,0.2946708463949843,0.012539184952978056,0.09090909090909091,0.0219435736677116,0.003134796238244514,0.5768025078369906,0.3072100313479624,0.6677115987460815,0.0219435736677116,0.003134796238244514,Dan Quart RECAP,0.6677115987460815
73006,73006,100,36,5,17,4,0,146,208,41,163,4,0,0.17307692307692307,0.02403846153846154,0.08173076923076923,0.019230769230769232,0.0,0.7019230769230769,0.1971153846153846,0.7836538461538461,0.019230769230769232,0.0,Dan Quart RECAP,0.7836538461538461
73007,73007,100,58,3,10,4,0,98,173,61,108,4,0,0.3352601156069364,0.017341040462427744,0.057803468208092484,0.023121387283236993,0.0,0.5664739884393064,0.35260115606936415,0.6242774566473989,0.023121387283236993,0.0,Dan Quart RECAP,0.6242774566473989
73008,73008,100,19,1,8,3,0,66,97,20,74,3,0,0.1958762886597938,0.010309278350515464,0.08247422680412371,0.030927835051546393,0.0,0.6804123711340206,0.20618556701030927,0.7628865979381443,0.030927835051546393,0.0,Dan Quart RECAP,0.7628865979381443
73009,73009,100,68,1,15,11,1,179,275,69,194,11,1,0.24727272727272728,0.0036363636363636364,0.05454545454545454,0.04,0.0036363636363636364,0.6509090909090909,0.2509090909090909,0.7054545454545454,0.04,0.0036363636363636364,Dan Quart RECAP,0.7054545454545454
73010,73010,100,56,3,22,7,1,199,288,59,221,7,1,0.19444444444444445,0.010416666666666666,0.0763888888888889,0.024305555555555556,0.003472222222222222,0.6909722222222222,0.2048611111111111,0.7673611111111112,0.024305555555555556,0.003472222222222222,Dan Quart RECAP,0.7673611111111112
