ED,Reported As,Reporting,Bryan A. Cooper (Republican),Brian P. Kavanagh (Working Families),Scattered,Brian P. Kavanagh (Democratic),Total Votes,Bryan A. Cooper RECAP,Brian P. Kavanagh RECAP,Scattered RECAP,p_Bryan A. Cooper (Republican),p_Brian P. Kavanagh (Working Families),p_Scattered,p_Brian P. Kavanagh (Democratic),p_Bryan A. Cooper RECAP,p_Brian P. Kavanagh RECAP,p_Scattered RECAP,winner,winner_p
74001,74001,100,15,5,0,107,127,15,112,0,0.11811023622047244,0.03937007874015748,0.0,0.84251968503937,0.11811023622047244,0.8818897637795275,0.0,Brian P. Kavanagh RECAP,0.8818897637795275
74002,74002,100,7,5,0,121,133,7,126,0,0.05263157894736842,0.03759398496240601,0.0,0.9097744360902256,0.05263157894736842,0.9473684210526315,0.0,Brian P. Kavanagh RECAP,0.9473684210526315
74003,74003,100,9,7,0,136,152,9,143,0,0.05921052631578947,0.046052631578947366,0.0,0.8947368421052632,0.05921052631578947,0.9407894736842105,0.0,Brian P. Kavanagh RECAP,0.9407894736842105
74004,74004,100,8,6,0,135,149,8,141,0,0.053691275167785234,0.040268456375838924,0.0,0.9060402684563759,0.053691275167785234,0.9463087248322147,0.0,Brian P. Kavanagh RECAP,0.9463087248322147
74005,74005,100,0,0,0,49,49,0,49,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Brian P. Kavanagh RECAP,1.0
74006,74006,100,5,6,0,83,94,5,89,0,0.05319148936170213,0.06382978723404255,0.0,0.8829787234042553,0.05319148936170213,0.9468085106382979,0.0,Brian P. Kavanagh RECAP,0.9468085106382979
74007,74007,100,11,24,0,86,121,11,110,0,0.09090909090909091,0.19834710743801653,0.0,0.7107438016528925,0.09090909090909091,0.9090909090909091,0.0,Brian P. Kavanagh RECAP,0.9090909090909091
74008,74008,100,14,26,1,82,123,14,108,1,0.11382113821138211,0.21138211382113822,0.008130081300813009,0.6666666666666666,0.11382113821138211,0.8780487804878049,0.008130081300813009,Brian P. Kavanagh RECAP,0.8780487804878049
74009,74009,100,4,10,0,45,59,4,55,0,0.06779661016949153,0.1694915254237288,0.0,0.7627118644067796,0.06779661016949153,0.9322033898305084,0.0,Brian P. Kavanagh RECAP,0.9322033898305084
74010,74010,100,15,51,1,152,219,15,203,1,0.0684931506849315,0.2328767123287671,0.0045662100456621,0.6940639269406392,0.0684931506849315,0.9269406392694064,0.0045662100456621,Brian P. Kavanagh RECAP,0.9269406392694064
74011,74011,100,20,4,0,95,119,20,99,0,0.16806722689075632,0.03361344537815126,0.0,0.7983193277310925,0.16806722689075632,0.8319327731092437,0.0,Brian P. Kavanagh RECAP,0.8319327731092437
74012,74012,100,11,5,0,67,83,11,72,0,0.13253012048192772,0.060240963855421686,0.0,0.8072289156626506,0.13253012048192772,0.8674698795180723,0.0,Brian P. Kavanagh RECAP,0.8674698795180723
74013,74013,100,11,4,0,100,115,11,104,0,0.09565217391304348,0.034782608695652174,0.0,0.8695652173913043,0.09565217391304348,0.9043478260869565,0.0,Brian P. Kavanagh RECAP,0.9043478260869565
74014,74014,100,6,4,0,95,105,6,99,0,0.05714285714285714,0.0380952380952381,0.0,0.9047619047619048,0.05714285714285714,0.9428571428571428,0.0,Brian P. Kavanagh RECAP,0.9428571428571428
