ED,Reported As,Reporting,Harry DeMell (Republican),Richard N. Gottfried (Democratic),Scattered,Richard N. Gottfried (Working Families),Total Votes,Harry DeMell RECAP,Richard N. Gottfried RECAP,Scattered RECAP,p_Harry DeMell (Republican),p_Richard N. Gottfried (Democratic),p_Scattered,p_Richard N. Gottfried (Working Families),p_Harry DeMell RECAP,p_Richard N. Gottfried RECAP,p_Scattered RECAP,winner,winner_p
75001,75001,100,49,301,1,73,424,49,374,1,0.11556603773584906,0.7099056603773585,0.0023584905660377358,0.1721698113207547,0.11556603773584906,0.8820754716981132,0.0023584905660377358,Richard N. Gottfried RECAP,0.8820754716981132
75002,75002,100,43,238,0,62,343,43,300,0,0.12536443148688048,0.6938775510204082,0.0,0.18075801749271136,0.12536443148688048,0.8746355685131195,0.0,Richard N. Gottfried RECAP,0.8746355685131195
75003,75003,100,11,115,1,33,160,11,148,1,0.06875,0.71875,0.00625,0.20625,0.06875,0.925,0.00625,Richard N. Gottfried RECAP,0.925
75004,75004,100,20,205,3,48,276,20,253,3,0.07246376811594203,0.7427536231884058,0.010869565217391304,0.17391304347826086,0.07246376811594203,0.9166666666666666,0.010869565217391304,Richard N. Gottfried RECAP,0.9166666666666666
75005,75005,100,39,257,2,72,370,39,329,2,0.10540540540540541,0.6945945945945946,0.005405405405405406,0.1945945945945946,0.10540540540540541,0.8891891891891892,0.005405405405405406,Richard N. Gottfried RECAP,0.8891891891891892
75006,75006,100,28,227,2,55,312,28,282,2,0.08974358974358974,0.7275641025641025,0.00641025641025641,0.1762820512820513,0.08974358974358974,0.9038461538461539,0.00641025641025641,Richard N. Gottfried RECAP,0.9038461538461539
75007,75007,100,16,63,0,10,89,16,73,0,0.1797752808988764,0.7078651685393258,0.0,0.11235955056179775,0.1797752808988764,0.8202247191011236,0.0,Richard N. Gottfried RECAP,0.8202247191011236
75008,75008,100,22,108,1,32,163,22,140,1,0.13496932515337423,0.6625766871165644,0.006134969325153374,0.19631901840490798,0.13496932515337423,0.8588957055214724,0.006134969325153374,Richard N. Gottfried RECAP,0.8588957055214724
75009,75009,100,51,181,2,36,270,51,217,2,0.18888888888888888,0.6703703703703704,0.007407407407407408,0.13333333333333333,0.18888888888888888,0.8037037037037037,0.007407407407407408,Richard N. Gottfried RECAP,0.8037037037037037
75010,75010,100,34,177,0,34,245,34,211,0,0.13877551020408163,0.7224489795918367,0.0,0.13877551020408163,0.13877551020408163,0.8612244897959184,0.0,Richard N. Gottfried RECAP,0.8612244897959184
75011,75011,100,35,220,0,58,313,35,278,0,0.11182108626198083,0.7028753993610224,0.0,0.1853035143769968,0.11182108626198083,0.8881789137380192,0.0,Richard N. Gottfried RECAP,0.8881789137380192
75012,75012,100,26,160,1,35,222,26,195,1,0.11711711711711711,0.7207207207207207,0.0045045045045045045,0.15765765765765766,0.11711711711711711,0.8783783783783784,0.0045045045045045045,Richard N. Gottfried RECAP,0.8783783783783784
75013,75013,100,19,109,0,16,144,19,125,0,0.13194444444444445,0.7569444444444444,0.0,0.1111111111111111,0.13194444444444445,0.8680555555555556,0.0,Richard N. Gottfried RECAP,0.8680555555555556
75014,75014,100,19,154,1,20,194,19,174,1,0.0979381443298969,0.7938144329896907,0.005154639175257732,0.10309278350515463,0.0979381443298969,0.8969072164948454,0.005154639175257732,Richard N. Gottfried RECAP,0.8969072164948454
75015,75015,100,23,157,0,49,229,23,206,0,0.10043668122270742,0.6855895196506551,0.0,0.21397379912663755,0.10043668122270742,0.8995633187772926,0.0,Richard N. Gottfried RECAP,0.8995633187772926
75016,75016,100,27,265,0,51,343,27,316,0,0.07871720116618076,0.7725947521865889,0.0,0.14868804664723032,0.07871720116618076,0.9212827988338192,0.0,Richard N. Gottfried RECAP,0.9212827988338192
75017,75017,100,22,164,1,30,217,22,194,1,0.10138248847926268,0.7557603686635944,0.004608294930875576,0.1382488479262673,0.10138248847926268,0.8940092165898618,0.004608294930875576,Richard N. Gottfried RECAP,0.8940092165898618
75018,75018,100,15,102,0,26,143,15,128,0,0.1048951048951049,0.7132867132867133,0.0,0.18181818181818182,0.1048951048951049,0.8951048951048951,0.0,Richard N. Gottfried RECAP,0.8951048951048951
75019,75019,100,24,173,0,49,246,24,222,0,0.0975609756097561,0.7032520325203252,0.0,0.1991869918699187,0.0975609756097561,0.9024390243902439,0.0,Richard N. Gottfried RECAP,0.9024390243902439
75020,75020,100,23,257,0,76,356,23,333,0,0.06460674157303371,0.7219101123595506,0.0,0.21348314606741572,0.06460674157303371,0.9353932584269663,0.0,Richard N. Gottfried RECAP,0.9353932584269663
