ED,Reported As,Reporting,Rebecca A. Seawright (Democratic),David Paul Garland (Dump The Dump),Rebecca A. Seawright (Working Families),David Paul Garland (Republican),David Paul Garland (Independence),Scattered,Total Votes,Rebecca A. Seawright RECAP,David Paul Garland RECAP,Scattered RECAP,p_Rebecca A. Seawright (Democratic),p_David Paul Garland (Dump The Dump),p_Rebecca A. Seawright (Working Families),p_David Paul Garland (Republican),p_David Paul Garland (Independence),p_Scattered,p_Rebecca A. Seawright RECAP,p_David Paul Garland RECAP,p_Scattered RECAP,winner,winner_p
76001,76001,100,204,1,32,65,6,0,308,236,72,0,0.6623376623376623,0.003246753246753247,0.1038961038961039,0.21103896103896103,0.01948051948051948,0.0,0.7662337662337663,0.23376623376623376,0.0,Rebecca A. Seawright RECAP,0.7662337662337663
76002,76002,100,132,2,17,65,7,0,223,149,74,0,0.5919282511210763,0.008968609865470852,0.07623318385650224,0.2914798206278027,0.03139013452914798,0.0,0.6681614349775785,0.33183856502242154,0.0,Rebecca A. Seawright RECAP,0.6681614349775785
76003,76003,100,108,3,24,80,2,1,218,132,85,1,0.4954128440366973,0.013761467889908258,0.11009174311926606,0.3669724770642202,0.009174311926605505,0.0045871559633027525,0.6055045871559633,0.38990825688073394,0.0045871559633027525,Rebecca A. Seawright RECAP,0.6055045871559633
76004,76004,100,117,0,6,57,4,0,184,123,61,0,0.6358695652173914,0.0,0.03260869565217391,0.30978260869565216,0.021739130434782608,0.0,0.6684782608695652,0.33152173913043476,0.0,Rebecca A. Seawright RECAP,0.6684782608695652
76005,76005,100,94,1,7,71,5,0,178,101,77,0,0.5280898876404494,0.0056179775280898875,0.03932584269662921,0.398876404494382,0.028089887640449437,0.0,0.5674157303370787,0.43258426966292135,0.0,Rebecca A. Seawright RECAP,0.5674157303370787
76006,76006,100,186,3,20,106,15,2,332,206,124,2,0.5602409638554217,0.009036144578313253,0.060240963855421686,0.3192771084337349,0.045180722891566265,0.006024096385542169,0.6204819277108434,0.37349397590361444,0.006024096385542169,Rebecca A. Seawright RECAP,0.6204819277108434
76007,76007,100,116,4,26,49,9,0,204,142,62,0,0.5686274509803921,0.0196078431372549,0.12745098039215685,0.24019607843137256,0.04411764705882353,0.0,0.696078431372549,0.30392156862745096,0.0,Rebecca A. Seawright RECAP,0.696078431372549
76008,76008,100,75,0,12,54,5,3,149,87,59,3,0.5033557046979866,0.0,0.08053691275167785,0.3624161073825503,0.03355704697986577,0.020134228187919462,0.5838926174496645,0.3959731543624161,0.020134228187919462,Rebecca A. Seawright RECAP,0.5838926174496645
76009,76009,100,101,0,6,85,4,0,196,107,89,0,0.5153061224489796,0.0,0.030612244897959183,0.4336734693877551,0.02040816326530612,0.0,0.5459183673469388,0.45408163265306123,0.0,Rebecca A. Seawright RECAP,0.5459183673469388
76010,76010,100,220,0,27,74,7,1,329,247,81,1,0.668693009118541,0.0,0.08206686930091185,0.22492401215805471,0.02127659574468085,0.00303951367781155,0.7507598784194529,0.24620060790273557,0.00303951367781155,Rebecca A. Seawright RECAP,0.7507598784194529
76011,76011,100,83,2,10,48,7,0,150,93,57,0,0.5533333333333333,0.013333333333333334,0.06666666666666667,0.32,0.04666666666666667,0.0,0.62,0.38,0.0,Rebecca A. Seawright RECAP,0.62
76012,76012,100,132,1,12,43,6,0,194,144,50,0,0.6804123711340206,0.005154639175257732,0.061855670103092786,0.22164948453608246,0.030927835051546393,0.0,0.7422680412371134,0.25773195876288657,0.0,Rebecca A. Seawright RECAP,0.7422680412371134
76013,76013,100,202,0,13,110,2,0,327,215,112,0,0.617737003058104,0.0,0.039755351681957186,0.3363914373088685,0.0061162079510703364,0.0,0.6574923547400612,0.3425076452599388,0.0,Rebecca A. Seawright RECAP,0.6574923547400612
76014,76014,100,115,2,19,96,3,0,235,134,101,0,0.48936170212765956,0.00851063829787234,0.08085106382978724,0.4085106382978723,0.01276595744680851,0.0,0.5702127659574469,0.4297872340425532,0.0,Rebecca A. Seawright RECAP,0.5702127659574469
76015,76015,100,120,0,10,49,5,0,184,130,54,0,0.6521739130434783,0.0,0.05434782608695652,0.266304347826087,0.02717391304347826,0.0,0.7065217391304348,0.29347826086956524,0.0,Rebecca A. Seawright RECAP,0.7065217391304348
76016,76016,100,225,6,32,95,6,0,364,257,107,0,0.6181318681318682,0.016483516483516484,0.08791208791208792,0.260989010989011,0.016483516483516484,0.0,0.7060439560439561,0.29395604395604397,0.0,Rebecca A. Seawright RECAP,0.7060439560439561
76017,76017,100,163,3,14,66,4,0,250,177,73,0,0.652,0.012,0.056,0.264,0.016,0.0,0.708,0.292,0.0,Rebecca A. Seawright RECAP,0.708
76018,76018,100,155,2,18,71,3,1,250,173,76,1,0.62,0.008,0.072,0.284,0.012,0.004,0.692,0.304,0.004,Rebecca A. Seawright RECAP,0.692
