ED,Reported As,Reporting,Brad M. Hoylman (Democratic),Frank J. Scala (Republican),Scattered,Brad M. Hoylman (Working Families),Total Votes,Brad M. Hoylman RECAP,Frank J. Scala RECAP,Scattered RECAP,p_Brad M. Hoylman (Democratic),p_Frank J. Scala (Republican),p_Scattered,p_Brad M. Hoylman (Working Families),p_Brad M. Hoylman RECAP,p_Frank J. Scala RECAP,p_Scattered RECAP,winner,winner_p
65079,65079,100,142,14,0,68,224,210,14,0,0.6339285714285714,0.0625,0.0,0.30357142857142855,0.9375,0.0625,0.0,Brad M. Hoylman RECAP,0.9375
66028,66028,100,206,27,0,75,308,281,27,0,0.6688311688311688,0.08766233766233766,0.0,0.2435064935064935,0.9123376623376623,0.08766233766233766,0.0,Brad M. Hoylman RECAP,0.9123376623376623
66029,66029,100,185,33,0,68,286,253,33,0,0.6468531468531469,0.11538461538461539,0.0,0.23776223776223776,0.8846153846153846,0.11538461538461539,0.0,Brad M. Hoylman RECAP,0.8846153846153846
66030,66030,100,149,15,0,61,225,210,15,0,0.6622222222222223,0.06666666666666667,0.0,0.27111111111111114,0.9333333333333333,0.06666666666666667,0.0,Brad M. Hoylman RECAP,0.9333333333333333
66031,66031,100,145,36,1,75,257,220,36,1,0.5642023346303502,0.14007782101167315,0.0038910505836575876,0.2918287937743191,0.8560311284046692,0.14007782101167315,0.0038910505836575876,Brad M. Hoylman RECAP,0.8560311284046692
66032,66032,100,141,24,1,61,227,202,24,1,0.6211453744493393,0.10572687224669604,0.004405286343612335,0.2687224669603524,0.8898678414096917,0.10572687224669604,0.004405286343612335,Brad M. Hoylman RECAP,0.8898678414096917
66033,66033,100,105,13,0,21,139,126,13,0,0.7553956834532374,0.09352517985611511,0.0,0.1510791366906475,0.9064748201438849,0.09352517985611511,0.0,Brad M. Hoylman RECAP,0.9064748201438849
66034,66034,100,148,27,0,80,255,228,27,0,0.5803921568627451,0.10588235294117647,0.0,0.3137254901960784,0.8941176470588236,0.10588235294117647,0.0,Brad M. Hoylman RECAP,0.8941176470588236
66035,66035,100,164,24,0,84,272,248,24,0,0.6029411764705882,0.08823529411764706,0.0,0.3088235294117647,0.9117647058823529,0.08823529411764706,0.0,Brad M. Hoylman RECAP,0.9117647058823529
66036,66036,100,162,27,1,65,255,227,27,1,0.6352941176470588,0.10588235294117647,0.00392156862745098,0.2549019607843137,0.8901960784313725,0.10588235294117647,0.00392156862745098,Brad M. Hoylman RECAP,0.8901960784313725
66037,66037,100,117,20,0,49,186,166,20,0,0.6290322580645161,0.10752688172043011,0.0,0.26344086021505375,0.8924731182795699,0.10752688172043011,0.0,Brad M. Hoylman RECAP,0.8924731182795699
66038,66038,100,150,26,1,34,211,184,26,1,0.7109004739336493,0.12322274881516587,0.004739336492890996,0.16113744075829384,0.8720379146919431,0.12322274881516587,0.004739336492890996,Brad M. Hoylman RECAP,0.8720379146919431
66039,66039,100,100,35,0,19,154,119,35,0,0.6493506493506493,0.22727272727272727,0.0,0.12337662337662338,0.7727272727272727,0.22727272727272727,0.0,Brad M. Hoylman RECAP,0.7727272727272727
66045,66045,100,293,39,0,82,414,375,39,0,0.7077294685990339,0.09420289855072464,0.0,0.19806763285024154,0.9057971014492754,0.09420289855072464,0.0,Brad M. Hoylman RECAP,0.9057971014492754
66046,66046,100,119,28,0,51,198,170,28,0,0.601010101010101,0.1414141414141414,0.0,0.25757575757575757,0.8585858585858586,0.1414141414141414,0.0,Brad M. Hoylman RECAP,0.8585858585858586
66047,66047,100,163,24,1,46,234,209,24,1,0.6965811965811965,0.10256410256410256,0.004273504273504274,0.19658119658119658,0.8931623931623932,0.10256410256410256,0.004273504273504274,Brad M. Hoylman RECAP,0.8931623931623932
66048,66048,100,196,46,0,31,273,227,46,0,0.717948717948718,0.1684981684981685,0.0,0.11355311355311355,0.8315018315018315,0.1684981684981685,0.0,Brad M. Hoylman RECAP,0.8315018315018315
66049,66049,100,182,41,0,41,264,223,41,0,0.6893939393939394,0.1553030303030303,0.0,0.1553030303030303,0.8446969696969697,0.1553030303030303,0.0,Brad M. Hoylman RECAP,0.8446969696969697
66050,66050,100,166,24,0,37,227,203,24,0,0.7312775330396476,0.10572687224669604,0.0,0.16299559471365638,0.8942731277533039,0.10572687224669604,0.0,Brad M. Hoylman RECAP,0.8942731277533039
66051,66051,100,307,49,2,60,418,367,49,2,0.7344497607655502,0.11722488038277512,0.004784688995215311,0.14354066985645933,0.8779904306220095,0.11722488038277512,0.004784688995215311,Brad M. Hoylman RECAP,0.8779904306220095
66052,66052,100,203,32,0,46,281,249,32,0,0.7224199288256228,0.11387900355871886,0.0,0.16370106761565836,0.8861209964412812,0.11387900355871886,0.0,Brad M. Hoylman RECAP,0.8861209964412812
66053,66053,100,240,71,0,52,363,292,71,0,0.6611570247933884,0.19559228650137742,0.0,0.14325068870523416,0.8044077134986226,0.19559228650137742,0.0,Brad M. Hoylman RECAP,0.8044077134986226
