ED,Reported As,Reporting,Bill Perkins (Working Families),Bill Perkins (Democratic),Scattered,Jon Girodes (Republican),Total Votes,Bill Perkins RECAP,Scattered RECAP,Jon Girodes RECAP,p_Bill Perkins (Working Families),p_Bill Perkins (Democratic),p_Scattered,p_Jon Girodes (Republican),p_Bill Perkins RECAP,p_Scattered RECAP,p_Jon Girodes RECAP,winner,winner_p
67086,67086,100,72,278,0,40,390,350,0,40,0.18461538461538463,0.7128205128205128,0.0,0.10256410256410256,0.8974358974358975,0.0,0.10256410256410256,Bill Perkins RECAP,0.8974358974358975
68013,68013,100,8,56,0,4,68,64,0,4,0.11764705882352941,0.8235294117647058,0.0,0.058823529411764705,0.9411764705882353,0.0,0.058823529411764705,Bill Perkins RECAP,0.9411764705882353
68024,68024,100,6,70,1,4,81,76,1,4,0.07407407407407407,0.8641975308641975,0.012345679012345678,0.04938271604938271,0.9382716049382716,0.012345679012345678,0.04938271604938271,Bill Perkins RECAP,0.9382716049382716
68025,68025,100,8,98,1,6,113,106,1,6,0.07079646017699115,0.8672566371681416,0.008849557522123894,0.05309734513274336,0.9380530973451328,0.008849557522123894,0.05309734513274336,Bill Perkins RECAP,0.9380530973451328
68026,68026,100,8,105,0,12,125,113,0,12,0.064,0.84,0.0,0.096,0.904,0.0,0.096,Bill Perkins RECAP,0.904
68027,68027,100,3,82,2,14,101,85,2,14,0.0297029702970297,0.8118811881188119,0.019801980198019802,0.13861386138613863,0.8415841584158416,0.019801980198019802,0.13861386138613863,Bill Perkins RECAP,0.8415841584158416
68028,68028,100,10,105,0,12,127,115,0,12,0.07874015748031496,0.8267716535433071,0.0,0.09448818897637795,0.905511811023622,0.0,0.09448818897637795,Bill Perkins RECAP,0.905511811023622
68029,68029,100,3,46,0,4,53,49,0,4,0.05660377358490566,0.8679245283018868,0.0,0.07547169811320754,0.9245283018867925,0.0,0.07547169811320754,Bill Perkins RECAP,0.9245283018867925
68030,68030,100,6,87,0,2,95,93,0,2,0.06315789473684211,0.9157894736842105,0.0,0.021052631578947368,0.9789473684210527,0.0,0.021052631578947368,Bill Perkins RECAP,0.9789473684210527
68031,68031,100,11,182,0,6,199,193,0,6,0.05527638190954774,0.914572864321608,0.0,0.03015075376884422,0.9698492462311558,0.0,0.03015075376884422,Bill Perkins RECAP,0.9698492462311558
68032,68032,100,2,113,0,4,119,115,0,4,0.01680672268907563,0.9495798319327731,0.0,0.03361344537815126,0.9663865546218487,0.0,0.03361344537815126,Bill Perkins RECAP,0.9663865546218487
68033,68033,100,27,174,0,19,220,201,0,19,0.12272727272727273,0.7909090909090909,0.0,0.08636363636363636,0.9136363636363637,0.0,0.08636363636363636,Bill Perkins RECAP,0.9136363636363637
