ED,Reported As,Reporting,Adriano Espaillat (Democratic),Scattered,Total Votes,Adriano Espaillat RECAP,Scattered RECAP,p_Adriano Espaillat (Democratic),p_Scattered,p_Adriano Espaillat RECAP,p_Scattered RECAP,winner,winner_p
67001,67001,100,131,3,134,131,3,0.9776119402985075,0.022388059701492536,0.9776119402985075,0.022388059701492536,Adriano Espaillat RECAP,0.9776119402985075
67003,67003,100,207,2,209,207,2,0.9904306220095693,0.009569377990430622,0.9904306220095693,0.009569377990430622,Adriano Espaillat RECAP,0.9904306220095693
67005,67005,100,169,0,169,169,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
67007,67007,100,146,2,148,146,2,0.9864864864864865,0.013513513513513514,0.9864864864864865,0.013513513513513514,Adriano Espaillat RECAP,0.9864864864864865
67025,67025,100,106,0,106,106,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
67026,67026,100,124,0,124,124,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
67027,67027,100,200,0,200,200,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
67028,67028,100,223,3,226,223,3,0.9867256637168141,0.01327433628318584,0.9867256637168141,0.01327433628318584,Adriano Espaillat RECAP,0.9867256637168141
67029,67029,100,28,0,28,28,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
67030,67030,100,92,0,92,92,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
67051,67051,100,24,0,24,24,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
67067,67067,100,269,2,271,269,2,0.992619926199262,0.007380073800738007,0.992619926199262,0.007380073800738007,Adriano Espaillat RECAP,0.992619926199262
67079,67079,100,180,4,184,180,4,0.9782608695652174,0.021739130434782608,0.9782608695652174,0.021739130434782608,Adriano Espaillat RECAP,0.9782608695652174
67080,67080,100,297,4,301,297,4,0.9867109634551495,0.013289036544850499,0.9867109634551495,0.013289036544850499,Adriano Espaillat RECAP,0.9867109634551495
67081,67081,100,210,4,214,210,4,0.9813084112149533,0.018691588785046728,0.9813084112149533,0.018691588785046728,Adriano Espaillat RECAP,0.9813084112149533
67082,67082,100,201,2,203,201,2,0.9901477832512315,0.009852216748768473,0.9901477832512315,0.009852216748768473,Adriano Espaillat RECAP,0.9901477832512315
