ED,Reported As,Reporting,Mojgan Cohanim Lancman (Democratic),Mojgan Cohanim Lancman (Republican),Scattered,Total Votes,Mojgan Cohanim Lancman RECAP,Scattered RECAP,p_Mojgan Cohanim Lancman (Democratic),p_Mojgan Cohanim Lancman (Republican),p_Scattered,p_Mojgan Cohanim Lancman RECAP,p_Scattered RECAP,winner,winner_p
23001,23001,100,86,212,1,299,298,1,0.28762541806020064,0.7090301003344481,0.0033444816053511705,0.9966555183946488,0.0033444816053511705,Mojgan Cohanim Lancman RECAP,0.9966555183946488
23002,23002,100,68,238,0,306,306,0,0.2222222222222222,0.7777777777777778,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
23003,23003,100,80,185,0,265,265,0,0.3018867924528302,0.6981132075471698,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
23004,23004,100,19,24,0,43,43,0,0.4418604651162791,0.5581395348837209,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
23005,23005,100,132,155,0,287,287,0,0.45993031358885017,0.5400696864111498,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
23006,23006,100,121,194,3,318,315,3,0.3805031446540881,0.610062893081761,0.009433962264150943,0.9905660377358491,0.009433962264150943,Mojgan Cohanim Lancman RECAP,0.9905660377358491
23007,23007,100,101,224,1,326,325,1,0.3098159509202454,0.6871165644171779,0.003067484662576687,0.9969325153374233,0.003067484662576687,Mojgan Cohanim Lancman RECAP,0.9969325153374233
23008,23008,100,95,162,1,258,257,1,0.3682170542635659,0.627906976744186,0.003875968992248062,0.9961240310077519,0.003875968992248062,Mojgan Cohanim Lancman RECAP,0.9961240310077519
23009,23009,100,120,160,4,284,280,4,0.4225352112676056,0.5633802816901409,0.014084507042253521,0.9859154929577465,0.014084507042253521,Mojgan Cohanim Lancman RECAP,0.9859154929577465
23010,23010,100,123,145,0,268,268,0,0.458955223880597,0.5410447761194029,0.0,1.0,0.0,Mojgan Cohanim Lancman RECAP,1.0
