ED,Reported As,Reporting,Joseph Esposito (Democratic),Scattered,Total Votes,Joseph Esposito RECAP,Scattered RECAP,p_Joseph Esposito (Democratic),p_Scattered,p_Joseph Esposito RECAP,p_Scattered RECAP,winner,winner_p
30063,30063,100,58,0,58,58,0,1.0,0.0,1.0,0.0,Joseph Esposito RECAP,1.0
30035,30063,100,0,0,0,0,0,0,0,0,0,n/a,0
30038,30038,100,109,0,109,109,0,1.0,0.0,1.0,0.0,Joseph Esposito RECAP,1.0
30056,30056,100,137,1,138,137,1,0.9927536231884058,0.007246376811594203,0.9927536231884058,0.007246376811594203,Joseph Esposito RECAP,0.9927536231884058
30057,30057,100,129,1,130,129,1,0.9923076923076923,0.007692307692307693,0.9923076923076923,0.007692307692307693,Joseph Esposito RECAP,0.9923076923076923
30058,30058,100,137,1,138,137,1,0.9927536231884058,0.007246376811594203,0.9927536231884058,0.007246376811594203,Joseph Esposito RECAP,0.9927536231884058
30059,30059,100,76,0,76,76,0,1.0,0.0,1.0,0.0,Joseph Esposito RECAP,1.0
30060,30060,100,89,3,92,89,3,0.967391304347826,0.03260869565217391,0.967391304347826,0.03260869565217391,Joseph Esposito RECAP,0.967391304347826
30062,30062,100,76,2,78,76,2,0.9743589743589743,0.02564102564102564,0.9743589743589743,0.02564102564102564,Joseph Esposito RECAP,0.9743589743589743
30064,30064,100,144,1,145,144,1,0.993103448275862,0.006896551724137931,0.993103448275862,0.006896551724137931,Joseph Esposito RECAP,0.993103448275862
30066,30066,100,192,2,194,192,2,0.9896907216494846,0.010309278350515464,0.9896907216494846,0.010309278350515464,Joseph Esposito RECAP,0.9896907216494846
30067,30067,100,197,1,198,197,1,0.9949494949494949,0.005050505050505051,0.9949494949494949,0.005050505050505051,Joseph Esposito RECAP,0.9949494949494949
30068,30068,100,102,2,104,102,2,0.9807692307692307,0.019230769230769232,0.9807692307692307,0.019230769230769232,Joseph Esposito RECAP,0.9807692307692307
30069,30069,100,161,1,162,161,1,0.9938271604938271,0.006172839506172839,0.9938271604938271,0.006172839506172839,Joseph Esposito RECAP,0.9938271604938271
36001,36001,100,310,2,312,310,2,0.9935897435897436,0.00641025641025641,0.9935897435897436,0.00641025641025641,Joseph Esposito RECAP,0.9935897435897436
36002,36002,100,277,0,277,277,0,1.0,0.0,1.0,0.0,Joseph Esposito RECAP,1.0
36003,36003,100,153,0,153,153,0,1.0,0.0,1.0,0.0,Joseph Esposito RECAP,1.0
36004,36004,100,134,3,137,134,3,0.9781021897810219,0.021897810218978103,0.9781021897810219,0.021897810218978103,Joseph Esposito RECAP,0.9781021897810219
36005,36005,100,183,0,183,183,0,1.0,0.0,1.0,0.0,Joseph Esposito RECAP,1.0
36006,36006,100,135,1,136,135,1,0.9926470588235294,0.007352941176470588,0.9926470588235294,0.007352941176470588,Joseph Esposito RECAP,0.9926470588235294
