ED,Reported As,Reporting,Anna Culley (Republican),Carmen R. Velasquez (Democratic),Anna Culley (Democratic),Leslie G. Leach (Democratic),Thomas Benedetto (Conservative),William V. Decandido (Republican),John F. Casey (Republican),Ronald D. Hollie (Republican),Anna Culley (Conservative),Scattered,John F. Casey (Conservative),Ronald D. Hollie (Democratic),Total Votes,Anna Culley RECAP,Carmen R. Velasquez RECAP,Leslie G. Leach RECAP,Thomas Benedetto RECAP,William V. Decandido RECAP,John F. Casey RECAP,Ronald D. Hollie RECAP,Scattered RECAP,p_Anna Culley (Republican),p_Carmen R. Velasquez (Democratic),p_Anna Culley (Democratic),p_Leslie G. Leach (Democratic),p_Thomas Benedetto (Conservative),p_William V. Decandido (Republican),p_John F. Casey (Republican),p_Ronald D. Hollie (Republican),p_Anna Culley (Conservative),p_Scattered,p_John F. Casey (Conservative),p_Ronald D. Hollie (Democratic),p_Anna Culley RECAP,p_Carmen R. Velasquez RECAP,p_Leslie G. Leach RECAP,p_Thomas Benedetto RECAP,p_William V. Decandido RECAP,p_John F. Casey RECAP,p_Ronald D. Hollie RECAP,p_Scattered RECAP,winner,winner_p
23001,23001,100,180,64,79,63,146,169,204,191,105,1,116,73,1391,364,64,63,146,169,320,264,1,0.12940330697340044,0.04601006470165349,0.056793673616103525,0.04529115744069015,0.10496046010064701,0.12149532710280374,0.1466570812365205,0.13731128684399713,0.07548526240115025,0.0007189072609633358,0.08339324227174695,0.052480230050323505,0.2616822429906542,0.04601006470165349,0.04529115744069015,0.10496046010064701,0.12149532710280374,0.23005032350826743,0.18979151689432064,0.0007189072609633358,Anna Culley RECAP,0.2616822429906542
23002,23002,100,191,54,62,52,120,198,219,221,101,0,112,61,1391,354,54,52,120,198,331,282,0,0.13731128684399713,0.038820992092020126,0.04457225017972682,0.037383177570093455,0.08626887131560029,0.14234363767074049,0.15744069015097054,0.1588785046728972,0.07260963335729691,0.0,0.08051761322789361,0.04385334291876348,0.2544931703810209,0.038820992092020126,0.037383177570093455,0.08626887131560029,0.14234363767074049,0.23795830337886412,0.20273184759166069,0.0,Anna Culley RECAP,0.2544931703810209
23003,23003,100,154,59,66,58,97,164,193,179,74,0,77,69,1190,294,59,58,97,164,270,248,0,0.12941176470588237,0.04957983193277311,0.05546218487394958,0.04873949579831933,0.08151260504201681,0.13781512605042018,0.16218487394957984,0.15042016806722688,0.06218487394957983,0.0,0.06470588235294118,0.05798319327731093,0.24705882352941178,0.04957983193277311,0.04873949579831933,0.08151260504201681,0.13781512605042018,0.226890756302521,0.20840336134453782,0.0,Anna Culley RECAP,0.24705882352941178
23004,23004,100,22,18,26,16,10,29,33,29,8,0,11,18,220,56,18,16,10,29,44,47,0,0.1,0.08181818181818182,0.11818181818181818,0.07272727272727272,0.045454545454545456,0.1318181818181818,0.15,0.1318181818181818,0.03636363636363636,0.0,0.05,0.08181818181818182,0.2545454545454545,0.08181818181818182,0.07272727272727272,0.045454545454545456,0.1318181818181818,0.2,0.21363636363636362,0.0,Anna Culley RECAP,0.2545454545454545
23005,23005,100,139,115,137,121,52,144,145,144,32,0,41,124,1194,308,115,121,52,144,186,268,0,0.11641541038525963,0.09631490787269682,0.11474036850921274,0.10134003350083752,0.04355108877721943,0.12060301507537688,0.12144053601340034,0.12060301507537688,0.02680067001675042,0.0,0.03433835845896147,0.10385259631490787,0.25795644891122277,0.09631490787269682,0.10134003350083752,0.04355108877721943,0.12060301507537688,0.15577889447236182,0.22445561139028475,0.0,Anna Culley RECAP,0.25795644891122277
23006,23006,100,193,108,119,107,61,191,207,192,37,2,41,118,1376,349,108,107,61,191,248,310,2,0.14026162790697674,0.07848837209302326,0.08648255813953488,0.07776162790697674,0.04433139534883721,0.13880813953488372,0.1504360465116279,0.13953488372093023,0.02688953488372093,0.0014534883720930232,0.029796511627906978,0.08575581395348837,0.25363372093023256,0.07848837209302326,0.07776162790697674,0.04433139534883721,0.13880813953488372,0.18023255813953487,0.22529069767441862,0.0014534883720930232,Anna Culley RECAP,0.25363372093023256
23007,23007,100,200,86,97,90,84,208,235,210,58,2,63,90,1423,355,86,90,84,208,298,300,2,0.14054813773717498,0.060435699226985246,0.06816584680252986,0.06324666198172874,0.059030217849613494,0.14617006324666199,0.1651440618411806,0.14757554462403374,0.040758959943780745,0.0014054813773717498,0.04427266338721012,0.06324666198172874,0.2494729444834856,0.060435699226985246,0.06324666198172874,0.059030217849613494,0.14617006324666199,0.20941672522839072,0.21082220660576248,0.0014054813773717498,Anna Culley RECAP,0.2494729444834856
23008,23008,100,152,91,100,86,67,150,182,147,49,0,49,92,1165,301,91,86,67,150,231,239,0,0.13047210300429185,0.07811158798283262,0.08583690987124463,0.07381974248927038,0.05751072961373391,0.12875536480686695,0.15622317596566523,0.12618025751072962,0.04206008583690987,0.0,0.04206008583690987,0.07896995708154507,0.25836909871244634,0.07811158798283262,0.07381974248927038,0.05751072961373391,0.12875536480686695,0.1982832618025751,0.20515021459227467,0.0,Anna Culley RECAP,0.25836909871244634
23009,23009,100,143,104,115,110,51,146,172,143,35,6,38,96,1159,293,104,110,51,146,210,239,6,0.12338222605694564,0.08973252804141502,0.0992234685073339,0.09490940465918896,0.04400345125107852,0.12597066436583262,0.14840379637618636,0.12338222605694564,0.030198446937014668,0.005176876617773943,0.03278688524590164,0.08283002588438308,0.2528041415012942,0.08973252804141502,0.09490940465918896,0.04400345125107852,0.12597066436583262,0.181190681622088,0.20621225194132872,0.005176876617773943,Anna Culley RECAP,0.2528041415012942
23010,23010,100,113,113,116,109,59,117,148,121,45,0,48,102,1091,274,113,109,59,117,196,223,0,0.10357470210815765,0.10357470210815765,0.10632447296058661,0.0999083409715857,0.054078826764436295,0.10724106324472961,0.13565536205316223,0.11090742438130156,0.04124656278643447,0.0,0.043996333638863426,0.09349220898258478,0.25114573785517874,0.10357470210815765,0.0999083409715857,0.054078826764436295,0.10724106324472961,0.17965169569202566,0.20439963336388633,0.0,Anna Culley RECAP,0.25114573785517874
