ED,Reported As,Reporting,Phillip Goldfeder (Democratic),Scattered,Phillip Goldfeder (Conservative),Total Votes,Phillip Goldfeder RECAP,Scattered RECAP,p_Phillip Goldfeder (Democratic),p_Scattered,p_Phillip Goldfeder (Conservative),p_Phillip Goldfeder RECAP,p_Scattered RECAP,winner,winner_p
23001,23001,100,154,3,196,353,350,3,0.43626062322946174,0.0084985835694051,0.5552407932011332,0.9915014164305949,0.0084985835694051,Phillip Goldfeder RECAP,0.9915014164305949
23002,23002,100,143,0,184,327,327,0,0.43730886850152906,0.0,0.5626911314984709,1.0,0.0,Phillip Goldfeder RECAP,1.0
23003,23003,100,148,0,159,307,307,0,0.4820846905537459,0.0,0.5179153094462541,1.0,0.0,Phillip Goldfeder RECAP,1.0
23004,23004,100,34,0,26,60,60,0,0.5666666666666667,0.0,0.43333333333333335,1.0,0.0,Phillip Goldfeder RECAP,1.0
23005,23005,100,180,1,90,271,270,1,0.6642066420664207,0.0036900369003690036,0.33210332103321033,0.996309963099631,0.0036900369003690036,Phillip Goldfeder RECAP,0.996309963099631
23006,23006,100,183,2,117,302,300,2,0.6059602649006622,0.006622516556291391,0.38741721854304634,0.9933774834437086,0.006622516556291391,Phillip Goldfeder RECAP,0.9933774834437086
23007,23007,100,171,4,166,341,337,4,0.501466275659824,0.011730205278592375,0.4868035190615836,0.9882697947214076,0.011730205278592375,Phillip Goldfeder RECAP,0.9882697947214076
23008,23008,100,158,1,113,272,271,1,0.5808823529411765,0.003676470588235294,0.41544117647058826,0.9963235294117647,0.003676470588235294,Phillip Goldfeder RECAP,0.9963235294117647
23009,23009,100,176,6,103,285,279,6,0.6175438596491228,0.021052631578947368,0.36140350877192984,0.9789473684210527,0.021052631578947368,Phillip Goldfeder RECAP,0.9789473684210527
23010,23010,100,184,0,98,282,282,0,0.6524822695035462,0.0,0.3475177304964539,1.0,0.0,Phillip Goldfeder RECAP,1.0
23011,23011,100,165,0,96,261,261,0,0.632183908045977,0.0,0.367816091954023,1.0,0.0,Phillip Goldfeder RECAP,1.0
23012,23012,100,156,1,31,188,187,1,0.8297872340425532,0.005319148936170213,0.16489361702127658,0.9946808510638298,0.005319148936170213,Phillip Goldfeder RECAP,0.9946808510638298
23013,23013,100,160,1,58,219,218,1,0.730593607305936,0.0045662100456621,0.2648401826484018,0.9954337899543378,0.0045662100456621,Phillip Goldfeder RECAP,0.9954337899543378
23014,23014,100,213,7,90,310,303,7,0.6870967741935484,0.02258064516129032,0.2903225806451613,0.9774193548387097,0.02258064516129032,Phillip Goldfeder RECAP,0.9774193548387097
23015,23015,100,227,3,49,279,276,3,0.8136200716845878,0.010752688172043012,0.17562724014336917,0.989247311827957,0.010752688172043012,Phillip Goldfeder RECAP,0.989247311827957
23016,23016,100,245,2,30,277,275,2,0.8844765342960289,0.007220216606498195,0.10830324909747292,0.9927797833935018,0.007220216606498195,Phillip Goldfeder RECAP,0.9927797833935018
23017,23017,100,144,0,13,157,157,0,0.9171974522292994,0.0,0.08280254777070063,1.0,0.0,Phillip Goldfeder RECAP,1.0
23018,23018,100,115,0,5,120,120,0,0.9583333333333334,0.0,0.041666666666666664,1.0,0.0,Phillip Goldfeder RECAP,1.0
23019,23019,100,207,0,32,239,239,0,0.8661087866108786,0.0,0.13389121338912133,1.0,0.0,Phillip Goldfeder RECAP,1.0
23020,23020,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
23021,23021,100,90,2,23,115,113,2,0.782608695652174,0.017391304347826087,0.2,0.9826086956521739,0.017391304347826087,Phillip Goldfeder RECAP,0.9826086956521739
23022,23022,100,1,0,0,1,1,0,1.0,0.0,0.0,1.0,0.0,Phillip Goldfeder RECAP,1.0
23023,23023,100,109,0,22,131,131,0,0.8320610687022901,0.0,0.16793893129770993,1.0,0.0,Phillip Goldfeder RECAP,1.0
23024,23024,100,188,0,19,207,207,0,0.9082125603864735,0.0,0.09178743961352658,1.0,0.0,Phillip Goldfeder RECAP,1.0
23025,23025,100,153,1,70,224,223,1,0.6830357142857143,0.004464285714285714,0.3125,0.9955357142857143,0.004464285714285714,Phillip Goldfeder RECAP,0.9955357142857143
23026,23026,100,224,1,25,250,249,1,0.896,0.004,0.1,0.996,0.004,Phillip Goldfeder RECAP,0.996
23027,23027,100,160,2,134,296,294,2,0.5405405405405406,0.006756756756756757,0.4527027027027027,0.9932432432432432,0.006756756756756757,Phillip Goldfeder RECAP,0.9932432432432432
23028,23028,100,199,1,92,292,291,1,0.6815068493150684,0.003424657534246575,0.3150684931506849,0.9965753424657534,0.003424657534246575,Phillip Goldfeder RECAP,0.9965753424657534
23029,23029,100,211,1,31,243,242,1,0.8683127572016461,0.00411522633744856,0.12757201646090535,0.9958847736625515,0.00411522633744856,Phillip Goldfeder RECAP,0.9958847736625515
23030,23030,100,211,0,22,233,233,0,0.9055793991416309,0.0,0.0944206008583691,1.0,0.0,Phillip Goldfeder RECAP,1.0
23031,23031,100,209,0,17,226,226,0,0.9247787610619469,0.0,0.0752212389380531,1.0,0.0,Phillip Goldfeder RECAP,1.0
23032,23032,100,129,0,4,133,133,0,0.9699248120300752,0.0,0.03007518796992481,1.0,0.0,Phillip Goldfeder RECAP,1.0
