ED,Reported As,Reporting,David I. Weprin (Working Families),David I. Weprin (Democratic),Scattered,Total Votes,David I. Weprin RECAP,Scattered RECAP,p_David I. Weprin (Working Families),p_David I. Weprin (Democratic),p_Scattered,p_David I. Weprin RECAP,p_Scattered RECAP,winner,winner_p
24001,24001,100,22,131,0,153,153,0,0.1437908496732026,0.8562091503267973,0.0,1.0,0.0,David I. Weprin RECAP,1.0
24002,24002,100,44,215,3,262,259,3,0.16793893129770993,0.8206106870229007,0.011450381679389313,0.9885496183206107,0.011450381679389313,David I. Weprin RECAP,0.9885496183206107
24003,24003,100,20,157,1,178,177,1,0.11235955056179775,0.8820224719101124,0.0056179775280898875,0.9943820224719101,0.0056179775280898875,David I. Weprin RECAP,0.9943820224719101
24004,24004,100,14,100,2,116,114,2,0.1206896551724138,0.8620689655172413,0.017241379310344827,0.9827586206896551,0.017241379310344827,David I. Weprin RECAP,0.9827586206896551
24005,24005,100,19,205,5,229,224,5,0.08296943231441048,0.8951965065502183,0.021834061135371178,0.9781659388646288,0.021834061135371178,David I. Weprin RECAP,0.9781659388646288
24006,24006,100,18,168,1,187,186,1,0.0962566844919786,0.8983957219251337,0.0053475935828877,0.9946524064171123,0.0053475935828877,David I. Weprin RECAP,0.9946524064171123
24007,24007,100,10,123,1,134,133,1,0.07462686567164178,0.917910447761194,0.007462686567164179,0.9925373134328358,0.007462686567164179,David I. Weprin RECAP,0.9925373134328358
24008,24008,100,4,39,0,43,43,0,0.09302325581395349,0.9069767441860465,0.0,1.0,0.0,David I. Weprin RECAP,1.0
24009,24009,100,0,5,0,5,5,0,0.0,1.0,0.0,1.0,0.0,David I. Weprin RECAP,1.0
24010,24010,100,12,70,0,82,82,0,0.14634146341463414,0.8536585365853658,0.0,1.0,0.0,David I. Weprin RECAP,1.0
24011,24011,100,11,95,3,109,106,3,0.10091743119266056,0.8715596330275229,0.027522935779816515,0.9724770642201835,0.027522935779816515,David I. Weprin RECAP,0.9724770642201835
24012,24012,100,2,19,0,21,21,0,0.09523809523809523,0.9047619047619048,0.0,1.0,0.0,David I. Weprin RECAP,1.0
24013,24013,100,14,169,0,183,183,0,0.07650273224043716,0.9234972677595629,0.0,1.0,0.0,David I. Weprin RECAP,1.0
24014,24014,100,15,136,0,151,151,0,0.09933774834437085,0.9006622516556292,0.0,1.0,0.0,David I. Weprin RECAP,1.0
24015,24015,100,18,124,0,142,142,0,0.1267605633802817,0.8732394366197183,0.0,1.0,0.0,David I. Weprin RECAP,1.0
24016,24016,100,18,89,0,107,107,0,0.16822429906542055,0.8317757009345794,0.0,1.0,0.0,David I. Weprin RECAP,1.0
24017,24017,100,30,215,1,246,245,1,0.12195121951219512,0.8739837398373984,0.0040650406504065045,0.9959349593495935,0.0040650406504065045,David I. Weprin RECAP,0.9959349593495935
24018,24018,100,36,220,3,259,256,3,0.138996138996139,0.8494208494208494,0.011583011583011582,0.9884169884169884,0.011583011583011582,David I. Weprin RECAP,0.9884169884169884
24019,24019,100,30,230,6,266,260,6,0.11278195488721804,0.8646616541353384,0.022556390977443608,0.9774436090225563,0.022556390977443608,David I. Weprin RECAP,0.9774436090225563
24020,24020,100,27,262,4,293,289,4,0.09215017064846416,0.89419795221843,0.013651877133105802,0.9863481228668942,0.013651877133105802,David I. Weprin RECAP,0.9863481228668942
24021,24021,100,32,287,3,322,319,3,0.09937888198757763,0.8913043478260869,0.009316770186335404,0.9906832298136646,0.009316770186335404,David I. Weprin RECAP,0.9906832298136646
24022,24022,100,23,125,0,148,148,0,0.1554054054054054,0.8445945945945946,0.0,1.0,0.0,David I. Weprin RECAP,1.0
24023,24023,100,3,10,0,13,13,0,0.23076923076923078,0.7692307692307693,0.0,1.0,0.0,David I. Weprin RECAP,1.0
24024,24024,100,40,235,2,277,275,2,0.1444043321299639,0.8483754512635379,0.007220216606498195,0.9927797833935018,0.007220216606498195,David I. Weprin RECAP,0.9927797833935018
24025,24025,100,33,250,3,286,283,3,0.11538461538461539,0.8741258741258742,0.01048951048951049,0.9895104895104895,0.01048951048951049,David I. Weprin RECAP,0.9895104895104895
24026,24026,100,2,88,1,91,90,1,0.02197802197802198,0.967032967032967,0.01098901098901099,0.989010989010989,0.01098901098901099,David I. Weprin RECAP,0.989010989010989
24027,24027,100,9,245,2,256,254,2,0.03515625,0.95703125,0.0078125,0.9921875,0.0078125,David I. Weprin RECAP,0.9921875
24028,24028,100,18,183,4,205,201,4,0.08780487804878048,0.8926829268292683,0.01951219512195122,0.9804878048780488,0.01951219512195122,David I. Weprin RECAP,0.9804878048780488
24029,24029,100,20,334,0,354,354,0,0.05649717514124294,0.943502824858757,0.0,1.0,0.0,David I. Weprin RECAP,1.0
24030,24030,100,24,288,0,312,312,0,0.07692307692307693,0.9230769230769231,0.0,1.0,0.0,David I. Weprin RECAP,1.0
24031,24031,100,7,113,0,120,120,0,0.058333333333333334,0.9416666666666667,0.0,1.0,0.0,David I. Weprin RECAP,1.0
24032,24032,100,9,113,1,123,122,1,0.07317073170731707,0.9186991869918699,0.008130081300813009,0.991869918699187,0.008130081300813009,David I. Weprin RECAP,0.991869918699187
24033,24033,100,22,189,3,214,211,3,0.102803738317757,0.883177570093458,0.014018691588785047,0.985981308411215,0.014018691588785047,David I. Weprin RECAP,0.985981308411215
24034,24034,100,16,123,1,140,139,1,0.11428571428571428,0.8785714285714286,0.007142857142857143,0.9928571428571429,0.007142857142857143,David I. Weprin RECAP,0.9928571428571429
24035,24035,100,13,173,2,188,186,2,0.06914893617021277,0.9202127659574468,0.010638297872340425,0.9893617021276596,0.010638297872340425,David I. Weprin RECAP,0.9893617021276596
