ED,Reported As,Reporting,Nily D. Rozic (Democratic),Nily D. Rozic (Independence),Scattered,Nily D. Rozic (Working Families),Total Votes,Nily D. Rozic RECAP,Scattered RECAP,p_Nily D. Rozic (Democratic),p_Nily D. Rozic (Independence),p_Scattered,p_Nily D. Rozic (Working Families),p_Nily D. Rozic RECAP,p_Scattered RECAP,winner,winner_p
25001,25001,100,143,6,3,16,168,165,3,0.8511904761904762,0.03571428571428571,0.017857142857142856,0.09523809523809523,0.9821428571428571,0.017857142857142856,Nily D. Rozic RECAP,0.9821428571428571
25002,25002,100,16,0,1,2,19,18,1,0.8421052631578947,0.0,0.05263157894736842,0.10526315789473684,0.9473684210526315,0.05263157894736842,Nily D. Rozic RECAP,0.9473684210526315
25003,25003,100,151,6,2,9,168,166,2,0.8988095238095238,0.03571428571428571,0.011904761904761904,0.05357142857142857,0.9880952380952381,0.011904761904761904,Nily D. Rozic RECAP,0.9880952380952381
25004,25004,100,130,9,1,19,159,158,1,0.8176100628930818,0.05660377358490566,0.006289308176100629,0.11949685534591195,0.9937106918238994,0.006289308176100629,Nily D. Rozic RECAP,0.9937106918238994
25005,25005,100,25,1,0,1,27,27,0,0.9259259259259259,0.037037037037037035,0.0,0.037037037037037035,1.0,0.0,Nily D. Rozic RECAP,1.0
25006,25006,100,103,2,1,6,112,111,1,0.9196428571428571,0.017857142857142856,0.008928571428571428,0.05357142857142857,0.9910714285714286,0.008928571428571428,Nily D. Rozic RECAP,0.9910714285714286
25007,25007,100,188,6,2,17,213,211,2,0.8826291079812206,0.028169014084507043,0.009389671361502348,0.07981220657276995,0.9906103286384976,0.009389671361502348,Nily D. Rozic RECAP,0.9906103286384976
25008,25008,100,109,3,0,16,128,128,0,0.8515625,0.0234375,0.0,0.125,1.0,0.0,Nily D. Rozic RECAP,1.0
25009,25009,100,35,0,2,3,40,38,2,0.875,0.0,0.05,0.075,0.95,0.05,Nily D. Rozic RECAP,0.95
25010,25010,100,165,12,3,12,192,189,3,0.859375,0.0625,0.015625,0.0625,0.984375,0.015625,Nily D. Rozic RECAP,0.984375
25011,25011,100,136,16,0,13,165,165,0,0.8242424242424242,0.09696969696969697,0.0,0.07878787878787878,1.0,0.0,Nily D. Rozic RECAP,1.0
25012,25012,100,178,21,2,16,217,215,2,0.8202764976958525,0.0967741935483871,0.009216589861751152,0.07373271889400922,0.9907834101382489,0.009216589861751152,Nily D. Rozic RECAP,0.9907834101382489
25013,25013,100,117,15,1,16,149,148,1,0.785234899328859,0.10067114093959731,0.006711409395973154,0.10738255033557047,0.9932885906040269,0.006711409395973154,Nily D. Rozic RECAP,0.9932885906040269
25014,25014,100,102,16,1,14,133,132,1,0.7669172932330827,0.12030075187969924,0.007518796992481203,0.10526315789473684,0.9924812030075187,0.007518796992481203,Nily D. Rozic RECAP,0.9924812030075187
25015,25015,100,109,14,1,10,134,133,1,0.8134328358208955,0.1044776119402985,0.007462686567164179,0.07462686567164178,0.9925373134328358,0.007462686567164179,Nily D. Rozic RECAP,0.9925373134328358
25016,25016,100,168,18,0,18,204,204,0,0.8235294117647058,0.08823529411764706,0.0,0.08823529411764706,1.0,0.0,Nily D. Rozic RECAP,1.0
25017,25017,100,194,23,1,13,231,230,1,0.8398268398268398,0.09956709956709957,0.004329004329004329,0.05627705627705628,0.9956709956709957,0.004329004329004329,Nily D. Rozic RECAP,0.9956709956709957
25018,25018,100,253,14,0,17,284,284,0,0.8908450704225352,0.04929577464788732,0.0,0.05985915492957746,1.0,0.0,Nily D. Rozic RECAP,1.0
25019,25019,100,240,5,1,6,252,251,1,0.9523809523809523,0.01984126984126984,0.003968253968253968,0.023809523809523808,0.996031746031746,0.003968253968253968,Nily D. Rozic RECAP,0.996031746031746
25020,25020,100,175,5,2,14,196,194,2,0.8928571428571429,0.025510204081632654,0.01020408163265306,0.07142857142857142,0.9897959183673469,0.01020408163265306,Nily D. Rozic RECAP,0.9897959183673469
25021,25021,100,163,13,0,7,183,183,0,0.8907103825136612,0.07103825136612021,0.0,0.03825136612021858,1.0,0.0,Nily D. Rozic RECAP,1.0
