ED,Reported As,Reporting,Edward C. Braunstein (Working Families),Edward C. Braunstein (Independence),Scattered,Edward C. Braunstein (Democratic),Total Votes,Edward C. Braunstein RECAP,Scattered RECAP,p_Edward C. Braunstein (Working Families),p_Edward C. Braunstein (Independence),p_Scattered,p_Edward C. Braunstein (Democratic),p_Edward C. Braunstein RECAP,p_Scattered RECAP,winner,winner_p
26001,26001,100,7,16,2,44,69,67,2,0.10144927536231885,0.2318840579710145,0.028985507246376812,0.6376811594202898,0.9710144927536232,0.028985507246376812,Edward C. Braunstein RECAP,0.9710144927536232
26002,26002,100,1,2,0,43,46,46,0,0.021739130434782608,0.043478260869565216,0.0,0.9347826086956522,1.0,0.0,Edward C. Braunstein RECAP,1.0
26003,26003,100,24,26,1,165,216,215,1,0.1111111111111111,0.12037037037037036,0.004629629629629629,0.7638888888888888,0.9953703703703703,0.004629629629629629,Edward C. Braunstein RECAP,0.9953703703703703
26004,26004,100,13,19,1,129,162,161,1,0.08024691358024691,0.11728395061728394,0.006172839506172839,0.7962962962962963,0.9938271604938271,0.006172839506172839,Edward C. Braunstein RECAP,0.9938271604938271
26005,26005,100,18,18,0,156,192,192,0,0.09375,0.09375,0.0,0.8125,1.0,0.0,Edward C. Braunstein RECAP,1.0
26006,26006,100,9,9,1,114,133,132,1,0.06766917293233082,0.06766917293233082,0.007518796992481203,0.8571428571428571,0.9924812030075187,0.007518796992481203,Edward C. Braunstein RECAP,0.9924812030075187
26007,26007,100,7,15,1,97,120,119,1,0.058333333333333334,0.125,0.008333333333333333,0.8083333333333333,0.9916666666666667,0.008333333333333333,Edward C. Braunstein RECAP,0.9916666666666667
26008,26008,100,22,30,2,216,270,268,2,0.08148148148148149,0.1111111111111111,0.007407407407407408,0.8,0.9925925925925926,0.007407407407407408,Edward C. Braunstein RECAP,0.9925925925925926
26009,26009,100,12,31,3,201,247,244,3,0.048582995951417005,0.12550607287449392,0.012145748987854251,0.8137651821862348,0.9878542510121457,0.012145748987854251,Edward C. Braunstein RECAP,0.9878542510121457
26010,26010,100,10,22,0,192,224,224,0,0.044642857142857144,0.09821428571428571,0.0,0.8571428571428571,1.0,0.0,Edward C. Braunstein RECAP,1.0
26011,26011,100,12,32,2,113,159,157,2,0.07547169811320754,0.20125786163522014,0.012578616352201259,0.710691823899371,0.9874213836477987,0.012578616352201259,Edward C. Braunstein RECAP,0.9874213836477987
26012,26012,100,12,30,0,97,139,139,0,0.08633093525179857,0.2158273381294964,0.0,0.697841726618705,1.0,0.0,Edward C. Braunstein RECAP,1.0
26013,26013,100,15,23,5,165,208,203,5,0.07211538461538461,0.11057692307692307,0.02403846153846154,0.7932692307692307,0.9759615384615384,0.02403846153846154,Edward C. Braunstein RECAP,0.9759615384615384
26014,26014,100,14,17,2,128,161,159,2,0.08695652173913043,0.10559006211180125,0.012422360248447204,0.7950310559006211,0.9875776397515528,0.012422360248447204,Edward C. Braunstein RECAP,0.9875776397515528
26015,26015,100,15,24,0,206,245,245,0,0.061224489795918366,0.09795918367346938,0.0,0.8408163265306122,1.0,0.0,Edward C. Braunstein RECAP,1.0
26016,26016,100,22,33,2,284,341,339,2,0.06451612903225806,0.0967741935483871,0.005865102639296188,0.8328445747800587,0.9941348973607038,0.005865102639296188,Edward C. Braunstein RECAP,0.9941348973607038
26017,26017,100,18,35,0,176,229,229,0,0.07860262008733625,0.15283842794759825,0.0,0.7685589519650655,1.0,0.0,Edward C. Braunstein RECAP,1.0
26018,26018,100,9,25,2,85,121,119,2,0.0743801652892562,0.2066115702479339,0.01652892561983471,0.7024793388429752,0.9834710743801653,0.01652892561983471,Edward C. Braunstein RECAP,0.9834710743801653
26019,26019,100,19,18,0,198,235,235,0,0.08085106382978724,0.07659574468085106,0.0,0.8425531914893617,1.0,0.0,Edward C. Braunstein RECAP,1.0
26020,26020,100,14,22,1,239,276,275,1,0.050724637681159424,0.07971014492753623,0.0036231884057971015,0.8659420289855072,0.9963768115942029,0.0036231884057971015,Edward C. Braunstein RECAP,0.9963768115942029
