ED,Reported As,Reporting,Michael A. Simanowitz (Conservative),Michael A. Simanowitz (Democratic),Michael A. Simanowitz (Independence),Scattered,Total Votes,Michael A. Simanowitz RECAP,Scattered RECAP,p_Michael A. Simanowitz (Conservative),p_Michael A. Simanowitz (Democratic),p_Michael A. Simanowitz (Independence),p_Scattered,p_Michael A. Simanowitz RECAP,p_Scattered RECAP,winner,winner_p
27001,27001,100,76,149,13,5,243,238,5,0.31275720164609055,0.6131687242798354,0.053497942386831275,0.0205761316872428,0.9794238683127572,0.0205761316872428,Michael A. Simanowitz RECAP,0.9794238683127572
27002,27002,100,4,139,5,1,149,148,1,0.026845637583892617,0.9328859060402684,0.03355704697986577,0.006711409395973154,0.9932885906040269,0.006711409395973154,Michael A. Simanowitz RECAP,0.9932885906040269
27003,27003,100,19,119,6,2,146,144,2,0.13013698630136986,0.815068493150685,0.0410958904109589,0.0136986301369863,0.9863013698630136,0.0136986301369863,Michael A. Simanowitz RECAP,0.9863013698630136
27004,27004,100,24,156,9,3,192,189,3,0.125,0.8125,0.046875,0.015625,0.984375,0.015625,Michael A. Simanowitz RECAP,0.984375
27005,27005,100,35,165,11,0,211,211,0,0.16587677725118483,0.7819905213270142,0.052132701421800945,0.0,1.0,0.0,Michael A. Simanowitz RECAP,1.0
27006,27006,100,15,146,7,2,170,168,2,0.08823529411764706,0.8588235294117647,0.041176470588235294,0.011764705882352941,0.9882352941176471,0.011764705882352941,Michael A. Simanowitz RECAP,0.9882352941176471
27007,27007,100,19,280,21,1,321,320,1,0.059190031152647975,0.8722741433021807,0.06542056074766354,0.003115264797507788,0.9968847352024922,0.003115264797507788,Michael A. Simanowitz RECAP,0.9968847352024922
27008,27008,100,11,148,10,1,170,169,1,0.06470588235294118,0.8705882352941177,0.058823529411764705,0.0058823529411764705,0.9941176470588236,0.0058823529411764705,Michael A. Simanowitz RECAP,0.9941176470588236
27009,27009,100,12,175,11,1,199,198,1,0.06030150753768844,0.8793969849246231,0.05527638190954774,0.005025125628140704,0.9949748743718593,0.005025125628140704,Michael A. Simanowitz RECAP,0.9949748743718593
27010,27010,100,0,2,0,0,2,2,0,0.0,1.0,0.0,0.0,1.0,0.0,Michael A. Simanowitz RECAP,1.0
27011,27011,100,1,103,4,1,109,108,1,0.009174311926605505,0.944954128440367,0.03669724770642202,0.009174311926605505,0.9908256880733946,0.009174311926605505,Michael A. Simanowitz RECAP,0.9908256880733946
27012,27012,100,19,156,9,1,185,184,1,0.10270270270270271,0.8432432432432433,0.04864864864864865,0.005405405405405406,0.9945945945945946,0.005405405405405406,Michael A. Simanowitz RECAP,0.9945945945945946
27013,27013,100,17,255,12,0,284,284,0,0.05985915492957746,0.897887323943662,0.04225352112676056,0.0,1.0,0.0,Michael A. Simanowitz RECAP,1.0
27014,27014,100,16,214,9,2,241,239,2,0.06639004149377593,0.8879668049792531,0.03734439834024896,0.008298755186721992,0.991701244813278,0.008298755186721992,Michael A. Simanowitz RECAP,0.991701244813278
27015,27015,100,16,144,4,2,166,164,2,0.0963855421686747,0.8674698795180723,0.024096385542168676,0.012048192771084338,0.9879518072289156,0.012048192771084338,Michael A. Simanowitz RECAP,0.9879518072289156
27016,27016,100,7,58,4,0,69,69,0,0.10144927536231885,0.8405797101449275,0.057971014492753624,0.0,1.0,0.0,Michael A. Simanowitz RECAP,1.0
27017,27017,100,17,126,4,0,147,147,0,0.11564625850340136,0.8571428571428571,0.027210884353741496,0.0,1.0,0.0,Michael A. Simanowitz RECAP,1.0
27018,27018,100,3,11,1,0,15,15,0,0.2,0.7333333333333333,0.06666666666666667,0.0,1.0,0.0,Michael A. Simanowitz RECAP,1.0
27019,27019,100,16,184,8,1,209,208,1,0.07655502392344497,0.8803827751196173,0.03827751196172249,0.004784688995215311,0.9952153110047847,0.004784688995215311,Michael A. Simanowitz RECAP,0.9952153110047847
27020,27020,100,15,140,9,1,165,164,1,0.09090909090909091,0.8484848484848485,0.05454545454545454,0.006060606060606061,0.9939393939393939,0.006060606060606061,Michael A. Simanowitz RECAP,0.9939393939393939
27021,27021,100,16,231,11,2,260,258,2,0.06153846153846154,0.8884615384615384,0.04230769230769231,0.007692307692307693,0.9923076923076923,0.007692307692307693,Michael A. Simanowitz RECAP,0.9923076923076923
27022,27022,100,28,131,3,1,163,162,1,0.17177914110429449,0.803680981595092,0.018404907975460124,0.006134969325153374,0.9938650306748467,0.006134969325153374,Michael A. Simanowitz RECAP,0.9938650306748467
27023,27023,100,53,103,13,2,171,169,2,0.30994152046783624,0.6023391812865497,0.07602339181286549,0.011695906432748537,0.9883040935672515,0.011695906432748537,Michael A. Simanowitz RECAP,0.9883040935672515
27024,27024,100,47,118,7,1,173,172,1,0.27167630057803466,0.6820809248554913,0.04046242774566474,0.005780346820809248,0.9942196531791907,0.005780346820809248,Michael A. Simanowitz RECAP,0.9942196531791907
27025,27025,100,73,160,13,2,248,246,2,0.29435483870967744,0.6451612903225806,0.05241935483870968,0.008064516129032258,0.9919354838709677,0.008064516129032258,Michael A. Simanowitz RECAP,0.9919354838709677
27026,27026,100,45,129,8,0,182,182,0,0.24725274725274726,0.7087912087912088,0.04395604395604396,0.0,1.0,0.0,Michael A. Simanowitz RECAP,1.0
27027,27027,100,50,136,5,2,193,191,2,0.25906735751295334,0.7046632124352331,0.025906735751295335,0.010362694300518135,0.9896373056994818,0.010362694300518135,Michael A. Simanowitz RECAP,0.9896373056994818
27028,27028,100,32,158,6,3,199,196,3,0.16080402010050251,0.7939698492462312,0.03015075376884422,0.01507537688442211,0.9849246231155779,0.01507537688442211,Michael A. Simanowitz RECAP,0.9849246231155779
27029,27029,100,27,85,1,1,114,113,1,0.23684210526315788,0.7456140350877193,0.008771929824561403,0.008771929824561403,0.9912280701754386,0.008771929824561403,Michael A. Simanowitz RECAP,0.9912280701754386
27030,27030,100,44,105,1,2,152,150,2,0.2894736842105263,0.6907894736842105,0.006578947368421052,0.013157894736842105,0.9868421052631579,0.013157894736842105,Michael A. Simanowitz RECAP,0.9868421052631579
27031,27031,100,0,17,0,0,17,17,0,0.0,1.0,0.0,0.0,1.0,0.0,Michael A. Simanowitz RECAP,1.0
27032,27032,100,1,18,1,0,20,20,0,0.05,0.9,0.05,0.0,1.0,0.0,Michael A. Simanowitz RECAP,1.0
27033,27033,100,1,13,0,2,16,14,2,0.0625,0.8125,0.0,0.125,0.875,0.125,Michael A. Simanowitz RECAP,0.875
27034,27034,100,16,160,6,1,183,182,1,0.08743169398907104,0.8743169398907104,0.03278688524590164,0.00546448087431694,0.994535519125683,0.00546448087431694,Michael A. Simanowitz RECAP,0.994535519125683
27035,27035,100,8,245,5,4,262,258,4,0.030534351145038167,0.9351145038167938,0.019083969465648856,0.015267175572519083,0.9847328244274809,0.015267175572519083,Michael A. Simanowitz RECAP,0.9847328244274809
27036,27036,100,26,202,15,0,243,243,0,0.10699588477366255,0.831275720164609,0.06172839506172839,0.0,1.0,0.0,Michael A. Simanowitz RECAP,1.0
27037,27037,100,8,281,6,0,295,295,0,0.02711864406779661,0.9525423728813559,0.020338983050847456,0.0,1.0,0.0,Michael A. Simanowitz RECAP,1.0
27038,27038,100,18,279,12,2,311,309,2,0.05787781350482315,0.8971061093247589,0.03858520900321544,0.006430868167202572,0.9935691318327974,0.006430868167202572,Michael A. Simanowitz RECAP,0.9935691318327974
27039,27039,100,7,228,5,0,240,240,0,0.029166666666666667,0.95,0.020833333333333332,0.0,1.0,0.0,Michael A. Simanowitz RECAP,1.0
27040,27040,100,7,177,8,1,193,192,1,0.03626943005181347,0.917098445595855,0.04145077720207254,0.0051813471502590676,0.9948186528497409,0.0051813471502590676,Michael A. Simanowitz RECAP,0.9948186528497409
27041,27041,100,5,142,5,0,152,152,0,0.03289473684210526,0.9342105263157895,0.03289473684210526,0.0,1.0,0.0,Michael A. Simanowitz RECAP,1.0
27042,27042,100,12,209,7,2,230,228,2,0.05217391304347826,0.908695652173913,0.030434782608695653,0.008695652173913044,0.991304347826087,0.008695652173913044,Michael A. Simanowitz RECAP,0.991304347826087
27043,27043,100,23,117,8,0,148,148,0,0.1554054054054054,0.7905405405405406,0.05405405405405406,0.0,1.0,0.0,Michael A. Simanowitz RECAP,1.0
27044,27044,100,9,112,2,1,124,123,1,0.07258064516129033,0.9032258064516129,0.016129032258064516,0.008064516129032258,0.9919354838709677,0.008064516129032258,Michael A. Simanowitz RECAP,0.9919354838709677
27045,27045,100,8,192,7,1,208,207,1,0.038461538461538464,0.9230769230769231,0.03365384615384615,0.004807692307692308,0.9951923076923077,0.004807692307692308,Michael A. Simanowitz RECAP,0.9951923076923077
27046,27046,100,9,39,1,0,49,49,0,0.1836734693877551,0.7959183673469388,0.02040816326530612,0.0,1.0,0.0,Michael A. Simanowitz RECAP,1.0
27047,27047,100,9,126,7,0,142,142,0,0.06338028169014084,0.8873239436619719,0.04929577464788732,0.0,1.0,0.0,Michael A. Simanowitz RECAP,1.0
27048,27048,100,9,102,9,1,121,120,1,0.0743801652892562,0.8429752066115702,0.0743801652892562,0.008264462809917356,0.9917355371900827,0.008264462809917356,Michael A. Simanowitz RECAP,0.9917355371900827
27049,27049,100,12,146,13,0,171,171,0,0.07017543859649122,0.8538011695906432,0.07602339181286549,0.0,1.0,0.0,Michael A. Simanowitz RECAP,1.0
27050,27050,100,19,112,6,4,141,137,4,0.1347517730496454,0.7943262411347518,0.0425531914893617,0.028368794326241134,0.9716312056737588,0.028368794326241134,Michael A. Simanowitz RECAP,0.9716312056737588
27051,27051,100,53,130,13,4,200,196,4,0.265,0.65,0.065,0.02,0.98,0.02,Michael A. Simanowitz RECAP,0.98
27052,27052,100,23,132,9,0,164,164,0,0.1402439024390244,0.8048780487804879,0.054878048780487805,0.0,1.0,0.0,Michael A. Simanowitz RECAP,1.0
27053,27053,100,9,74,3,0,86,86,0,0.10465116279069768,0.8604651162790697,0.03488372093023256,0.0,1.0,0.0,Michael A. Simanowitz RECAP,1.0
27054,27054,100,8,95,7,1,111,110,1,0.07207207207207207,0.8558558558558559,0.06306306306306306,0.009009009009009009,0.990990990990991,0.009009009009009009,Michael A. Simanowitz RECAP,0.990990990990991
27055,27055,100,12,129,3,0,144,144,0,0.08333333333333333,0.8958333333333334,0.020833333333333332,0.0,1.0,0.0,Michael A. Simanowitz RECAP,1.0
27056,27056,100,7,130,3,0,140,140,0,0.05,0.9285714285714286,0.02142857142857143,0.0,1.0,0.0,Michael A. Simanowitz RECAP,1.0
27057,27057,100,36,40,15,0,91,91,0,0.3956043956043956,0.43956043956043955,0.16483516483516483,0.0,1.0,0.0,Michael A. Simanowitz RECAP,1.0
27058,27058,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
27059,27059,100,42,87,11,0,140,140,0,0.3,0.6214285714285714,0.07857142857142857,0.0,1.0,0.0,Michael A. Simanowitz RECAP,1.0
27060,27060,100,24,149,11,5,189,184,5,0.12698412698412698,0.7883597883597884,0.0582010582010582,0.026455026455026454,0.9735449735449735,0.026455026455026454,Michael A. Simanowitz RECAP,0.9735449735449735
27061,27061,100,38,120,15,5,178,173,5,0.21348314606741572,0.6741573033707865,0.08426966292134831,0.028089887640449437,0.9719101123595506,0.028089887640449437,Michael A. Simanowitz RECAP,0.9719101123595506
27062,27062,100,31,121,5,1,158,157,1,0.1962025316455696,0.7658227848101266,0.03164556962025317,0.006329113924050633,0.9936708860759493,0.006329113924050633,Michael A. Simanowitz RECAP,0.9936708860759493
27063,27063,100,26,112,11,4,153,149,4,0.16993464052287582,0.7320261437908496,0.0718954248366013,0.026143790849673203,0.9738562091503268,0.026143790849673203,Michael A. Simanowitz RECAP,0.9738562091503268
27064,27064,100,25,114,19,0,158,158,0,0.15822784810126583,0.7215189873417721,0.12025316455696203,0.0,1.0,0.0,Michael A. Simanowitz RECAP,1.0
