ED,Reported As,Reporting,Andrew D. Hevesi (Working Families),Andrew D. Hevesi (Democratic),Scattered,Total Votes,Andrew D. Hevesi RECAP,Scattered RECAP,p_Andrew D. Hevesi (Working Families),p_Andrew D. Hevesi (Democratic),p_Scattered,p_Andrew D. Hevesi RECAP,p_Scattered RECAP,winner,winner_p
28001,28001,100,12,80,1,93,92,1,0.12903225806451613,0.8602150537634409,0.010752688172043012,0.989247311827957,0.010752688172043012,Andrew D. Hevesi RECAP,0.989247311827957
28002,28002,100,13,59,4,76,72,4,0.17105263157894737,0.7763157894736842,0.05263157894736842,0.9473684210526315,0.05263157894736842,Andrew D. Hevesi RECAP,0.9473684210526315
28003,28003,100,16,140,0,156,156,0,0.10256410256410256,0.8974358974358975,0.0,1.0,0.0,Andrew D. Hevesi RECAP,1.0
28004,28004,100,7,49,0,56,56,0,0.125,0.875,0.0,1.0,0.0,Andrew D. Hevesi RECAP,1.0
28005,28005,100,9,37,0,46,46,0,0.1956521739130435,0.8043478260869565,0.0,1.0,0.0,Andrew D. Hevesi RECAP,1.0
28006,28006,100,16,81,0,97,97,0,0.16494845360824742,0.8350515463917526,0.0,1.0,0.0,Andrew D. Hevesi RECAP,1.0
28007,28007,100,15,57,0,72,72,0,0.20833333333333334,0.7916666666666666,0.0,1.0,0.0,Andrew D. Hevesi RECAP,1.0
28008,28008,100,8,29,3,40,37,3,0.2,0.725,0.075,0.925,0.075,Andrew D. Hevesi RECAP,0.925
28009,28009,100,19,102,1,122,121,1,0.1557377049180328,0.8360655737704918,0.00819672131147541,0.9918032786885246,0.00819672131147541,Andrew D. Hevesi RECAP,0.9918032786885246
28010,28010,100,23,147,1,171,170,1,0.13450292397660818,0.8596491228070176,0.005847953216374269,0.9941520467836257,0.005847953216374269,Andrew D. Hevesi RECAP,0.9941520467836257
28011,28011,100,12,82,1,95,94,1,0.12631578947368421,0.8631578947368421,0.010526315789473684,0.9894736842105263,0.010526315789473684,Andrew D. Hevesi RECAP,0.9894736842105263
28012,28012,100,26,121,2,149,147,2,0.174496644295302,0.8120805369127517,0.013422818791946308,0.9865771812080537,0.013422818791946308,Andrew D. Hevesi RECAP,0.9865771812080537
28013,28013,100,2,6,0,8,8,0,0.25,0.75,0.0,1.0,0.0,Andrew D. Hevesi RECAP,1.0
28014,28014,100,8,59,1,68,67,1,0.11764705882352941,0.8676470588235294,0.014705882352941176,0.9852941176470589,0.014705882352941176,Andrew D. Hevesi RECAP,0.9852941176470589
28015,28015,100,27,146,4,177,173,4,0.15254237288135594,0.8248587570621468,0.022598870056497175,0.9774011299435028,0.022598870056497175,Andrew D. Hevesi RECAP,0.9774011299435028
28016,28016,100,31,137,7,175,168,7,0.17714285714285713,0.7828571428571428,0.04,0.96,0.04,Andrew D. Hevesi RECAP,0.96
28017,28017,100,36,104,4,144,140,4,0.25,0.7222222222222222,0.027777777777777776,0.9722222222222222,0.027777777777777776,Andrew D. Hevesi RECAP,0.9722222222222222
28018,28018,100,37,181,5,223,218,5,0.16591928251121077,0.8116591928251121,0.02242152466367713,0.9775784753363229,0.02242152466367713,Andrew D. Hevesi RECAP,0.9775784753363229
28019,28019,100,38,216,6,260,254,6,0.14615384615384616,0.8307692307692308,0.023076923076923078,0.9769230769230769,0.023076923076923078,Andrew D. Hevesi RECAP,0.9769230769230769
28020,28020,100,30,205,3,238,235,3,0.12605042016806722,0.8613445378151261,0.012605042016806723,0.9873949579831933,0.012605042016806723,Andrew D. Hevesi RECAP,0.9873949579831933
28021,28021,100,20,226,3,249,246,3,0.08032128514056225,0.9076305220883534,0.012048192771084338,0.9879518072289156,0.012048192771084338,Andrew D. Hevesi RECAP,0.9879518072289156
28022,28022,100,37,228,4,269,265,4,0.137546468401487,0.8475836431226765,0.01486988847583643,0.9851301115241635,0.01486988847583643,Andrew D. Hevesi RECAP,0.9851301115241635
28023,28023,100,37,208,3,248,245,3,0.14919354838709678,0.8387096774193549,0.012096774193548387,0.9879032258064516,0.012096774193548387,Andrew D. Hevesi RECAP,0.9879032258064516
28024,28024,100,11,134,1,146,145,1,0.07534246575342465,0.9178082191780822,0.00684931506849315,0.9931506849315068,0.00684931506849315,Andrew D. Hevesi RECAP,0.9931506849315068
28025,28025,100,22,174,5,201,196,5,0.10945273631840796,0.8656716417910447,0.024875621890547265,0.9751243781094527,0.024875621890547265,Andrew D. Hevesi RECAP,0.9751243781094527
28026,28026,100,8,80,0,88,88,0,0.09090909090909091,0.9090909090909091,0.0,1.0,0.0,Andrew D. Hevesi RECAP,1.0
28027,28027,100,15,78,0,93,93,0,0.16129032258064516,0.8387096774193549,0.0,1.0,0.0,Andrew D. Hevesi RECAP,1.0
28028,28028,100,39,220,2,261,259,2,0.14942528735632185,0.842911877394636,0.007662835249042145,0.9923371647509579,0.007662835249042145,Andrew D. Hevesi RECAP,0.9923371647509579
28029,28029,100,17,183,2,202,200,2,0.08415841584158416,0.905940594059406,0.009900990099009901,0.9900990099009901,0.009900990099009901,Andrew D. Hevesi RECAP,0.9900990099009901
28030,28030,100,25,140,2,167,165,2,0.1497005988023952,0.8383233532934131,0.011976047904191617,0.9880239520958084,0.011976047904191617,Andrew D. Hevesi RECAP,0.9880239520958084
28031,28031,100,35,245,2,282,280,2,0.12411347517730496,0.8687943262411347,0.0070921985815602835,0.9929078014184397,0.0070921985815602835,Andrew D. Hevesi RECAP,0.9929078014184397
