ED,Reported As,Reporting,William Scarborough (Working Families),William Scarborough (Democratic),Scattered,Total Votes,William Scarborough RECAP,Scattered RECAP,p_William Scarborough (Working Families),p_William Scarborough (Democratic),p_Scattered,p_William Scarborough RECAP,p_Scattered RECAP,winner,winner_p
29001,29001,100,5,86,1,92,91,1,0.05434782608695652,0.9347826086956522,0.010869565217391304,0.9891304347826086,0.010869565217391304,William Scarborough RECAP,0.9891304347826086
29002,29002,100,4,179,0,183,183,0,0.02185792349726776,0.9781420765027322,0.0,1.0,0.0,William Scarborough RECAP,1.0
29003,29003,100,9,124,0,133,133,0,0.06766917293233082,0.9323308270676691,0.0,1.0,0.0,William Scarborough RECAP,1.0
29004,29004,100,8,153,1,162,161,1,0.04938271604938271,0.9444444444444444,0.006172839506172839,0.9938271604938271,0.006172839506172839,William Scarborough RECAP,0.9938271604938271
29005,29005,100,3,46,0,49,49,0,0.061224489795918366,0.9387755102040817,0.0,1.0,0.0,William Scarborough RECAP,1.0
29006,29006,100,10,141,1,152,151,1,0.06578947368421052,0.9276315789473685,0.006578947368421052,0.993421052631579,0.006578947368421052,William Scarborough RECAP,0.993421052631579
29007,29007,100,1,19,0,20,20,0,0.05,0.95,0.0,1.0,0.0,William Scarborough RECAP,1.0
29008,29008,100,2,115,0,117,117,0,0.017094017094017096,0.9829059829059829,0.0,1.0,0.0,William Scarborough RECAP,1.0
29009,29009,100,3,140,0,143,143,0,0.02097902097902098,0.9790209790209791,0.0,1.0,0.0,William Scarborough RECAP,1.0
29010,29010,100,9,180,0,189,189,0,0.047619047619047616,0.9523809523809523,0.0,1.0,0.0,William Scarborough RECAP,1.0
29011,29011,100,1,63,0,64,64,0,0.015625,0.984375,0.0,1.0,0.0,William Scarborough RECAP,1.0
29012,29012,100,5,177,0,182,182,0,0.027472527472527472,0.9725274725274725,0.0,1.0,0.0,William Scarborough RECAP,1.0
29013,29013,100,6,106,0,112,112,0,0.05357142857142857,0.9464285714285714,0.0,1.0,0.0,William Scarborough RECAP,1.0
29014,29014,100,5,144,0,149,149,0,0.03355704697986577,0.9664429530201343,0.0,1.0,0.0,William Scarborough RECAP,1.0
29015,29015,100,10,211,0,221,221,0,0.04524886877828054,0.9547511312217195,0.0,1.0,0.0,William Scarborough RECAP,1.0
29016,29016,100,4,112,0,116,116,0,0.034482758620689655,0.9655172413793104,0.0,1.0,0.0,William Scarborough RECAP,1.0
29017,29017,100,1,141,0,142,142,0,0.007042253521126761,0.9929577464788732,0.0,1.0,0.0,William Scarborough RECAP,1.0
29018,29018,100,2,173,0,175,175,0,0.011428571428571429,0.9885714285714285,0.0,1.0,0.0,William Scarborough RECAP,1.0
29019,29019,100,3,114,0,117,117,0,0.02564102564102564,0.9743589743589743,0.0,1.0,0.0,William Scarborough RECAP,1.0
29020,29020,100,11,214,0,225,225,0,0.04888888888888889,0.9511111111111111,0.0,1.0,0.0,William Scarborough RECAP,1.0
29021,29021,100,13,274,2,289,287,2,0.04498269896193772,0.9480968858131488,0.006920415224913495,0.9930795847750865,0.006920415224913495,William Scarborough RECAP,0.9930795847750865
29022,29022,100,19,270,1,290,289,1,0.06551724137931035,0.9310344827586207,0.0034482758620689655,0.996551724137931,0.0034482758620689655,William Scarborough RECAP,0.996551724137931
29023,29023,100,12,256,0,268,268,0,0.04477611940298507,0.9552238805970149,0.0,1.0,0.0,William Scarborough RECAP,1.0
29024,29024,100,10,307,0,317,317,0,0.031545741324921134,0.9684542586750788,0.0,1.0,0.0,William Scarborough RECAP,1.0
29025,29025,100,7,313,0,320,320,0,0.021875,0.978125,0.0,1.0,0.0,William Scarborough RECAP,1.0
29026,29026,100,13,310,0,323,323,0,0.04024767801857585,0.9597523219814241,0.0,1.0,0.0,William Scarborough RECAP,1.0
29027,29027,100,10,254,0,264,264,0,0.03787878787878788,0.9621212121212122,0.0,1.0,0.0,William Scarborough RECAP,1.0
29028,29028,100,8,256,0,264,264,0,0.030303030303030304,0.9696969696969697,0.0,1.0,0.0,William Scarborough RECAP,1.0
29029,29029,100,6,331,0,337,337,0,0.017804154302670624,0.9821958456973294,0.0,1.0,0.0,William Scarborough RECAP,1.0
29030,29030,100,4,222,2,228,226,2,0.017543859649122806,0.9736842105263158,0.008771929824561403,0.9912280701754386,0.008771929824561403,William Scarborough RECAP,0.9912280701754386
29031,29031,100,7,305,0,312,312,0,0.022435897435897436,0.9775641025641025,0.0,1.0,0.0,William Scarborough RECAP,1.0
29032,29032,100,9,293,0,302,302,0,0.029801324503311258,0.9701986754966887,0.0,1.0,0.0,William Scarborough RECAP,1.0
29033,29033,100,11,273,0,284,284,0,0.03873239436619718,0.9612676056338029,0.0,1.0,0.0,William Scarborough RECAP,1.0
29034,29034,100,7,262,0,269,269,0,0.026022304832713755,0.9739776951672863,0.0,1.0,0.0,William Scarborough RECAP,1.0
29035,29035,100,9,179,0,188,188,0,0.047872340425531915,0.9521276595744681,0.0,1.0,0.0,William Scarborough RECAP,1.0
29036,29036,100,5,136,0,141,141,0,0.03546099290780142,0.9645390070921985,0.0,1.0,0.0,William Scarborough RECAP,1.0
29037,29037,100,8,146,0,154,154,0,0.05194805194805195,0.948051948051948,0.0,1.0,0.0,William Scarborough RECAP,1.0
29038,29038,100,4,200,0,204,204,0,0.0196078431372549,0.9803921568627451,0.0,1.0,0.0,William Scarborough RECAP,1.0
29039,29039,100,10,84,0,94,94,0,0.10638297872340426,0.8936170212765957,0.0,1.0,0.0,William Scarborough RECAP,1.0
29040,29040,100,7,138,0,145,145,0,0.04827586206896552,0.9517241379310345,0.0,1.0,0.0,William Scarborough RECAP,1.0
29041,29041,100,3,202,3,208,205,3,0.014423076923076924,0.9711538461538461,0.014423076923076924,0.9855769230769231,0.014423076923076924,William Scarborough RECAP,0.9855769230769231
29042,29042,100,3,222,0,225,225,0,0.013333333333333334,0.9866666666666667,0.0,1.0,0.0,William Scarborough RECAP,1.0
29043,29043,100,9,184,0,193,193,0,0.046632124352331605,0.9533678756476683,0.0,1.0,0.0,William Scarborough RECAP,1.0
29044,29044,100,12,154,0,166,166,0,0.07228915662650602,0.927710843373494,0.0,1.0,0.0,William Scarborough RECAP,1.0
29045,29045,100,5,230,0,235,235,0,0.02127659574468085,0.9787234042553191,0.0,1.0,0.0,William Scarborough RECAP,1.0
29046,29046,100,8,225,0,233,233,0,0.034334763948497854,0.9656652360515021,0.0,1.0,0.0,William Scarborough RECAP,1.0
29047,29047,100,2,243,0,245,245,0,0.00816326530612245,0.9918367346938776,0.0,1.0,0.0,William Scarborough RECAP,1.0
29048,29048,100,8,172,1,181,180,1,0.04419889502762431,0.9502762430939227,0.0055248618784530384,0.994475138121547,0.0055248618784530384,William Scarborough RECAP,0.994475138121547
29049,29049,100,8,166,0,174,174,0,0.04597701149425287,0.9540229885057471,0.0,1.0,0.0,William Scarborough RECAP,1.0
29050,29050,100,9,263,0,272,272,0,0.03308823529411765,0.9669117647058824,0.0,1.0,0.0,William Scarborough RECAP,1.0
29051,29051,100,4,317,0,321,321,0,0.012461059190031152,0.9875389408099688,0.0,1.0,0.0,William Scarborough RECAP,1.0
29052,29052,100,9,261,0,270,270,0,0.03333333333333333,0.9666666666666667,0.0,1.0,0.0,William Scarborough RECAP,1.0
29053,29053,100,2,217,0,219,219,0,0.0091324200913242,0.9908675799086758,0.0,1.0,0.0,William Scarborough RECAP,1.0
29054,29054,100,13,273,1,287,286,1,0.04529616724738676,0.9512195121951219,0.003484320557491289,0.9965156794425087,0.003484320557491289,William Scarborough RECAP,0.9965156794425087
29055,29055,100,10,295,1,306,305,1,0.032679738562091505,0.9640522875816994,0.0032679738562091504,0.9967320261437909,0.0032679738562091504,William Scarborough RECAP,0.9967320261437909
29056,29056,100,7,226,0,233,233,0,0.030042918454935622,0.9699570815450643,0.0,1.0,0.0,William Scarborough RECAP,1.0
29057,29057,100,4,207,1,212,211,1,0.018867924528301886,0.9764150943396226,0.0047169811320754715,0.9952830188679245,0.0047169811320754715,William Scarborough RECAP,0.9952830188679245
29058,29058,100,4,260,0,264,264,0,0.015151515151515152,0.9848484848484849,0.0,1.0,0.0,William Scarborough RECAP,1.0
29059,29059,100,6,343,1,350,349,1,0.017142857142857144,0.98,0.002857142857142857,0.9971428571428571,0.002857142857142857,William Scarborough RECAP,0.9971428571428571
29060,29060,100,15,330,2,347,345,2,0.043227665706051875,0.9510086455331412,0.005763688760806916,0.9942363112391931,0.005763688760806916,William Scarborough RECAP,0.9942363112391931
29061,29061,100,17,328,4,349,345,4,0.04871060171919771,0.9398280802292264,0.011461318051575931,0.9885386819484241,0.011461318051575931,William Scarborough RECAP,0.9885386819484241
29062,29062,100,13,356,2,371,369,2,0.03504043126684636,0.9595687331536388,0.005390835579514825,0.9946091644204852,0.005390835579514825,William Scarborough RECAP,0.9946091644204852
29063,29063,100,7,300,0,307,307,0,0.02280130293159609,0.9771986970684039,0.0,1.0,0.0,William Scarborough RECAP,1.0
