ED,Reported As,Reporting,Michele R. Titus (Working Families),Scattered,Michele R. Titus (Democratic),Total Votes,Michele R. Titus RECAP,Scattered RECAP,p_Michele R. Titus (Working Families),p_Scattered,p_Michele R. Titus (Democratic),p_Michele R. Titus RECAP,p_Scattered RECAP,winner,winner_p
31001,31001,100,11,1,97,109,108,1,0.10091743119266056,0.009174311926605505,0.8899082568807339,0.9908256880733946,0.009174311926605505,Michele R. Titus RECAP,0.9908256880733946
31002,31002,100,9,1,112,122,121,1,0.07377049180327869,0.00819672131147541,0.9180327868852459,0.9918032786885246,0.00819672131147541,Michele R. Titus RECAP,0.9918032786885246
31003,31003,100,8,0,108,116,116,0,0.06896551724137931,0.0,0.9310344827586207,1.0,0.0,Michele R. Titus RECAP,1.0
31004,31004,100,5,0,133,138,138,0,0.036231884057971016,0.0,0.9637681159420289,1.0,0.0,Michele R. Titus RECAP,1.0
31005,31005,100,13,0,94,107,107,0,0.12149532710280374,0.0,0.8785046728971962,1.0,0.0,Michele R. Titus RECAP,1.0
31006,31006,100,0,0,7,7,7,0,0.0,0.0,1.0,1.0,0.0,Michele R. Titus RECAP,1.0
31007,31007,100,5,0,79,84,84,0,0.05952380952380952,0.0,0.9404761904761905,1.0,0.0,Michele R. Titus RECAP,1.0
31008,31008,100,10,0,96,106,106,0,0.09433962264150944,0.0,0.9056603773584906,1.0,0.0,Michele R. Titus RECAP,1.0
31009,31009,100,6,0,126,132,132,0,0.045454545454545456,0.0,0.9545454545454546,1.0,0.0,Michele R. Titus RECAP,1.0
31010,31010,100,16,1,172,189,188,1,0.08465608465608465,0.005291005291005291,0.91005291005291,0.9947089947089947,0.005291005291005291,Michele R. Titus RECAP,0.9947089947089947
31011,31011,100,2,0,200,202,202,0,0.009900990099009901,0.0,0.9900990099009901,1.0,0.0,Michele R. Titus RECAP,1.0
31012,31012,100,7,1,109,117,116,1,0.05982905982905983,0.008547008547008548,0.9316239316239316,0.9914529914529915,0.008547008547008548,Michele R. Titus RECAP,0.9914529914529915
31013,31013,100,4,0,156,160,160,0,0.025,0.0,0.975,1.0,0.0,Michele R. Titus RECAP,1.0
31014,31014,100,1,0,197,198,198,0,0.005050505050505051,0.0,0.9949494949494949,1.0,0.0,Michele R. Titus RECAP,1.0
31015,31015,100,4,1,154,159,158,1,0.025157232704402517,0.006289308176100629,0.9685534591194969,0.9937106918238994,0.006289308176100629,Michele R. Titus RECAP,0.9937106918238994
31016,31016,100,2,0,68,70,70,0,0.02857142857142857,0.0,0.9714285714285714,1.0,0.0,Michele R. Titus RECAP,1.0
31017,31017,100,3,0,132,135,135,0,0.022222222222222223,0.0,0.9777777777777777,1.0,0.0,Michele R. Titus RECAP,1.0
31018,31018,100,2,1,200,203,202,1,0.009852216748768473,0.0049261083743842365,0.9852216748768473,0.9950738916256158,0.0049261083743842365,Michele R. Titus RECAP,0.9950738916256158
31019,31019,100,11,0,224,235,235,0,0.04680851063829787,0.0,0.9531914893617022,1.0,0.0,Michele R. Titus RECAP,1.0
31020,31020,100,3,0,45,48,48,0,0.0625,0.0,0.9375,1.0,0.0,Michele R. Titus RECAP,1.0
31021,31021,100,1,0,5,6,6,0,0.16666666666666666,0.0,0.8333333333333334,1.0,0.0,Michele R. Titus RECAP,1.0
31022,31022,100,5,1,112,118,117,1,0.0423728813559322,0.00847457627118644,0.9491525423728814,0.9915254237288136,0.00847457627118644,Michele R. Titus RECAP,0.9915254237288136
31023,31023,100,3,0,66,69,69,0,0.043478260869565216,0.0,0.9565217391304348,1.0,0.0,Michele R. Titus RECAP,1.0
31024,31024,100,5,1,172,178,177,1,0.028089887640449437,0.0056179775280898875,0.9662921348314607,0.9943820224719101,0.0056179775280898875,Michele R. Titus RECAP,0.9943820224719101
31025,31025,100,4,0,114,118,118,0,0.03389830508474576,0.0,0.9661016949152542,1.0,0.0,Michele R. Titus RECAP,1.0
31026,31026,100,9,3,82,94,91,3,0.09574468085106383,0.031914893617021274,0.8723404255319149,0.9680851063829787,0.031914893617021274,Michele R. Titus RECAP,0.9680851063829787
31027,31027,100,13,4,64,81,77,4,0.16049382716049382,0.04938271604938271,0.7901234567901234,0.9506172839506173,0.04938271604938271,Michele R. Titus RECAP,0.9506172839506173
31028,31028,100,5,0,73,78,78,0,0.0641025641025641,0.0,0.9358974358974359,1.0,0.0,Michele R. Titus RECAP,1.0
31029,31029,100,3,0,199,202,202,0,0.01485148514851485,0.0,0.9851485148514851,1.0,0.0,Michele R. Titus RECAP,1.0
31030,31030,100,1,0,4,5,5,0,0.2,0.0,0.8,1.0,0.0,Michele R. Titus RECAP,1.0
31031,31030,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
31032,31032,100,12,0,216,228,228,0,0.05263157894736842,0.0,0.9473684210526315,1.0,0.0,Michele R. Titus RECAP,1.0
31033,31033,100,1,0,82,83,83,0,0.012048192771084338,0.0,0.9879518072289156,1.0,0.0,Michele R. Titus RECAP,1.0
31034,31034,100,5,0,262,267,267,0,0.018726591760299626,0.0,0.9812734082397003,1.0,0.0,Michele R. Titus RECAP,1.0
31035,31035,100,6,0,200,206,206,0,0.02912621359223301,0.0,0.970873786407767,1.0,0.0,Michele R. Titus RECAP,1.0
31036,31036,100,2,0,235,237,237,0,0.008438818565400843,0.0,0.9915611814345991,1.0,0.0,Michele R. Titus RECAP,1.0
31037,31037,100,3,0,204,207,207,0,0.014492753623188406,0.0,0.9855072463768116,1.0,0.0,Michele R. Titus RECAP,1.0
31038,31038,100,5,2,245,252,250,2,0.01984126984126984,0.007936507936507936,0.9722222222222222,0.9920634920634921,0.007936507936507936,Michele R. Titus RECAP,0.9920634920634921
31039,31039,100,12,7,116,135,128,7,0.08888888888888889,0.05185185185185185,0.8592592592592593,0.9481481481481482,0.05185185185185185,Michele R. Titus RECAP,0.9481481481481482
