ED,Reported As,Reporting,Barbara M. Clark (Democratic),Scattered,Barbara M. Clark (Working Families),Total Votes,Barbara M. Clark RECAP,Scattered RECAP,p_Barbara M. Clark (Democratic),p_Scattered,p_Barbara M. Clark (Working Families),p_Barbara M. Clark RECAP,p_Scattered RECAP,winner,winner_p
33001,33001,100,146,3,16,165,162,3,0.8848484848484849,0.01818181818181818,0.09696969696969697,0.9818181818181818,0.01818181818181818,Barbara M. Clark RECAP,0.9818181818181818
33002,33002,100,166,0,32,198,198,0,0.8383838383838383,0.0,0.16161616161616163,1.0,0.0,Barbara M. Clark RECAP,1.0
33003,33003,100,182,3,14,199,196,3,0.914572864321608,0.01507537688442211,0.07035175879396985,0.9849246231155779,0.01507537688442211,Barbara M. Clark RECAP,0.9849246231155779
33004,33004,100,159,5,25,189,184,5,0.8412698412698413,0.026455026455026454,0.13227513227513227,0.9735449735449735,0.026455026455026454,Barbara M. Clark RECAP,0.9735449735449735
33005,33005,100,164,2,24,190,188,2,0.8631578947368421,0.010526315789473684,0.12631578947368421,0.9894736842105263,0.010526315789473684,Barbara M. Clark RECAP,0.9894736842105263
33006,33006,100,186,1,16,203,202,1,0.916256157635468,0.0049261083743842365,0.07881773399014778,0.9950738916256158,0.0049261083743842365,Barbara M. Clark RECAP,0.9950738916256158
33007,33007,100,160,2,29,191,189,2,0.837696335078534,0.010471204188481676,0.1518324607329843,0.9895287958115183,0.010471204188481676,Barbara M. Clark RECAP,0.9895287958115183
33008,33008,100,99,1,21,121,120,1,0.8181818181818182,0.008264462809917356,0.17355371900826447,0.9917355371900827,0.008264462809917356,Barbara M. Clark RECAP,0.9917355371900827
33009,33009,100,147,1,21,169,168,1,0.8698224852071006,0.005917159763313609,0.1242603550295858,0.9940828402366864,0.005917159763313609,Barbara M. Clark RECAP,0.9940828402366864
33010,33010,100,103,0,16,119,119,0,0.865546218487395,0.0,0.13445378151260504,1.0,0.0,Barbara M. Clark RECAP,1.0
33011,33011,100,122,4,25,151,147,4,0.8079470198675497,0.026490066225165563,0.16556291390728478,0.9735099337748344,0.026490066225165563,Barbara M. Clark RECAP,0.9735099337748344
33012,33012,100,170,3,25,198,195,3,0.8585858585858586,0.015151515151515152,0.12626262626262627,0.9848484848484849,0.015151515151515152,Barbara M. Clark RECAP,0.9848484848484849
33013,33013,100,188,0,24,212,212,0,0.8867924528301887,0.0,0.11320754716981132,1.0,0.0,Barbara M. Clark RECAP,1.0
33014,33014,100,122,1,16,139,138,1,0.8776978417266187,0.007194244604316547,0.11510791366906475,0.9928057553956835,0.007194244604316547,Barbara M. Clark RECAP,0.9928057553956835
33015,33015,100,92,1,12,105,104,1,0.8761904761904762,0.009523809523809525,0.11428571428571428,0.9904761904761905,0.009523809523809525,Barbara M. Clark RECAP,0.9904761904761905
33016,33016,100,31,0,0,31,31,0,1.0,0.0,0.0,1.0,0.0,Barbara M. Clark RECAP,1.0
33017,33017,100,156,1,12,169,168,1,0.9230769230769231,0.005917159763313609,0.07100591715976332,0.9940828402366864,0.005917159763313609,Barbara M. Clark RECAP,0.9940828402366864
33018,33018,100,153,1,18,172,171,1,0.8895348837209303,0.005813953488372093,0.10465116279069768,0.9941860465116279,0.005813953488372093,Barbara M. Clark RECAP,0.9941860465116279
33019,33019,100,164,1,15,180,179,1,0.9111111111111111,0.005555555555555556,0.08333333333333333,0.9944444444444445,0.005555555555555556,Barbara M. Clark RECAP,0.9944444444444445
33020,33020,100,157,3,14,174,171,3,0.9022988505747126,0.017241379310344827,0.08045977011494253,0.9827586206896551,0.017241379310344827,Barbara M. Clark RECAP,0.9827586206896551
33021,33021,100,208,2,9,219,217,2,0.9497716894977168,0.0091324200913242,0.0410958904109589,0.9908675799086758,0.0091324200913242,Barbara M. Clark RECAP,0.9908675799086758
33022,33022,100,169,3,4,176,173,3,0.9602272727272727,0.017045454545454544,0.022727272727272728,0.9829545454545454,0.017045454545454544,Barbara M. Clark RECAP,0.9829545454545454
33023,33023,100,185,1,4,190,189,1,0.9736842105263158,0.005263157894736842,0.021052631578947368,0.9947368421052631,0.005263157894736842,Barbara M. Clark RECAP,0.9947368421052631
33024,33024,100,175,0,10,185,185,0,0.9459459459459459,0.0,0.05405405405405406,1.0,0.0,Barbara M. Clark RECAP,1.0
33025,33025,100,156,1,10,167,166,1,0.9341317365269461,0.005988023952095809,0.059880239520958084,0.9940119760479041,0.005988023952095809,Barbara M. Clark RECAP,0.9940119760479041
33026,33026,100,106,0,7,113,113,0,0.9380530973451328,0.0,0.061946902654867256,1.0,0.0,Barbara M. Clark RECAP,1.0
33027,33027,100,181,0,7,188,188,0,0.9627659574468085,0.0,0.03723404255319149,1.0,0.0,Barbara M. Clark RECAP,1.0
33028,33028,100,177,0,6,183,183,0,0.9672131147540983,0.0,0.03278688524590164,1.0,0.0,Barbara M. Clark RECAP,1.0
33029,33029,100,214,0,9,223,223,0,0.9596412556053812,0.0,0.04035874439461883,1.0,0.0,Barbara M. Clark RECAP,1.0
33030,33030,100,256,2,14,272,270,2,0.9411764705882353,0.007352941176470588,0.051470588235294115,0.9926470588235294,0.007352941176470588,Barbara M. Clark RECAP,0.9926470588235294
33031,33031,100,224,0,6,230,230,0,0.9739130434782609,0.0,0.02608695652173913,1.0,0.0,Barbara M. Clark RECAP,1.0
