ED,Reported As,Reporting,Aravella Simotas (Working Families),Aravella Simotas (Democratic),Scattered,Total Votes,Aravella Simotas RECAP,Scattered RECAP,p_Aravella Simotas (Working Families),p_Aravella Simotas (Democratic),p_Scattered,p_Aravella Simotas RECAP,p_Scattered RECAP,winner,winner_p
36001,36001,100,87,266,2,355,353,2,0.24507042253521127,0.7492957746478873,0.005633802816901409,0.9943661971830986,0.005633802816901409,Aravella Simotas RECAP,0.9943661971830986
36002,36002,100,42,259,1,302,301,1,0.1390728476821192,0.8576158940397351,0.0033112582781456954,0.9966887417218543,0.0033112582781456954,Aravella Simotas RECAP,0.9966887417218543
36003,36003,100,28,133,0,161,161,0,0.17391304347826086,0.8260869565217391,0.0,1.0,0.0,Aravella Simotas RECAP,1.0
36004,36004,100,40,114,3,157,154,3,0.25477707006369427,0.7261146496815286,0.01910828025477707,0.9808917197452229,0.01910828025477707,Aravella Simotas RECAP,0.9808917197452229
36005,36005,100,38,162,2,202,200,2,0.18811881188118812,0.801980198019802,0.009900990099009901,0.9900990099009901,0.009900990099009901,Aravella Simotas RECAP,0.9900990099009901
36006,36006,100,25,125,0,150,150,0,0.16666666666666666,0.8333333333333334,0.0,1.0,0.0,Aravella Simotas RECAP,1.0
36007,36007,100,26,141,2,169,167,2,0.15384615384615385,0.834319526627219,0.011834319526627219,0.9881656804733728,0.011834319526627219,Aravella Simotas RECAP,0.9881656804733728
36008,36008,100,38,182,1,221,220,1,0.17194570135746606,0.8235294117647058,0.004524886877828055,0.995475113122172,0.004524886877828055,Aravella Simotas RECAP,0.995475113122172
36009,36009,100,33,248,0,281,281,0,0.11743772241992882,0.8825622775800712,0.0,1.0,0.0,Aravella Simotas RECAP,1.0
36010,36010,100,30,173,2,205,203,2,0.14634146341463414,0.8439024390243902,0.00975609756097561,0.9902439024390244,0.00975609756097561,Aravella Simotas RECAP,0.9902439024390244
36011,36011,100,15,140,1,156,155,1,0.09615384615384616,0.8974358974358975,0.00641025641025641,0.9935897435897436,0.00641025641025641,Aravella Simotas RECAP,0.9935897435897436
36012,36012,100,30,221,0,251,251,0,0.11952191235059761,0.8804780876494024,0.0,1.0,0.0,Aravella Simotas RECAP,1.0
36013,36013,100,30,195,4,229,225,4,0.13100436681222707,0.851528384279476,0.017467248908296942,0.982532751091703,0.017467248908296942,Aravella Simotas RECAP,0.982532751091703
36014,36014,100,18,159,2,179,177,2,0.1005586592178771,0.888268156424581,0.0111731843575419,0.9888268156424581,0.0111731843575419,Aravella Simotas RECAP,0.9888268156424581
36015,36015,100,23,123,5,151,146,5,0.152317880794702,0.8145695364238411,0.033112582781456956,0.9668874172185431,0.033112582781456956,Aravella Simotas RECAP,0.9668874172185431
36016,36016,100,28,189,5,222,217,5,0.12612612612612611,0.8513513513513513,0.02252252252252252,0.9774774774774775,0.02252252252252252,Aravella Simotas RECAP,0.9774774774774775
36017,36017,100,28,170,0,198,198,0,0.1414141414141414,0.8585858585858586,0.0,1.0,0.0,Aravella Simotas RECAP,1.0
36018,36018,100,29,148,3,180,177,3,0.16111111111111112,0.8222222222222222,0.016666666666666666,0.9833333333333333,0.016666666666666666,Aravella Simotas RECAP,0.9833333333333333
36019,36019,100,27,147,1,175,174,1,0.15428571428571428,0.84,0.005714285714285714,0.9942857142857143,0.005714285714285714,Aravella Simotas RECAP,0.9942857142857143
36020,36020,100,49,204,1,254,253,1,0.19291338582677164,0.8031496062992126,0.003937007874015748,0.9960629921259843,0.003937007874015748,Aravella Simotas RECAP,0.9960629921259843
36021,36021,100,40,154,1,195,194,1,0.20512820512820512,0.7897435897435897,0.005128205128205128,0.9948717948717949,0.005128205128205128,Aravella Simotas RECAP,0.9948717948717949
36022,36022,100,25,138,0,163,163,0,0.15337423312883436,0.8466257668711656,0.0,1.0,0.0,Aravella Simotas RECAP,1.0
36023,36023,100,18,106,0,124,124,0,0.14516129032258066,0.8548387096774194,0.0,1.0,0.0,Aravella Simotas RECAP,1.0
36024,36024,100,35,121,1,157,156,1,0.2229299363057325,0.7707006369426752,0.006369426751592357,0.9936305732484076,0.006369426751592357,Aravella Simotas RECAP,0.9936305732484076
36025,36025,100,21,119,1,141,140,1,0.14893617021276595,0.8439716312056738,0.0070921985815602835,0.9929078014184397,0.0070921985815602835,Aravella Simotas RECAP,0.9929078014184397
36026,36026,100,24,74,0,98,98,0,0.24489795918367346,0.7551020408163265,0.0,1.0,0.0,Aravella Simotas RECAP,1.0
36027,36027,100,24,88,2,114,112,2,0.21052631578947367,0.7719298245614035,0.017543859649122806,0.9824561403508771,0.017543859649122806,Aravella Simotas RECAP,0.9824561403508771
36028,36028,100,16,94,4,114,110,4,0.14035087719298245,0.8245614035087719,0.03508771929824561,0.9649122807017544,0.03508771929824561,Aravella Simotas RECAP,0.9649122807017544
36029,36029,100,19,88,2,109,107,2,0.1743119266055046,0.8073394495412844,0.01834862385321101,0.981651376146789,0.01834862385321101,Aravella Simotas RECAP,0.981651376146789
36030,36030,100,22,90,3,115,112,3,0.19130434782608696,0.782608695652174,0.02608695652173913,0.9739130434782609,0.02608695652173913,Aravella Simotas RECAP,0.9739130434782609
36031,36031,100,23,146,1,170,169,1,0.13529411764705881,0.8588235294117647,0.0058823529411764705,0.9941176470588236,0.0058823529411764705,Aravella Simotas RECAP,0.9941176470588236
36032,36032,100,26,114,2,142,140,2,0.18309859154929578,0.8028169014084507,0.014084507042253521,0.9859154929577465,0.014084507042253521,Aravella Simotas RECAP,0.9859154929577465
36033,36033,100,21,190,4,215,211,4,0.09767441860465116,0.8837209302325582,0.018604651162790697,0.9813953488372092,0.018604651162790697,Aravella Simotas RECAP,0.9813953488372092
36034,36034,100,32,152,1,185,184,1,0.17297297297297298,0.8216216216216217,0.005405405405405406,0.9945945945945946,0.005405405405405406,Aravella Simotas RECAP,0.9945945945945946
36035,36035,100,32,166,2,200,198,2,0.16,0.83,0.01,0.99,0.01,Aravella Simotas RECAP,0.99
36036,36036,100,53,160,0,213,213,0,0.24882629107981222,0.7511737089201878,0.0,1.0,0.0,Aravella Simotas RECAP,1.0
36037,36037,100,53,179,2,234,232,2,0.2264957264957265,0.7649572649572649,0.008547008547008548,0.9914529914529915,0.008547008547008548,Aravella Simotas RECAP,0.9914529914529915
36038,36038,100,36,185,1,222,221,1,0.16216216216216217,0.8333333333333334,0.0045045045045045045,0.9954954954954955,0.0045045045045045045,Aravella Simotas RECAP,0.9954954954954955
