ED,Reported As,Reporting,Catherine T. Nolan (Working Families),John Kevin Wilson (Libertarian),Scattered,Catherine T. Nolan (Democratic),Total Votes,Catherine T. Nolan RECAP,John Kevin Wilson RECAP,Scattered RECAP,p_Catherine T. Nolan (Working Families),p_John Kevin Wilson (Libertarian),p_Scattered,p_Catherine T. Nolan (Democratic),p_Catherine T. Nolan RECAP,p_John Kevin Wilson RECAP,p_Scattered RECAP,winner,winner_p
37001,37001,100,30,18,0,190,238,220,18,0,0.12605042016806722,0.07563025210084033,0.0,0.7983193277310925,0.9243697478991597,0.07563025210084033,0.0,Catherine T. Nolan RECAP,0.9243697478991597
37002,37002,100,9,4,0,150,163,159,4,0,0.05521472392638037,0.024539877300613498,0.0,0.9202453987730062,0.9754601226993865,0.024539877300613498,0.0,Catherine T. Nolan RECAP,0.9754601226993865
37003,37003,100,0,0,0,151,151,151,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Catherine T. Nolan RECAP,1.0
37004,37004,100,4,1,0,160,165,164,1,0,0.024242424242424242,0.006060606060606061,0.0,0.9696969696969697,0.9939393939393939,0.006060606060606061,0.0,Catherine T. Nolan RECAP,0.9939393939393939
37005,37005,100,12,5,0,98,115,110,5,0,0.10434782608695652,0.043478260869565216,0.0,0.8521739130434782,0.9565217391304348,0.043478260869565216,0.0,Catherine T. Nolan RECAP,0.9565217391304348
37006,37006,100,13,5,0,74,92,87,5,0,0.14130434782608695,0.05434782608695652,0.0,0.8043478260869565,0.9456521739130435,0.05434782608695652,0.0,Catherine T. Nolan RECAP,0.9456521739130435
37007,37007,100,8,2,0,114,124,122,2,0,0.06451612903225806,0.016129032258064516,0.0,0.9193548387096774,0.9838709677419355,0.016129032258064516,0.0,Catherine T. Nolan RECAP,0.9838709677419355
37008,37008,100,5,1,0,192,198,197,1,0,0.025252525252525252,0.005050505050505051,0.0,0.9696969696969697,0.9949494949494949,0.005050505050505051,0.0,Catherine T. Nolan RECAP,0.9949494949494949
37009,37009,100,7,1,0,127,135,134,1,0,0.05185185185185185,0.007407407407407408,0.0,0.9407407407407408,0.9925925925925926,0.007407407407407408,0.0,Catherine T. Nolan RECAP,0.9925925925925926
37010,37010,100,15,4,1,183,203,198,4,1,0.07389162561576355,0.019704433497536946,0.0049261083743842365,0.9014778325123153,0.9753694581280788,0.019704433497536946,0.0049261083743842365,Catherine T. Nolan RECAP,0.9753694581280788
37011,37011,100,30,21,0,166,217,196,21,0,0.1382488479262673,0.0967741935483871,0.0,0.7649769585253456,0.9032258064516129,0.0967741935483871,0.0,Catherine T. Nolan RECAP,0.9032258064516129
37012,37012,100,5,1,0,166,172,171,1,0,0.029069767441860465,0.005813953488372093,0.0,0.9651162790697675,0.9941860465116279,0.005813953488372093,0.0,Catherine T. Nolan RECAP,0.9941860465116279
37013,37013,100,3,0,0,149,152,152,0,0,0.019736842105263157,0.0,0.0,0.9802631578947368,1.0,0.0,0.0,Catherine T. Nolan RECAP,1.0
37014,37014,100,8,0,0,164,172,172,0,0,0.046511627906976744,0.0,0.0,0.9534883720930233,1.0,0.0,0.0,Catherine T. Nolan RECAP,1.0
37015,37015,100,7,2,0,128,137,135,2,0,0.051094890510948905,0.014598540145985401,0.0,0.9343065693430657,0.9854014598540146,0.014598540145985401,0.0,Catherine T. Nolan RECAP,0.9854014598540146
37016,37016,100,12,2,0,154,168,166,2,0,0.07142857142857142,0.011904761904761904,0.0,0.9166666666666666,0.9880952380952381,0.011904761904761904,0.0,Catherine T. Nolan RECAP,0.9880952380952381
37017,37017,100,6,3,0,182,191,188,3,0,0.031413612565445025,0.015706806282722512,0.0,0.9528795811518325,0.9842931937172775,0.015706806282722512,0.0,Catherine T. Nolan RECAP,0.9842931937172775
37018,37018,100,54,11,3,189,257,243,11,3,0.21011673151750973,0.042801556420233464,0.011673151750972763,0.7354085603112841,0.9455252918287937,0.042801556420233464,0.011673151750972763,Catherine T. Nolan RECAP,0.9455252918287937
37019,37019,100,64,33,2,215,314,279,33,2,0.20382165605095542,0.10509554140127389,0.006369426751592357,0.6847133757961783,0.8885350318471338,0.10509554140127389,0.006369426751592357,Catherine T. Nolan RECAP,0.8885350318471338
37020,37020,100,26,18,3,126,173,152,18,3,0.15028901734104047,0.10404624277456648,0.017341040462427744,0.7283236994219653,0.8786127167630058,0.10404624277456648,0.017341040462427744,Catherine T. Nolan RECAP,0.8786127167630058
37021,37021,100,28,21,0,203,252,231,21,0,0.1111111111111111,0.08333333333333333,0.0,0.8055555555555556,0.9166666666666666,0.08333333333333333,0.0,Catherine T. Nolan RECAP,0.9166666666666666
