ED,Reported As,Reporting,Scattered,Michael G. Miller (Democratic),Total Votes,Scattered RECAP,Michael G. Miller RECAP,p_Scattered,p_Michael G. Miller (Democratic),p_Scattered RECAP,p_Michael G. Miller RECAP,winner,winner_p
38001,38001,100,0,123,123,0,123,0.0,1.0,0.0,1.0,Michael G. Miller RECAP,1.0
38002,38002,100,0,120,120,0,120,0.0,1.0,0.0,1.0,Michael G. Miller RECAP,1.0
38003,38003,100,0,117,117,0,117,0.0,1.0,0.0,1.0,Michael G. Miller RECAP,1.0
38004,38004,100,0,99,99,0,99,0.0,1.0,0.0,1.0,Michael G. Miller RECAP,1.0
38005,38005,100,0,106,106,0,106,0.0,1.0,0.0,1.0,Michael G. Miller RECAP,1.0
38006,38006,100,0,140,140,0,140,0.0,1.0,0.0,1.0,Michael G. Miller RECAP,1.0
38007,38007,100,1,110,111,1,110,0.009009009009009009,0.990990990990991,0.009009009009009009,0.990990990990991,Michael G. Miller RECAP,0.990990990990991
38008,38008,100,3,153,156,3,153,0.019230769230769232,0.9807692307692307,0.019230769230769232,0.9807692307692307,Michael G. Miller RECAP,0.9807692307692307
38009,38009,100,5,144,149,5,144,0.03355704697986577,0.9664429530201343,0.03355704697986577,0.9664429530201343,Michael G. Miller RECAP,0.9664429530201343
38010,38010,100,4,151,155,4,151,0.025806451612903226,0.9741935483870968,0.025806451612903226,0.9741935483870968,Michael G. Miller RECAP,0.9741935483870968
38011,38011,100,0,1,1,0,1,0.0,1.0,0.0,1.0,Michael G. Miller RECAP,1.0
38012,38012,100,0,78,78,0,78,0.0,1.0,0.0,1.0,Michael G. Miller RECAP,1.0
38013,38013,100,0,78,78,0,78,0.0,1.0,0.0,1.0,Michael G. Miller RECAP,1.0
38014,38014,100,0,146,146,0,146,0.0,1.0,0.0,1.0,Michael G. Miller RECAP,1.0
38015,38015,100,1,57,58,1,57,0.017241379310344827,0.9827586206896551,0.017241379310344827,0.9827586206896551,Michael G. Miller RECAP,0.9827586206896551
38016,38016,100,4,163,167,4,163,0.023952095808383235,0.9760479041916168,0.023952095808383235,0.9760479041916168,Michael G. Miller RECAP,0.9760479041916168
38017,38017,100,1,161,162,1,161,0.006172839506172839,0.9938271604938271,0.006172839506172839,0.9938271604938271,Michael G. Miller RECAP,0.9938271604938271
38018,38018,100,2,144,146,2,144,0.0136986301369863,0.9863013698630136,0.0136986301369863,0.9863013698630136,Michael G. Miller RECAP,0.9863013698630136
38019,38019,100,1,105,106,1,105,0.009433962264150943,0.9905660377358491,0.009433962264150943,0.9905660377358491,Michael G. Miller RECAP,0.9905660377358491
38020,38020,100,0,34,34,0,34,0.0,1.0,0.0,1.0,Michael G. Miller RECAP,1.0
38021,38021,100,0,86,86,0,86,0.0,1.0,0.0,1.0,Michael G. Miller RECAP,1.0
38022,38022,100,2,257,259,2,257,0.007722007722007722,0.9922779922779923,0.007722007722007722,0.9922779922779923,Michael G. Miller RECAP,0.9922779922779923
38023,38023,100,2,125,127,2,125,0.015748031496062992,0.984251968503937,0.015748031496062992,0.984251968503937,Michael G. Miller RECAP,0.984251968503937
38024,38024,100,0,136,136,0,136,0.0,1.0,0.0,1.0,Michael G. Miller RECAP,1.0
38025,38025,100,0,125,125,0,125,0.0,1.0,0.0,1.0,Michael G. Miller RECAP,1.0
38026,38026,100,0,72,72,0,72,0.0,1.0,0.0,1.0,Michael G. Miller RECAP,1.0
38027,38027,100,0,76,76,0,76,0.0,1.0,0.0,1.0,Michael G. Miller RECAP,1.0
38028,38028,100,3,151,154,3,151,0.01948051948051948,0.9805194805194806,0.01948051948051948,0.9805194805194806,Michael G. Miller RECAP,0.9805194805194806
38029,38029,100,1,148,149,1,148,0.006711409395973154,0.9932885906040269,0.006711409395973154,0.9932885906040269,Michael G. Miller RECAP,0.9932885906040269
38030,38030,100,0,137,137,0,137,0.0,1.0,0.0,1.0,Michael G. Miller RECAP,1.0
38031,38031,100,1,100,101,1,100,0.009900990099009901,0.9900990099009901,0.009900990099009901,0.9900990099009901,Michael G. Miller RECAP,0.9900990099009901
