ED,Reported As,Reporting,Francisco P. Moya (Working Families),Scattered,Francisco P. Moya (Democratic),Total Votes,Francisco P. Moya RECAP,Scattered RECAP,p_Francisco P. Moya (Working Families),p_Scattered,p_Francisco P. Moya (Democratic),p_Francisco P. Moya RECAP,p_Scattered RECAP,winner,winner_p
39001,39001,100,14,0,143,157,157,0,0.08917197452229299,0.0,0.910828025477707,1.0,0.0,Francisco P. Moya RECAP,1.0
39002,39002,100,8,0,154,162,162,0,0.04938271604938271,0.0,0.9506172839506173,1.0,0.0,Francisco P. Moya RECAP,1.0
39003,39003,100,8,0,148,156,156,0,0.05128205128205128,0.0,0.9487179487179487,1.0,0.0,Francisco P. Moya RECAP,1.0
39004,39004,100,12,0,140,152,152,0,0.07894736842105263,0.0,0.9210526315789473,1.0,0.0,Francisco P. Moya RECAP,1.0
39005,39005,100,7,0,99,106,106,0,0.0660377358490566,0.0,0.9339622641509434,1.0,0.0,Francisco P. Moya RECAP,1.0
39006,39006,100,6,0,76,82,82,0,0.07317073170731707,0.0,0.926829268292683,1.0,0.0,Francisco P. Moya RECAP,1.0
39007,39007,100,9,1,209,219,218,1,0.0410958904109589,0.0045662100456621,0.954337899543379,0.9954337899543378,0.0045662100456621,Francisco P. Moya RECAP,0.9954337899543378
39008,39008,100,8,1,119,128,127,1,0.0625,0.0078125,0.9296875,0.9921875,0.0078125,Francisco P. Moya RECAP,0.9921875
39009,39009,100,5,0,125,130,130,0,0.038461538461538464,0.0,0.9615384615384616,1.0,0.0,Francisco P. Moya RECAP,1.0
39010,39010,100,9,1,143,153,152,1,0.058823529411764705,0.006535947712418301,0.934640522875817,0.9934640522875817,0.006535947712418301,Francisco P. Moya RECAP,0.9934640522875817
39011,39011,100,13,0,105,118,118,0,0.11016949152542373,0.0,0.8898305084745762,1.0,0.0,Francisco P. Moya RECAP,1.0
39012,39012,100,8,0,139,147,147,0,0.05442176870748299,0.0,0.9455782312925171,1.0,0.0,Francisco P. Moya RECAP,1.0
