ED,Reported As,Reporting,Ron Kim (Independence),Ron Kim (Working Families),Ron Kim (Democratic),Philip N. Gim (Republican),Scattered,Total Votes,Ron Kim RECAP,Philip N. Gim RECAP,Scattered RECAP,p_Ron Kim (Independence),p_Ron Kim (Working Families),p_Ron Kim (Democratic),p_Philip N. Gim (Republican),p_Scattered,p_Ron Kim RECAP,p_Philip N. Gim RECAP,p_Scattered RECAP,winner,winner_p
40001,40001,100,4,2,88,127,2,223,94,127,2,0.017937219730941704,0.008968609865470852,0.39461883408071746,0.5695067264573991,0.008968609865470852,0.42152466367713004,0.5695067264573991,0.008968609865470852,Philip N. Gim RECAP,0.5695067264573991
40002,40002,100,4,9,74,96,0,183,87,96,0,0.02185792349726776,0.04918032786885246,0.40437158469945356,0.5245901639344263,0.0,0.47540983606557374,0.5245901639344263,0.0,Philip N. Gim RECAP,0.5245901639344263
40003,40003,100,3,4,113,58,1,179,120,58,1,0.01675977653631285,0.0223463687150838,0.6312849162011173,0.3240223463687151,0.00558659217877095,0.6703910614525139,0.3240223463687151,0.00558659217877095,Ron Kim RECAP,0.6703910614525139
40004,40004,100,2,4,89,71,1,167,95,71,1,0.011976047904191617,0.023952095808383235,0.5329341317365269,0.4251497005988024,0.005988023952095809,0.5688622754491018,0.4251497005988024,0.005988023952095809,Ron Kim RECAP,0.5688622754491018
40005,40005,100,8,7,96,126,0,237,111,126,0,0.03375527426160337,0.029535864978902954,0.4050632911392405,0.5316455696202531,0.0,0.46835443037974683,0.5316455696202531,0.0,Philip N. Gim RECAP,0.5316455696202531
40006,40006,100,6,10,89,125,1,231,105,125,1,0.025974025974025976,0.04329004329004329,0.3852813852813853,0.5411255411255411,0.004329004329004329,0.45454545454545453,0.5411255411255411,0.004329004329004329,Philip N. Gim RECAP,0.5411255411255411
40007,40007,100,3,16,133,135,1,288,152,135,1,0.010416666666666666,0.05555555555555555,0.4618055555555556,0.46875,0.003472222222222222,0.5277777777777778,0.46875,0.003472222222222222,Ron Kim RECAP,0.5277777777777778
40008,40008,100,8,3,82,19,0,112,93,19,0,0.07142857142857142,0.026785714285714284,0.7321428571428571,0.16964285714285715,0.0,0.8303571428571429,0.16964285714285715,0.0,Ron Kim RECAP,0.8303571428571429
40009,40009,100,6,14,154,148,1,323,174,148,1,0.018575851393188854,0.043343653250773995,0.47678018575851394,0.4582043343653251,0.0030959752321981426,0.5386996904024768,0.4582043343653251,0.0030959752321981426,Ron Kim RECAP,0.5386996904024768
40010,40010,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
40011,40011,100,0,2,24,5,1,32,26,5,1,0.0,0.0625,0.75,0.15625,0.03125,0.8125,0.15625,0.03125,Ron Kim RECAP,0.8125
40012,40012,100,0,2,17,8,0,27,19,8,0,0.0,0.07407407407407407,0.6296296296296297,0.2962962962962963,0.0,0.7037037037037037,0.2962962962962963,0.0,Ron Kim RECAP,0.7037037037037037
40013,40013,100,2,8,108,50,1,169,118,50,1,0.011834319526627219,0.047337278106508875,0.6390532544378699,0.2958579881656805,0.005917159763313609,0.6982248520710059,0.2958579881656805,0.005917159763313609,Ron Kim RECAP,0.6982248520710059
40014,40014,100,9,5,108,48,1,171,122,48,1,0.05263157894736842,0.029239766081871343,0.631578947368421,0.2807017543859649,0.005847953216374269,0.7134502923976608,0.2807017543859649,0.005847953216374269,Ron Kim RECAP,0.7134502923976608
40015,40015,100,3,7,121,62,0,193,131,62,0,0.015544041450777202,0.03626943005181347,0.6269430051813472,0.32124352331606215,0.0,0.6787564766839378,0.32124352331606215,0.0,Ron Kim RECAP,0.6787564766839378
40016,40016,100,2,5,152,76,0,235,159,76,0,0.00851063829787234,0.02127659574468085,0.6468085106382979,0.32340425531914896,0.0,0.676595744680851,0.32340425531914896,0.0,Ron Kim RECAP,0.676595744680851
40017,40017,100,4,5,58,27,2,96,67,27,2,0.041666666666666664,0.052083333333333336,0.6041666666666666,0.28125,0.020833333333333332,0.6979166666666666,0.28125,0.020833333333333332,Ron Kim RECAP,0.6979166666666666
40018,40018,100,3,7,157,43,2,212,167,43,2,0.014150943396226415,0.0330188679245283,0.7405660377358491,0.2028301886792453,0.009433962264150943,0.7877358490566038,0.2028301886792453,0.009433962264150943,Ron Kim RECAP,0.7877358490566038
40019,40019,100,3,6,147,24,1,181,156,24,1,0.016574585635359115,0.03314917127071823,0.8121546961325967,0.13259668508287292,0.0055248618784530384,0.861878453038674,0.13259668508287292,0.0055248618784530384,Ron Kim RECAP,0.861878453038674
40020,40020,100,7,9,146,50,0,212,162,50,0,0.0330188679245283,0.04245283018867924,0.6886792452830188,0.2358490566037736,0.0,0.7641509433962265,0.2358490566037736,0.0,Ron Kim RECAP,0.7641509433962265
40021,40021,100,3,5,107,30,0,145,115,30,0,0.020689655172413793,0.034482758620689655,0.7379310344827587,0.20689655172413793,0.0,0.7931034482758621,0.20689655172413793,0.0,Ron Kim RECAP,0.7931034482758621
40022,40022,100,4,8,190,64,1,267,202,64,1,0.0149812734082397,0.0299625468164794,0.7116104868913857,0.2397003745318352,0.003745318352059925,0.7565543071161048,0.2397003745318352,0.003745318352059925,Ron Kim RECAP,0.7565543071161048
40023,40023,100,1,5,127,57,1,191,133,57,1,0.005235602094240838,0.02617801047120419,0.6649214659685864,0.29842931937172773,0.005235602094240838,0.6963350785340314,0.29842931937172773,0.005235602094240838,Ron Kim RECAP,0.6963350785340314
40024,40024,100,3,5,136,50,1,195,144,50,1,0.015384615384615385,0.02564102564102564,0.6974358974358974,0.2564102564102564,0.005128205128205128,0.7384615384615385,0.2564102564102564,0.005128205128205128,Ron Kim RECAP,0.7384615384615385
40025,40025,100,0,8,136,34,1,179,144,34,1,0.0,0.0446927374301676,0.7597765363128491,0.18994413407821228,0.00558659217877095,0.8044692737430168,0.18994413407821228,0.00558659217877095,Ron Kim RECAP,0.8044692737430168
40026,40026,100,3,3,77,40,0,123,83,40,0,0.024390243902439025,0.024390243902439025,0.6260162601626016,0.3252032520325203,0.0,0.6747967479674797,0.3252032520325203,0.0,Ron Kim RECAP,0.6747967479674797
40027,40027,100,3,3,90,49,0,145,96,49,0,0.020689655172413793,0.020689655172413793,0.6206896551724138,0.33793103448275863,0.0,0.6620689655172414,0.33793103448275863,0.0,Ron Kim RECAP,0.6620689655172414
40028,40028,100,2,4,49,19,0,74,55,19,0,0.02702702702702703,0.05405405405405406,0.6621621621621622,0.25675675675675674,0.0,0.7432432432432432,0.25675675675675674,0.0,Ron Kim RECAP,0.7432432432432432
40029,40029,100,7,5,109,48,0,169,121,48,0,0.04142011834319527,0.029585798816568046,0.6449704142011834,0.28402366863905326,0.0,0.7159763313609467,0.28402366863905326,0.0,Ron Kim RECAP,0.7159763313609467
40030,40030,100,5,6,127,91,0,229,138,91,0,0.021834061135371178,0.026200873362445413,0.5545851528384279,0.39737991266375544,0.0,0.6026200873362445,0.39737991266375544,0.0,Ron Kim RECAP,0.6026200873362445
40031,40031,100,3,9,93,77,0,182,105,77,0,0.016483516483516484,0.04945054945054945,0.510989010989011,0.4230769230769231,0.0,0.5769230769230769,0.4230769230769231,0.0,Ron Kim RECAP,0.5769230769230769
40032,40032,100,1,6,101,61,1,170,108,61,1,0.0058823529411764705,0.03529411764705882,0.5941176470588235,0.3588235294117647,0.0058823529411764705,0.6352941176470588,0.3588235294117647,0.0058823529411764705,Ron Kim RECAP,0.6352941176470588
40033,40033,100,3,10,130,70,1,214,143,70,1,0.014018691588785047,0.04672897196261682,0.6074766355140186,0.32710280373831774,0.004672897196261682,0.6682242990654206,0.32710280373831774,0.004672897196261682,Ron Kim RECAP,0.6682242990654206
40034,40034,100,0,5,127,34,1,167,132,34,1,0.0,0.029940119760479042,0.7604790419161677,0.20359281437125748,0.005988023952095809,0.7904191616766467,0.20359281437125748,0.005988023952095809,Ron Kim RECAP,0.7904191616766467
