ED,Reported As,Reporting,Gregory W. Meeks (Democratic),Allen F. Steinhardt (Allen 4 Congress),Scattered,Total Votes,Gregory W. Meeks RECAP,Allen F. Steinhardt RECAP,Scattered RECAP,p_Gregory W. Meeks (Democratic),p_Allen F. Steinhardt (Allen 4 Congress),p_Scattered,p_Gregory W. Meeks RECAP,p_Allen F. Steinhardt RECAP,p_Scattered RECAP,winner,winner_p
23001,23001,100,146,69,1,216,146,69,1,0.6759259259259259,0.3194444444444444,0.004629629629629629,0.6759259259259259,0.3194444444444444,0.004629629629629629,Gregory W. Meeks RECAP,0.6759259259259259
23002,23002,100,133,84,1,218,133,84,1,0.6100917431192661,0.3853211009174312,0.0045871559633027525,0.6100917431192661,0.3853211009174312,0.0045871559633027525,Gregory W. Meeks RECAP,0.6100917431192661
23003,23003,100,128,79,4,211,128,79,4,0.6066350710900474,0.3744075829383886,0.018957345971563982,0.6066350710900474,0.3744075829383886,0.018957345971563982,Gregory W. Meeks RECAP,0.6066350710900474
23004,23004,100,29,22,0,51,29,22,0,0.5686274509803921,0.43137254901960786,0.0,0.5686274509803921,0.43137254901960786,0.0,Gregory W. Meeks RECAP,0.5686274509803921
23005,23005,100,143,66,5,214,143,66,5,0.6682242990654206,0.308411214953271,0.02336448598130841,0.6682242990654206,0.308411214953271,0.02336448598130841,Gregory W. Meeks RECAP,0.6682242990654206
23006,23006,100,139,88,4,231,139,88,4,0.6017316017316018,0.38095238095238093,0.017316017316017316,0.6017316017316018,0.38095238095238093,0.017316017316017316,Gregory W. Meeks RECAP,0.6017316017316018
23007,23007,100,155,112,4,271,155,112,4,0.5719557195571956,0.4132841328413284,0.014760147601476014,0.5719557195571956,0.4132841328413284,0.014760147601476014,Gregory W. Meeks RECAP,0.5719557195571956
23008,23008,100,113,87,4,204,113,87,4,0.553921568627451,0.4264705882352941,0.0196078431372549,0.553921568627451,0.4264705882352941,0.0196078431372549,Gregory W. Meeks RECAP,0.553921568627451
23009,23009,100,125,81,6,212,125,81,6,0.589622641509434,0.38207547169811323,0.02830188679245283,0.589622641509434,0.38207547169811323,0.02830188679245283,Gregory W. Meeks RECAP,0.589622641509434
23010,23010,100,133,100,0,233,133,100,0,0.5708154506437768,0.4291845493562232,0.0,0.5708154506437768,0.4291845493562232,0.0,Gregory W. Meeks RECAP,0.5708154506437768
23011,23011,100,121,100,4,225,121,100,4,0.5377777777777778,0.4444444444444444,0.017777777777777778,0.5377777777777778,0.4444444444444444,0.017777777777777778,Gregory W. Meeks RECAP,0.5377777777777778
23012,23012,100,136,33,0,169,136,33,0,0.8047337278106509,0.1952662721893491,0.0,0.8047337278106509,0.1952662721893491,0.0,Gregory W. Meeks RECAP,0.8047337278106509
23013,23013,100,120,51,4,175,120,51,4,0.6857142857142857,0.2914285714285714,0.022857142857142857,0.6857142857142857,0.2914285714285714,0.022857142857142857,Gregory W. Meeks RECAP,0.6857142857142857
23014,23014,100,160,74,5,239,160,74,5,0.6694560669456067,0.30962343096234307,0.02092050209205021,0.6694560669456067,0.30962343096234307,0.02092050209205021,Gregory W. Meeks RECAP,0.6694560669456067
23015,23015,100,211,40,2,253,211,40,2,0.83399209486166,0.15810276679841898,0.007905138339920948,0.83399209486166,0.15810276679841898,0.007905138339920948,Gregory W. Meeks RECAP,0.83399209486166
23016,23016,100,229,30,2,261,229,30,2,0.8773946360153256,0.11494252873563218,0.007662835249042145,0.8773946360153256,0.11494252873563218,0.007662835249042145,Gregory W. Meeks RECAP,0.8773946360153256
23017,23017,100,145,11,0,156,145,11,0,0.9294871794871795,0.07051282051282051,0.0,0.9294871794871795,0.07051282051282051,0.0,Gregory W. Meeks RECAP,0.9294871794871795
23018,23018,100,121,5,0,126,121,5,0,0.9603174603174603,0.03968253968253968,0.0,0.9603174603174603,0.03968253968253968,0.0,Gregory W. Meeks RECAP,0.9603174603174603
23019,23019,100,187,36,1,224,187,36,1,0.8348214285714286,0.16071428571428573,0.004464285714285714,0.8348214285714286,0.16071428571428573,0.004464285714285714,Gregory W. Meeks RECAP,0.8348214285714286
23020,23020,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
23021,23021,100,86,20,2,108,86,20,2,0.7962962962962963,0.18518518518518517,0.018518518518518517,0.7962962962962963,0.18518518518518517,0.018518518518518517,Gregory W. Meeks RECAP,0.7962962962962963
23022,23022,100,1,0,0,1,1,0,0,1.0,0.0,0.0,1.0,0.0,0.0,Gregory W. Meeks RECAP,1.0
23023,23023,100,119,14,0,133,119,14,0,0.8947368421052632,0.10526315789473684,0.0,0.8947368421052632,0.10526315789473684,0.0,Gregory W. Meeks RECAP,0.8947368421052632
23024,23024,100,202,9,0,211,202,9,0,0.957345971563981,0.04265402843601896,0.0,0.957345971563981,0.04265402843601896,0.0,Gregory W. Meeks RECAP,0.957345971563981
23025,23025,100,179,12,5,196,179,12,5,0.9132653061224489,0.061224489795918366,0.025510204081632654,0.9132653061224489,0.061224489795918366,0.025510204081632654,Gregory W. Meeks RECAP,0.9132653061224489
23026,23026,100,223,11,1,235,223,11,1,0.948936170212766,0.04680851063829787,0.00425531914893617,0.948936170212766,0.04680851063829787,0.00425531914893617,Gregory W. Meeks RECAP,0.948936170212766
23027,23027,100,199,24,3,226,199,24,3,0.8805309734513275,0.10619469026548672,0.01327433628318584,0.8805309734513275,0.10619469026548672,0.01327433628318584,Gregory W. Meeks RECAP,0.8805309734513275
23028,23028,100,210,39,3,252,210,39,3,0.8333333333333334,0.15476190476190477,0.011904761904761904,0.8333333333333334,0.15476190476190477,0.011904761904761904,Gregory W. Meeks RECAP,0.8333333333333334
23029,23029,100,226,22,1,249,226,22,1,0.9076305220883534,0.08835341365461848,0.004016064257028112,0.9076305220883534,0.08835341365461848,0.004016064257028112,Gregory W. Meeks RECAP,0.9076305220883534
23030,23030,100,226,20,0,246,226,20,0,0.9186991869918699,0.08130081300813008,0.0,0.9186991869918699,0.08130081300813008,0.0,Gregory W. Meeks RECAP,0.9186991869918699
23031,23031,100,222,6,1,229,222,6,1,0.9694323144104804,0.026200873362445413,0.004366812227074236,0.9694323144104804,0.026200873362445413,0.004366812227074236,Gregory W. Meeks RECAP,0.9694323144104804
