ED,Reported As,Reporting,James Sanders Jr. (Democratic),Scattered,James Sanders Jr. (Working Families),Total Votes,James Sanders Jr. RECAP,Scattered RECAP,p_James Sanders Jr. (Democratic),p_Scattered,p_James Sanders Jr. (Working Families),p_James Sanders Jr. RECAP,p_Scattered RECAP,winner,winner_p
23018,23018,100,114,0,12,126,126,0,0.9047619047619048,0.0,0.09523809523809523,1.0,0.0,James Sanders Jr. RECAP,1.0
23019,23019,100,188,3,22,213,210,3,0.8826291079812206,0.014084507042253521,0.10328638497652583,0.9859154929577465,0.014084507042253521,James Sanders Jr. RECAP,0.9859154929577465
23020,23020,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
23029,23029,100,224,4,11,239,235,4,0.9372384937238494,0.016736401673640166,0.04602510460251046,0.9832635983263598,0.016736401673640166,James Sanders Jr. RECAP,0.9832635983263598
23030,23030,100,234,0,7,241,241,0,0.970954356846473,0.0,0.029045643153526972,1.0,0.0,James Sanders Jr. RECAP,1.0
23031,23031,100,221,0,9,230,230,0,0.9608695652173913,0.0,0.0391304347826087,1.0,0.0,James Sanders Jr. RECAP,1.0
23032,23032,100,134,2,10,146,144,2,0.9178082191780822,0.0136986301369863,0.0684931506849315,0.9863013698630136,0.0136986301369863,James Sanders Jr. RECAP,0.9863013698630136
23033,23033,100,161,0,8,169,169,0,0.9526627218934911,0.0,0.047337278106508875,1.0,0.0,James Sanders Jr. RECAP,1.0
23034,23034,100,112,0,2,114,114,0,0.9824561403508771,0.0,0.017543859649122806,1.0,0.0,James Sanders Jr. RECAP,1.0
23035,23035,100,249,2,21,272,270,2,0.9154411764705882,0.007352941176470588,0.07720588235294118,0.9926470588235294,0.007352941176470588,James Sanders Jr. RECAP,0.9926470588235294
23036,23036,100,176,0,14,190,190,0,0.9263157894736842,0.0,0.07368421052631578,1.0,0.0,James Sanders Jr. RECAP,1.0
23037,23037,100,172,2,18,192,190,2,0.8958333333333334,0.010416666666666666,0.09375,0.9895833333333334,0.010416666666666666,James Sanders Jr. RECAP,0.9895833333333334
23038,23038,100,22,0,2,24,24,0,0.9166666666666666,0.0,0.08333333333333333,1.0,0.0,James Sanders Jr. RECAP,1.0
23042,23042,100,223,3,13,239,236,3,0.9330543933054394,0.012552301255230125,0.05439330543933055,0.9874476987447699,0.012552301255230125,James Sanders Jr. RECAP,0.9874476987447699
23071,23038,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
23073,23073,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
23074,23073,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
23077,23077,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
23078,23077,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
23079,23077,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
24026,24026,100,94,1,4,99,98,1,0.9494949494949495,0.010101010101010102,0.04040404040404041,0.98989898989899,0.010101010101010102,James Sanders Jr. RECAP,0.98989898989899
24063,24063,100,85,0,5,90,90,0,0.9444444444444444,0.0,0.05555555555555555,1.0,0.0,James Sanders Jr. RECAP,1.0
24064,24064,100,65,0,2,67,67,0,0.9701492537313433,0.0,0.029850746268656716,1.0,0.0,James Sanders Jr. RECAP,1.0
24068,24068,100,83,0,5,88,88,0,0.9431818181818182,0.0,0.056818181818181816,1.0,0.0,James Sanders Jr. RECAP,1.0
24069,24069,100,57,0,8,65,65,0,0.8769230769230769,0.0,0.12307692307692308,1.0,0.0,James Sanders Jr. RECAP,1.0
24070,24070,100,89,0,8,97,97,0,0.9175257731958762,0.0,0.08247422680412371,1.0,0.0,James Sanders Jr. RECAP,1.0
24071,24071,100,87,0,7,94,94,0,0.925531914893617,0.0,0.07446808510638298,1.0,0.0,James Sanders Jr. RECAP,1.0
24072,24072,100,88,0,5,93,93,0,0.946236559139785,0.0,0.053763440860215055,1.0,0.0,James Sanders Jr. RECAP,1.0
24073,24073,100,114,1,3,118,117,1,0.9661016949152542,0.00847457627118644,0.025423728813559324,0.9915254237288136,0.00847457627118644,James Sanders Jr. RECAP,0.9915254237288136
24074,24074,100,92,0,5,97,97,0,0.9484536082474226,0.0,0.05154639175257732,1.0,0.0,James Sanders Jr. RECAP,1.0
24075,24075,100,68,0,2,70,70,0,0.9714285714285714,0.0,0.02857142857142857,1.0,0.0,James Sanders Jr. RECAP,1.0
24076,24076,100,106,0,8,114,114,0,0.9298245614035088,0.0,0.07017543859649122,1.0,0.0,James Sanders Jr. RECAP,1.0
24077,24077,100,81,0,5,86,86,0,0.9418604651162791,0.0,0.05813953488372093,1.0,0.0,James Sanders Jr. RECAP,1.0
24079,24079,100,55,0,7,62,62,0,0.8870967741935484,0.0,0.11290322580645161,1.0,0.0,James Sanders Jr. RECAP,1.0
24082,24082,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
27069,27069,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
28001,28001,100,81,2,10,93,91,2,0.8709677419354839,0.021505376344086023,0.10752688172043011,0.978494623655914,0.021505376344086023,James Sanders Jr. RECAP,0.978494623655914
28002,28002,100,62,3,12,77,74,3,0.8051948051948052,0.03896103896103896,0.15584415584415584,0.961038961038961,0.03896103896103896,James Sanders Jr. RECAP,0.961038961038961
