ED,Reported As,Reporting,Tony Avella (Democratic),Tony Avella (Independence),Paul Gilman (Green),Scattered,Total Votes,Tony Avella RECAP,Paul Gilman RECAP,Scattered RECAP,p_Tony Avella (Democratic),p_Tony Avella (Independence),p_Paul Gilman (Green),p_Scattered,p_Tony Avella RECAP,p_Paul Gilman RECAP,p_Scattered RECAP,winner,winner_p
24001,24001,100,128,18,8,0,154,146,8,0,0.8311688311688312,0.11688311688311688,0.05194805194805195,0.0,0.948051948051948,0.05194805194805195,0.0,Tony Avella RECAP,0.948051948051948
24002,24002,100,225,24,13,1,263,249,13,1,0.8555133079847909,0.09125475285171103,0.049429657794676805,0.0038022813688212928,0.9467680608365019,0.049429657794676805,0.0038022813688212928,Tony Avella RECAP,0.9467680608365019
24003,24003,100,152,14,16,2,184,166,16,2,0.8260869565217391,0.07608695652173914,0.08695652173913043,0.010869565217391304,0.9021739130434783,0.08695652173913043,0.010869565217391304,Tony Avella RECAP,0.9021739130434783
24004,24004,100,104,9,7,0,120,113,7,0,0.8666666666666667,0.075,0.058333333333333334,0.0,0.9416666666666667,0.058333333333333334,0.0,Tony Avella RECAP,0.9416666666666667
24005,24005,100,205,16,20,1,242,221,20,1,0.8471074380165289,0.06611570247933884,0.08264462809917356,0.004132231404958678,0.9132231404958677,0.08264462809917356,0.004132231404958678,Tony Avella RECAP,0.9132231404958677
24006,24006,100,153,14,20,0,187,167,20,0,0.8181818181818182,0.0748663101604278,0.10695187165775401,0.0,0.893048128342246,0.10695187165775401,0.0,Tony Avella RECAP,0.893048128342246
24007,24007,100,118,4,9,0,131,122,9,0,0.9007633587786259,0.030534351145038167,0.06870229007633588,0.0,0.9312977099236641,0.06870229007633588,0.0,Tony Avella RECAP,0.9312977099236641
24010,24010,100,70,15,6,0,91,85,6,0,0.7692307692307693,0.16483516483516483,0.06593406593406594,0.0,0.9340659340659341,0.06593406593406594,0.0,Tony Avella RECAP,0.9340659340659341
24011,24011,100,97,5,9,3,114,102,9,3,0.8508771929824561,0.043859649122807015,0.07894736842105263,0.02631578947368421,0.8947368421052632,0.07894736842105263,0.02631578947368421,Tony Avella RECAP,0.8947368421052632
24012,24012,100,18,2,1,0,21,20,1,0,0.8571428571428571,0.09523809523809523,0.047619047619047616,0.0,0.9523809523809523,0.047619047619047616,0.0,Tony Avella RECAP,0.9523809523809523
24015,24015,100,129,14,8,0,151,143,8,0,0.8543046357615894,0.09271523178807947,0.052980132450331126,0.0,0.9470198675496688,0.052980132450331126,0.0,Tony Avella RECAP,0.9470198675496688
