ED,Reported As,Reporting,Anthony Aldorasi (StopCommonCore),Scattered,Michael N. Gianaris (Working Families),Michael N. Gianaris (Democratic),Total Votes,Anthony Aldorasi RECAP,Scattered RECAP,Michael N. Gianaris RECAP,p_Anthony Aldorasi (StopCommonCore),p_Scattered,p_Michael N. Gianaris (Working Families),p_Michael N. Gianaris (Democratic),p_Anthony Aldorasi RECAP,p_Scattered RECAP,p_Michael N. Gianaris RECAP,winner,winner_p
23066,23066,100,1,0,6,78,85,1,0,84,0.011764705882352941,0.0,0.07058823529411765,0.9176470588235294,0.011764705882352941,0.0,0.9882352941176471,Michael N. Gianaris RECAP,0.9882352941176471
23067,23067,100,0,0,0,68,68,0,0,68,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Michael N. Gianaris RECAP,1.0
30063,30063,100,4,0,15,43,62,4,0,58,0.06451612903225806,0.0,0.24193548387096775,0.6935483870967742,0.06451612903225806,0.0,0.9354838709677419,Michael N. Gianaris RECAP,0.9354838709677419
30035,30063,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
30038,30038,100,4,0,19,94,117,4,0,113,0.03418803418803419,0.0,0.1623931623931624,0.8034188034188035,0.03418803418803419,0.0,0.9658119658119658,Michael N. Gianaris RECAP,0.9658119658119658
30039,30039,100,13,3,35,245,296,13,3,280,0.04391891891891892,0.010135135135135136,0.11824324324324324,0.8277027027027027,0.04391891891891892,0.010135135135135136,0.9459459459459459,Michael N. Gianaris RECAP,0.9459459459459459
30040,30040,100,5,1,27,210,243,5,1,237,0.0205761316872428,0.00411522633744856,0.1111111111111111,0.8641975308641975,0.0205761316872428,0.00411522633744856,0.9753086419753086,Michael N. Gianaris RECAP,0.9753086419753086
30041,30041,100,1,1,7,54,63,1,1,61,0.015873015873015872,0.015873015873015872,0.1111111111111111,0.8571428571428571,0.015873015873015872,0.015873015873015872,0.9682539682539683,Michael N. Gianaris RECAP,0.9682539682539683
30042,30042,100,5,2,18,120,145,5,2,138,0.034482758620689655,0.013793103448275862,0.12413793103448276,0.8275862068965517,0.034482758620689655,0.013793103448275862,0.9517241379310345,Michael N. Gianaris RECAP,0.9517241379310345
30043,30043,100,11,1,26,181,219,11,1,207,0.0502283105022831,0.0045662100456621,0.1187214611872146,0.8264840182648402,0.0502283105022831,0.0045662100456621,0.9452054794520548,Michael N. Gianaris RECAP,0.9452054794520548
30044,30044,100,15,0,19,179,213,15,0,198,0.07042253521126761,0.0,0.0892018779342723,0.8403755868544601,0.07042253521126761,0.0,0.9295774647887324,Michael N. Gianaris RECAP,0.9295774647887324
30045,30045,100,8,0,23,160,191,8,0,183,0.041884816753926704,0.0,0.12041884816753927,0.837696335078534,0.041884816753926704,0.0,0.9581151832460733,Michael N. Gianaris RECAP,0.9581151832460733
30046,30046,100,19,1,44,154,218,19,1,198,0.0871559633027523,0.0045871559633027525,0.2018348623853211,0.7064220183486238,0.0871559633027523,0.0045871559633027525,0.908256880733945,Michael N. Gianaris RECAP,0.908256880733945
30047,30047,100,4,1,18,92,115,4,1,110,0.034782608695652174,0.008695652173913044,0.1565217391304348,0.8,0.034782608695652174,0.008695652173913044,0.9565217391304348,Michael N. Gianaris RECAP,0.9565217391304348
30048,30048,100,18,0,43,268,329,18,0,311,0.0547112462006079,0.0,0.13069908814589665,0.8145896656534954,0.0547112462006079,0.0,0.9452887537993921,Michael N. Gianaris RECAP,0.9452887537993921
30049,30049,100,9,0,38,237,284,9,0,275,0.03169014084507042,0.0,0.13380281690140844,0.8345070422535211,0.03169014084507042,0.0,0.9683098591549296,Michael N. Gianaris RECAP,0.9683098591549296
30050,30050,100,20,1,40,184,245,20,1,224,0.08163265306122448,0.004081632653061225,0.16326530612244897,0.7510204081632653,0.08163265306122448,0.004081632653061225,0.9142857142857143,Michael N. Gianaris RECAP,0.9142857142857143
30051,30051,100,16,1,28,177,222,16,1,205,0.07207207207207207,0.0045045045045045045,0.12612612612612611,0.7972972972972973,0.07207207207207207,0.0045045045045045045,0.9234234234234234,Michael N. Gianaris RECAP,0.9234234234234234
30052,30052,100,5,1,12,137,155,5,1,149,0.03225806451612903,0.0064516129032258064,0.07741935483870968,0.8838709677419355,0.03225806451612903,0.0064516129032258064,0.9612903225806452,Michael N. Gianaris RECAP,0.9612903225806452
30053,30053,100,7,0,14,103,124,7,0,117,0.056451612903225805,0.0,0.11290322580645161,0.8306451612903226,0.056451612903225805,0.0,0.9435483870967742,Michael N. Gianaris RECAP,0.9435483870967742
30056,30056,100,2,0,21,125,148,2,0,146,0.013513513513513514,0.0,0.14189189189189189,0.8445945945945946,0.013513513513513514,0.0,0.9864864864864865,Michael N. Gianaris RECAP,0.9864864864864865
30060,30060,100,9,1,22,91,123,9,1,113,0.07317073170731707,0.008130081300813009,0.17886178861788618,0.7398373983739838,0.07317073170731707,0.008130081300813009,0.9186991869918699,Michael N. Gianaris RECAP,0.9186991869918699
30061,30061,100,13,1,50,272,336,13,1,322,0.03869047619047619,0.002976190476190476,0.1488095238095238,0.8095238095238095,0.03869047619047619,0.002976190476190476,0.9583333333333334,Michael N. Gianaris RECAP,0.9583333333333334
30062,30062,100,5,1,13,65,84,5,1,78,0.05952380952380952,0.011904761904761904,0.15476190476190477,0.7738095238095238,0.05952380952380952,0.011904761904761904,0.9285714285714286,Michael N. Gianaris RECAP,0.9285714285714286
30064,30064,100,8,1,33,115,157,8,1,148,0.050955414012738856,0.006369426751592357,0.21019108280254778,0.732484076433121,0.050955414012738856,0.006369426751592357,0.9426751592356688,Michael N. Gianaris RECAP,0.9426751592356688
30065,30065,100,9,1,51,226,287,9,1,277,0.0313588850174216,0.003484320557491289,0.17770034843205576,0.7874564459930313,0.0313588850174216,0.003484320557491289,0.9651567944250871,Michael N. Gianaris RECAP,0.9651567944250871
30066,30066,100,6,1,28,174,209,6,1,202,0.028708133971291867,0.004784688995215311,0.1339712918660287,0.8325358851674641,0.028708133971291867,0.004784688995215311,0.9665071770334929,Michael N. Gianaris RECAP,0.9665071770334929
30067,30067,100,7,0,26,187,220,7,0,213,0.031818181818181815,0.0,0.11818181818181818,0.85,0.031818181818181815,0.0,0.9681818181818181,Michael N. Gianaris RECAP,0.9681818181818181
30068,30068,100,4,1,16,92,113,4,1,108,0.035398230088495575,0.008849557522123894,0.1415929203539823,0.8141592920353983,0.035398230088495575,0.008849557522123894,0.9557522123893806,Michael N. Gianaris RECAP,0.9557522123893806
30069,30069,100,3,1,23,158,185,3,1,181,0.016216216216216217,0.005405405405405406,0.12432432432432433,0.8540540540540541,0.016216216216216217,0.005405405405405406,0.9783783783783784,Michael N. Gianaris RECAP,0.9783783783783784
30071,30071,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
34047,34047,100,1,0,0,9,10,1,0,9,0.1,0.0,0.0,0.9,0.1,0.0,0.9,Michael N. Gianaris RECAP,0.9
34048,34048,100,4,2,9,62,77,4,2,71,0.05194805194805195,0.025974025974025976,0.11688311688311688,0.8051948051948052,0.05194805194805195,0.025974025974025976,0.922077922077922,Michael N. Gianaris RECAP,0.922077922077922
34049,34049,100,5,1,28,163,197,5,1,191,0.025380710659898477,0.005076142131979695,0.14213197969543148,0.8274111675126904,0.025380710659898477,0.005076142131979695,0.9695431472081218,Michael N. Gianaris RECAP,0.9695431472081218
34050,34050,100,5,1,17,155,178,5,1,172,0.028089887640449437,0.0056179775280898875,0.09550561797752809,0.8707865168539326,0.028089887640449437,0.0056179775280898875,0.9662921348314607,Michael N. Gianaris RECAP,0.9662921348314607
34051,34051,100,3,1,25,169,198,3,1,194,0.015151515151515152,0.005050505050505051,0.12626262626262627,0.8535353535353535,0.015151515151515152,0.005050505050505051,0.9797979797979798,Michael N. Gianaris RECAP,0.9797979797979798
34052,34052,100,7,0,10,100,117,7,0,110,0.05982905982905983,0.0,0.08547008547008547,0.8547008547008547,0.05982905982905983,0.0,0.9401709401709402,Michael N. Gianaris RECAP,0.9401709401709402
34053,34053,100,1,0,1,16,18,1,0,17,0.05555555555555555,0.0,0.05555555555555555,0.8888888888888888,0.05555555555555555,0.0,0.9444444444444444,Michael N. Gianaris RECAP,0.9444444444444444
34055,34053,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
34059,34059,100,0,0,0,4,4,0,0,4,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Michael N. Gianaris RECAP,1.0
34060,34060,100,3,3,17,111,134,3,3,128,0.022388059701492536,0.022388059701492536,0.12686567164179105,0.8283582089552238,0.022388059701492536,0.022388059701492536,0.9552238805970149,Michael N. Gianaris RECAP,0.9552238805970149
36001,36001,100,17,2,78,275,372,17,2,353,0.0456989247311828,0.005376344086021506,0.20967741935483872,0.739247311827957,0.0456989247311828,0.005376344086021506,0.9489247311827957,Michael N. Gianaris RECAP,0.9489247311827957
