ED,Reported As,Reporting,Jose R. Peralta (Working Families),Scattered,Jose R. Peralta (Democratic),Total Votes,Jose R. Peralta RECAP,Scattered RECAP,p_Jose R. Peralta (Working Families),p_Scattered,p_Jose R. Peralta (Democratic),p_Jose R. Peralta RECAP,p_Scattered RECAP,winner,winner_p
27058,27058,100,0,0,1,1,1,0,0.0,0.0,1.0,1.0,0.0,Jose R. Peralta RECAP,1.0
27074,27074,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
27075,27074,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
30055,30055,100,15,0,92,107,107,0,0.14018691588785046,0.0,0.8598130841121495,1.0,0.0,Jose R. Peralta RECAP,1.0
30057,30057,100,3,2,126,131,129,2,0.022900763358778626,0.015267175572519083,0.9618320610687023,0.9847328244274809,0.015267175572519083,Jose R. Peralta RECAP,0.9847328244274809
30058,30058,100,9,1,137,147,146,1,0.061224489795918366,0.006802721088435374,0.9319727891156463,0.9931972789115646,0.006802721088435374,Jose R. Peralta RECAP,0.9931972789115646
30059,30059,100,4,0,76,80,80,0,0.05,0.0,0.95,1.0,0.0,Jose R. Peralta RECAP,1.0
34001,34001,100,10,1,182,193,192,1,0.05181347150259067,0.0051813471502590676,0.9430051813471503,0.9948186528497409,0.0051813471502590676,Jose R. Peralta RECAP,0.9948186528497409
34002,34002,100,10,0,125,135,135,0,0.07407407407407407,0.0,0.9259259259259259,1.0,0.0,Jose R. Peralta RECAP,1.0
34003,34003,100,10,0,142,152,152,0,0.06578947368421052,0.0,0.9342105263157895,1.0,0.0,Jose R. Peralta RECAP,1.0
34004,34004,100,8,0,166,174,174,0,0.04597701149425287,0.0,0.9540229885057471,1.0,0.0,Jose R. Peralta RECAP,1.0
34005,34005,100,14,0,160,174,174,0,0.08045977011494253,0.0,0.9195402298850575,1.0,0.0,Jose R. Peralta RECAP,1.0
34006,34006,100,1,1,77,79,78,1,0.012658227848101266,0.012658227848101266,0.9746835443037974,0.9873417721518988,0.012658227848101266,Jose R. Peralta RECAP,0.9873417721518988
34007,34007,100,8,0,128,136,136,0,0.058823529411764705,0.0,0.9411764705882353,1.0,0.0,Jose R. Peralta RECAP,1.0
34008,34008,100,34,0,144,178,178,0,0.19101123595505617,0.0,0.8089887640449438,1.0,0.0,Jose R. Peralta RECAP,1.0
34009,34009,100,18,2,175,195,193,2,0.09230769230769231,0.010256410256410256,0.8974358974358975,0.9897435897435898,0.010256410256410256,Jose R. Peralta RECAP,0.9897435897435898
34010,34010,100,19,1,128,148,147,1,0.12837837837837837,0.006756756756756757,0.8648648648648649,0.9932432432432432,0.006756756756756757,Jose R. Peralta RECAP,0.9932432432432432
34011,34011,100,10,0,79,89,89,0,0.11235955056179775,0.0,0.8876404494382022,1.0,0.0,Jose R. Peralta RECAP,1.0
34012,34012,100,8,0,90,98,98,0,0.08163265306122448,0.0,0.9183673469387755,1.0,0.0,Jose R. Peralta RECAP,1.0
34013,34013,100,26,1,198,225,224,1,0.11555555555555555,0.0044444444444444444,0.88,0.9955555555555555,0.0044444444444444444,Jose R. Peralta RECAP,0.9955555555555555
34014,34014,100,11,1,115,127,126,1,0.08661417322834646,0.007874015748031496,0.905511811023622,0.9921259842519685,0.007874015748031496,Jose R. Peralta RECAP,0.9921259842519685
34015,34015,100,23,1,175,199,198,1,0.11557788944723618,0.005025125628140704,0.8793969849246231,0.9949748743718593,0.005025125628140704,Jose R. Peralta RECAP,0.9949748743718593
34016,34016,100,62,3,207,272,269,3,0.22794117647058823,0.011029411764705883,0.7610294117647058,0.9889705882352942,0.011029411764705883,Jose R. Peralta RECAP,0.9889705882352942
34017,34017,100,34,1,198,233,232,1,0.1459227467811159,0.004291845493562232,0.8497854077253219,0.9957081545064378,0.004291845493562232,Jose R. Peralta RECAP,0.9957081545064378
34018,34018,100,37,0,188,225,225,0,0.16444444444444445,0.0,0.8355555555555556,1.0,0.0,Jose R. Peralta RECAP,1.0
34019,34019,100,26,2,195,223,221,2,0.11659192825112108,0.008968609865470852,0.874439461883408,0.9910313901345291,0.008968609865470852,Jose R. Peralta RECAP,0.9910313901345291
34020,34020,100,17,1,183,201,200,1,0.0845771144278607,0.004975124378109453,0.9104477611940298,0.9950248756218906,0.004975124378109453,Jose R. Peralta RECAP,0.9950248756218906
34021,34021,100,10,2,134,146,144,2,0.0684931506849315,0.0136986301369863,0.9178082191780822,0.9863013698630136,0.0136986301369863,Jose R. Peralta RECAP,0.9863013698630136
34022,34022,100,35,1,138,174,173,1,0.20114942528735633,0.005747126436781609,0.7931034482758621,0.9942528735632183,0.005747126436781609,Jose R. Peralta RECAP,0.9942528735632183
34023,34023,100,27,0,166,193,193,0,0.13989637305699482,0.0,0.8601036269430051,1.0,0.0,Jose R. Peralta RECAP,1.0
34024,34024,100,35,1,205,241,240,1,0.14522821576763487,0.004149377593360996,0.8506224066390041,0.995850622406639,0.004149377593360996,Jose R. Peralta RECAP,0.995850622406639
