ED,Reported As,Reporting,Joseph P. Addabbo Jr. (Democratic),Michael Conigliaro (Republican),Scattered,Michael Conigliaro (Conservative),Total Votes,Joseph P. Addabbo Jr. RECAP,Michael Conigliaro RECAP,Scattered RECAP,p_Joseph P. Addabbo Jr. (Democratic),p_Michael Conigliaro (Republican),p_Scattered,p_Michael Conigliaro (Conservative),p_Joseph P. Addabbo Jr. RECAP,p_Michael Conigliaro RECAP,p_Scattered RECAP,winner,winner_p
23001,23001,100,107,202,0,122,431,107,324,0,0.2482598607888631,0.46867749419953597,0.0,0.28306264501160094,0.2482598607888631,0.7517401392111369,0.0,Michael Conigliaro RECAP,0.7517401392111369
23002,23002,100,87,217,0,96,400,87,313,0,0.2175,0.5425,0.0,0.24,0.2175,0.7825,0.0,Michael Conigliaro RECAP,0.7825
23003,23003,100,108,182,0,74,364,108,256,0,0.2967032967032967,0.5,0.0,0.2032967032967033,0.2967032967032967,0.7032967032967034,0.0,Michael Conigliaro RECAP,0.7032967032967034
23004,23004,100,30,26,0,7,63,30,33,0,0.47619047619047616,0.4126984126984127,0.0,0.1111111111111111,0.47619047619047616,0.5238095238095238,0.0,Michael Conigliaro RECAP,0.5238095238095238
23005,23005,100,139,167,0,42,348,139,209,0,0.3994252873563218,0.47988505747126436,0.0,0.1206896551724138,0.3994252873563218,0.6005747126436781,0.0,Michael Conigliaro RECAP,0.6005747126436781
23006,23006,100,142,209,0,38,389,142,247,0,0.36503856041131105,0.5372750642673522,0.0,0.09768637532133675,0.36503856041131105,0.6349614395886889,0.0,Michael Conigliaro RECAP,0.6349614395886889
23007,23007,100,137,228,0,55,420,137,283,0,0.3261904761904762,0.5428571428571428,0.0,0.13095238095238096,0.3261904761904762,0.6738095238095239,0.0,Michael Conigliaro RECAP,0.6738095238095239
23008,23008,100,115,174,0,46,335,115,220,0,0.34328358208955223,0.5194029850746269,0.0,0.1373134328358209,0.34328358208955223,0.6567164179104478,0.0,Michael Conigliaro RECAP,0.6567164179104478
23009,23009,100,146,162,2,41,351,146,203,2,0.41595441595441596,0.46153846153846156,0.005698005698005698,0.1168091168091168,0.41595441595441596,0.5783475783475783,0.005698005698005698,Michael Conigliaro RECAP,0.5783475783475783
23010,23010,100,142,157,0,41,340,142,198,0,0.4176470588235294,0.46176470588235297,0.0,0.12058823529411765,0.4176470588235294,0.5823529411764706,0.0,Michael Conigliaro RECAP,0.5823529411764706
