ED,Reported As,Reporting,Matthew J. Titone (Democratic),Matthew J. Titone (Working Families),Scattered,Matthew J. Titone (Independence),Total Votes,Matthew J. Titone RECAP,Scattered RECAP,p_Matthew J. Titone (Democratic),p_Matthew J. Titone (Working Families),p_Scattered,p_Matthew J. Titone (Independence),p_Matthew J. Titone RECAP,p_Scattered RECAP,winner,winner_p
61001,61001,100,239,42,4,21,306,302,4,0.7810457516339869,0.13725490196078433,0.013071895424836602,0.06862745098039216,0.9869281045751634,0.013071895424836602,Matthew J. Titone RECAP,0.9869281045751634
61002,61002,100,208,15,0,2,225,225,0,0.9244444444444444,0.06666666666666667,0.0,0.008888888888888889,1.0,0.0,Matthew J. Titone RECAP,1.0
61003,61003,100,274,44,3,21,342,339,3,0.8011695906432749,0.1286549707602339,0.008771929824561403,0.06140350877192982,0.9912280701754386,0.008771929824561403,Matthew J. Titone RECAP,0.9912280701754386
61004,61004,100,287,35,2,27,351,349,2,0.8176638176638177,0.09971509971509972,0.005698005698005698,0.07692307692307693,0.9943019943019943,0.005698005698005698,Matthew J. Titone RECAP,0.9943019943019943
61005,61005,100,159,33,1,5,198,197,1,0.803030303030303,0.16666666666666666,0.005050505050505051,0.025252525252525252,0.9949494949494949,0.005050505050505051,Matthew J. Titone RECAP,0.9949494949494949
61006,61006,100,181,13,2,16,212,210,2,0.8537735849056604,0.06132075471698113,0.009433962264150943,0.07547169811320754,0.9905660377358491,0.009433962264150943,Matthew J. Titone RECAP,0.9905660377358491
61007,61007,100,227,6,0,6,239,239,0,0.9497907949790795,0.02510460251046025,0.0,0.02510460251046025,1.0,0.0,Matthew J. Titone RECAP,1.0
61008,61008,100,250,19,4,9,282,278,4,0.8865248226950354,0.0673758865248227,0.014184397163120567,0.031914893617021274,0.9858156028368794,0.014184397163120567,Matthew J. Titone RECAP,0.9858156028368794
61009,61009,100,341,25,6,27,399,393,6,0.8546365914786967,0.06265664160401002,0.015037593984962405,0.06766917293233082,0.9849624060150376,0.015037593984962405,Matthew J. Titone RECAP,0.9849624060150376
61010,61010,100,254,16,2,17,289,287,2,0.8788927335640139,0.05536332179930796,0.006920415224913495,0.058823529411764705,0.9930795847750865,0.006920415224913495,Matthew J. Titone RECAP,0.9930795847750865
61011,61011,100,130,12,2,18,162,160,2,0.8024691358024691,0.07407407407407407,0.012345679012345678,0.1111111111111111,0.9876543209876543,0.012345679012345678,Matthew J. Titone RECAP,0.9876543209876543
61012,61012,100,297,29,4,52,382,378,4,0.7774869109947644,0.07591623036649214,0.010471204188481676,0.13612565445026178,0.9895287958115183,0.010471204188481676,Matthew J. Titone RECAP,0.9895287958115183
61013,61013,100,312,29,2,30,373,371,2,0.8364611260053619,0.0777479892761394,0.005361930294906166,0.08042895442359249,0.9946380697050938,0.005361930294906166,Matthew J. Titone RECAP,0.9946380697050938
61014,61014,100,222,19,3,39,283,280,3,0.784452296819788,0.06713780918727916,0.01060070671378092,0.13780918727915195,0.9893992932862191,0.01060070671378092,Matthew J. Titone RECAP,0.9893992932862191
61015,61015,100,233,18,1,27,279,278,1,0.8351254480286738,0.06451612903225806,0.0035842293906810036,0.0967741935483871,0.996415770609319,0.0035842293906810036,Matthew J. Titone RECAP,0.996415770609319
61016,61016,100,198,11,1,5,215,214,1,0.9209302325581395,0.05116279069767442,0.004651162790697674,0.023255813953488372,0.9953488372093023,0.004651162790697674,Matthew J. Titone RECAP,0.9953488372093023
61017,61017,100,212,18,2,15,247,245,2,0.8582995951417004,0.0728744939271255,0.008097165991902834,0.06072874493927125,0.9919028340080972,0.008097165991902834,Matthew J. Titone RECAP,0.9919028340080972
61018,61018,100,207,24,7,23,261,254,7,0.7931034482758621,0.09195402298850575,0.02681992337164751,0.08812260536398467,0.9731800766283525,0.02681992337164751,Matthew J. Titone RECAP,0.9731800766283525
61019,61019,100,164,23,6,19,212,206,6,0.7735849056603774,0.10849056603773585,0.02830188679245283,0.08962264150943396,0.9716981132075472,0.02830188679245283,Matthew J. Titone RECAP,0.9716981132075472
61020,61020,100,198,31,4,22,255,251,4,0.7764705882352941,0.12156862745098039,0.01568627450980392,0.08627450980392157,0.984313725490196,0.01568627450980392,Matthew J. Titone RECAP,0.984313725490196
61021,61021,100,249,14,1,9,273,272,1,0.9120879120879121,0.05128205128205128,0.003663003663003663,0.03296703296703297,0.9963369963369964,0.003663003663003663,Matthew J. Titone RECAP,0.9963369963369964
61022,61022,100,251,19,3,17,290,287,3,0.8655172413793103,0.06551724137931035,0.010344827586206896,0.05862068965517241,0.9896551724137931,0.010344827586206896,Matthew J. Titone RECAP,0.9896551724137931
61023,61023,100,204,14,4,17,239,235,4,0.8535564853556485,0.058577405857740586,0.016736401673640166,0.07112970711297072,0.9832635983263598,0.016736401673640166,Matthew J. Titone RECAP,0.9832635983263598
61024,61024,100,196,26,2,45,269,267,2,0.7286245353159851,0.09665427509293681,0.007434944237918215,0.16728624535315986,0.9925650557620818,0.007434944237918215,Matthew J. Titone RECAP,0.9925650557620818
61025,61025,100,241,17,1,21,280,279,1,0.8607142857142858,0.060714285714285714,0.0035714285714285713,0.075,0.9964285714285714,0.0035714285714285713,Matthew J. Titone RECAP,0.9964285714285714
61026,61026,100,236,15,0,13,264,264,0,0.8939393939393939,0.056818181818181816,0.0,0.04924242424242424,1.0,0.0,Matthew J. Titone RECAP,1.0
61027,61027,100,205,10,2,11,228,226,2,0.8991228070175439,0.043859649122807015,0.008771929824561403,0.04824561403508772,0.9912280701754386,0.008771929824561403,Matthew J. Titone RECAP,0.9912280701754386
61028,61028,100,202,15,3,12,232,229,3,0.8706896551724138,0.06465517241379311,0.01293103448275862,0.05172413793103448,0.9870689655172413,0.01293103448275862,Matthew J. Titone RECAP,0.9870689655172413
