ED,Reported As,Reporting,Joseph C. Borelli (Independence),Joseph C. Borelli (Republican),Joseph C. Borelli (Conservative),Scattered,Total Votes,Joseph C. Borelli RECAP,Scattered RECAP,p_Joseph C. Borelli (Independence),p_Joseph C. Borelli (Republican),p_Joseph C. Borelli (Conservative),p_Scattered,p_Joseph C. Borelli RECAP,p_Scattered RECAP,winner,winner_p
62001,62001,100,22,279,38,1,340,339,1,0.06470588235294118,0.8205882352941176,0.11176470588235295,0.0029411764705882353,0.9970588235294118,0.0029411764705882353,Joseph C. Borelli RECAP,0.9970588235294118
62002,62002,100,25,275,65,6,371,365,6,0.0673854447439353,0.7412398921832885,0.1752021563342318,0.016172506738544475,0.9838274932614556,0.016172506738544475,Joseph C. Borelli RECAP,0.9838274932614556
62003,62003,100,28,244,27,0,299,299,0,0.09364548494983277,0.8160535117056856,0.0903010033444816,0.0,1.0,0.0,Joseph C. Borelli RECAP,1.0
62004,62004,100,26,207,22,3,258,255,3,0.10077519379844961,0.8023255813953488,0.08527131782945736,0.011627906976744186,0.9883720930232558,0.011627906976744186,Joseph C. Borelli RECAP,0.9883720930232558
62005,62005,100,23,239,38,2,302,300,2,0.076158940397351,0.7913907284768212,0.12582781456953643,0.006622516556291391,0.9933774834437086,0.006622516556291391,Joseph C. Borelli RECAP,0.9933774834437086
62006,62006,100,36,245,48,3,332,329,3,0.10843373493975904,0.7379518072289156,0.14457831325301204,0.009036144578313253,0.9909638554216867,0.009036144578313253,Joseph C. Borelli RECAP,0.9909638554216867
62007,62007,100,36,244,62,4,346,342,4,0.10404624277456648,0.7052023121387283,0.1791907514450867,0.011560693641618497,0.9884393063583815,0.011560693641618497,Joseph C. Borelli RECAP,0.9884393063583815
62008,62008,100,26,227,43,0,296,296,0,0.08783783783783784,0.7668918918918919,0.14527027027027026,0.0,1.0,0.0,Joseph C. Borelli RECAP,1.0
62009,62009,100,10,149,20,0,179,179,0,0.055865921787709494,0.8324022346368715,0.11173184357541899,0.0,1.0,0.0,Joseph C. Borelli RECAP,1.0
62010,62010,100,15,131,17,0,163,163,0,0.09202453987730061,0.803680981595092,0.10429447852760736,0.0,1.0,0.0,Joseph C. Borelli RECAP,1.0
62011,62011,100,20,219,44,1,284,283,1,0.07042253521126761,0.7711267605633803,0.15492957746478872,0.0035211267605633804,0.9964788732394366,0.0035211267605633804,Joseph C. Borelli RECAP,0.9964788732394366
62012,62012,100,18,182,21,1,222,221,1,0.08108108108108109,0.8198198198198198,0.0945945945945946,0.0045045045045045045,0.9954954954954955,0.0045045045045045045,Joseph C. Borelli RECAP,0.9954954954954955
62013,62013,100,30,196,26,0,252,252,0,0.11904761904761904,0.7777777777777778,0.10317460317460317,0.0,1.0,0.0,Joseph C. Borelli RECAP,1.0
62014,62014,100,17,179,18,2,216,214,2,0.0787037037037037,0.8287037037037037,0.08333333333333333,0.009259259259259259,0.9907407407407407,0.009259259259259259,Joseph C. Borelli RECAP,0.9907407407407407
62015,62015,100,21,173,30,4,228,224,4,0.09210526315789473,0.7587719298245614,0.13157894736842105,0.017543859649122806,0.9824561403508771,0.017543859649122806,Joseph C. Borelli RECAP,0.9824561403508771
62016,62016,100,34,171,29,4,238,234,4,0.14285714285714285,0.7184873949579832,0.12184873949579832,0.01680672268907563,0.9831932773109243,0.01680672268907563,Joseph C. Borelli RECAP,0.9831932773109243
62017,62017,100,18,199,21,2,240,238,2,0.075,0.8291666666666667,0.0875,0.008333333333333333,0.9916666666666667,0.008333333333333333,Joseph C. Borelli RECAP,0.9916666666666667
62018,62018,100,19,218,26,2,265,263,2,0.07169811320754717,0.8226415094339623,0.09811320754716982,0.007547169811320755,0.9924528301886792,0.007547169811320755,Joseph C. Borelli RECAP,0.9924528301886792
62019,62019,100,23,230,48,2,303,301,2,0.07590759075907591,0.759075907590759,0.15841584158415842,0.006600660066006601,0.9933993399339934,0.006600660066006601,Joseph C. Borelli RECAP,0.9933993399339934
