ED,Reported As,Reporting,Michael J. Cusick (Independence),Joe Tirone Jr. (Republican),Joe Tirone Jr. (Conservative),Scattered,Michael J. Cusick (Democratic),Total Votes,Michael J. Cusick RECAP,Joe Tirone Jr. RECAP,Scattered RECAP,p_Michael J. Cusick (Independence),p_Joe Tirone Jr. (Republican),p_Joe Tirone Jr. (Conservative),p_Scattered,p_Michael J. Cusick (Democratic),p_Michael J. Cusick RECAP,p_Joe Tirone Jr. RECAP,p_Scattered RECAP,winner,winner_p
63001,63001,100,5,107,24,0,152,288,157,131,0,0.017361111111111112,0.3715277777777778,0.08333333333333333,0.0,0.5277777777777778,0.5451388888888888,0.4548611111111111,0.0,Michael J. Cusick RECAP,0.5451388888888888
63002,63002,100,18,69,3,1,161,252,179,72,1,0.07142857142857142,0.27380952380952384,0.011904761904761904,0.003968253968253968,0.6388888888888888,0.7103174603174603,0.2857142857142857,0.003968253968253968,Michael J. Cusick RECAP,0.7103174603174603
63003,63003,100,18,66,16,0,125,225,143,82,0,0.08,0.29333333333333333,0.07111111111111111,0.0,0.5555555555555556,0.6355555555555555,0.36444444444444446,0.0,Michael J. Cusick RECAP,0.6355555555555555
63004,63004,100,15,108,17,0,101,241,116,125,0,0.06224066390041494,0.44813278008298757,0.07053941908713693,0.0,0.4190871369294606,0.48132780082987553,0.5186721991701245,0.0,Joe Tirone Jr. RECAP,0.5186721991701245
63005,63005,100,12,127,17,0,98,254,110,144,0,0.047244094488188976,0.5,0.06692913385826772,0.0,0.3858267716535433,0.4330708661417323,0.5669291338582677,0.0,Joe Tirone Jr. RECAP,0.5669291338582677
63006,63006,100,15,106,19,0,84,224,99,125,0,0.06696428571428571,0.4732142857142857,0.08482142857142858,0.0,0.375,0.4419642857142857,0.5580357142857143,0.0,Joe Tirone Jr. RECAP,0.5580357142857143
63007,63007,100,13,67,12,2,124,218,137,79,2,0.05963302752293578,0.3073394495412844,0.05504587155963303,0.009174311926605505,0.5688073394495413,0.6284403669724771,0.3623853211009174,0.009174311926605505,Michael J. Cusick RECAP,0.6284403669724771
63008,63008,100,14,85,12,0,71,182,85,97,0,0.07692307692307693,0.46703296703296704,0.06593406593406594,0.0,0.3901098901098901,0.46703296703296704,0.532967032967033,0.0,Joe Tirone Jr. RECAP,0.532967032967033
63009,63009,100,1,13,0,0,8,22,9,13,0,0.045454545454545456,0.5909090909090909,0.0,0.0,0.36363636363636365,0.4090909090909091,0.5909090909090909,0.0,Joe Tirone Jr. RECAP,0.5909090909090909
63010,63010,100,5,39,6,0,98,148,103,45,0,0.033783783783783786,0.2635135135135135,0.04054054054054054,0.0,0.6621621621621622,0.6959459459459459,0.30405405405405406,0.0,Michael J. Cusick RECAP,0.6959459459459459
63011,63011,100,20,120,26,0,206,372,226,146,0,0.053763440860215055,0.3225806451612903,0.06989247311827956,0.0,0.553763440860215,0.6075268817204301,0.3924731182795699,0.0,Michael J. Cusick RECAP,0.6075268817204301
63012,63012,100,21,138,20,0,194,373,215,158,0,0.05630026809651475,0.3699731903485255,0.05361930294906166,0.0,0.5201072386058981,0.5764075067024129,0.42359249329758714,0.0,Michael J. Cusick RECAP,0.5764075067024129
63013,63013,100,21,64,12,1,166,264,187,76,1,0.07954545454545454,0.24242424242424243,0.045454545454545456,0.003787878787878788,0.6287878787878788,0.7083333333333334,0.2878787878787879,0.003787878787878788,Michael J. Cusick RECAP,0.7083333333333334
63014,63014,100,4,100,14,0,130,248,134,114,0,0.016129032258064516,0.4032258064516129,0.056451612903225805,0.0,0.5241935483870968,0.5403225806451613,0.4596774193548387,0.0,Michael J. Cusick RECAP,0.5403225806451613
63015,63015,100,13,90,13,0,160,276,173,103,0,0.04710144927536232,0.32608695652173914,0.04710144927536232,0.0,0.5797101449275363,0.6268115942028986,0.37318840579710144,0.0,Michael J. Cusick RECAP,0.6268115942028986
63016,63016,100,10,71,9,0,175,265,185,80,0,0.03773584905660377,0.2679245283018868,0.033962264150943396,0.0,0.660377358490566,0.6981132075471698,0.3018867924528302,0.0,Michael J. Cusick RECAP,0.6981132075471698
63017,63017,100,9,36,4,1,57,107,66,40,1,0.08411214953271028,0.3364485981308411,0.037383177570093455,0.009345794392523364,0.5327102803738317,0.616822429906542,0.37383177570093457,0.009345794392523364,Michael J. Cusick RECAP,0.616822429906542
63018,63018,100,23,114,15,1,122,275,145,129,1,0.08363636363636363,0.41454545454545455,0.05454545454545454,0.0036363636363636364,0.44363636363636366,0.5272727272727272,0.4690909090909091,0.0036363636363636364,Michael J. Cusick RECAP,0.5272727272727272
63019,63019,100,11,48,11,0,85,155,96,59,0,0.07096774193548387,0.3096774193548387,0.07096774193548387,0.0,0.5483870967741935,0.6193548387096774,0.38064516129032255,0.0,Michael J. Cusick RECAP,0.6193548387096774
63020,63020,100,17,92,12,1,128,250,145,104,1,0.068,0.368,0.048,0.004,0.512,0.58,0.416,0.004,Michael J. Cusick RECAP,0.58
63021,63021,100,21,130,14,0,112,277,133,144,0,0.07581227436823104,0.4693140794223827,0.05054151624548736,0.0,0.4043321299638989,0.48014440433212996,0.51985559566787,0.0,Joe Tirone Jr. RECAP,0.51985559566787
63022,63022,100,21,122,15,1,142,301,163,137,1,0.06976744186046512,0.4053156146179402,0.04983388704318937,0.0033222591362126247,0.4717607973421927,0.5415282392026578,0.45514950166112955,0.0033222591362126247,Michael J. Cusick RECAP,0.5415282392026578
63023,63023,100,21,145,16,0,178,360,199,161,0,0.058333333333333334,0.4027777777777778,0.044444444444444446,0.0,0.49444444444444446,0.5527777777777778,0.44722222222222224,0.0,Michael J. Cusick RECAP,0.5527777777777778
63024,63024,100,15,118,25,0,145,303,160,143,0,0.04950495049504951,0.38943894389438943,0.08250825082508251,0.0,0.47854785478547857,0.528052805280528,0.47194719471947194,0.0,Michael J. Cusick RECAP,0.528052805280528
63025,63025,100,14,95,14,1,199,323,213,109,1,0.043343653250773995,0.29411764705882354,0.043343653250773995,0.0030959752321981426,0.6160990712074303,0.6594427244582043,0.33746130030959753,0.0030959752321981426,Michael J. Cusick RECAP,0.6594427244582043
63026,63026,100,18,89,15,0,250,372,268,104,0,0.04838709677419355,0.239247311827957,0.04032258064516129,0.0,0.6720430107526881,0.7204301075268817,0.27956989247311825,0.0,Michael J. Cusick RECAP,0.7204301075268817
63027,63027,100,13,90,13,0,113,229,126,103,0,0.056768558951965066,0.3930131004366812,0.056768558951965066,0.0,0.49344978165938863,0.5502183406113537,0.4497816593886463,0.0,Michael J. Cusick RECAP,0.5502183406113537
63028,63028,100,17,134,32,0,152,335,169,166,0,0.050746268656716415,0.4,0.0955223880597015,0.0,0.4537313432835821,0.5044776119402985,0.4955223880597015,0.0,Michael J. Cusick RECAP,0.5044776119402985
63029,63029,100,11,128,25,0,162,326,173,153,0,0.03374233128834356,0.39263803680981596,0.07668711656441718,0.0,0.49693251533742333,0.5306748466257669,0.46932515337423314,0.0,Michael J. Cusick RECAP,0.5306748466257669
63030,63030,100,21,91,16,0,138,266,159,107,0,0.07894736842105263,0.34210526315789475,0.06015037593984962,0.0,0.518796992481203,0.5977443609022557,0.40225563909774437,0.0,Michael J. Cusick RECAP,0.5977443609022557
63031,63031,100,13,118,19,1,147,298,160,137,1,0.0436241610738255,0.3959731543624161,0.06375838926174497,0.003355704697986577,0.49328859060402686,0.5369127516778524,0.4597315436241611,0.003355704697986577,Michael J. Cusick RECAP,0.5369127516778524
63032,63032,100,16,135,18,0,177,346,193,153,0,0.046242774566473986,0.3901734104046243,0.05202312138728324,0.0,0.5115606936416185,0.5578034682080925,0.4421965317919075,0.0,Michael J. Cusick RECAP,0.5578034682080925
63033,63033,100,14,142,24,0,127,307,141,166,0,0.04560260586319218,0.46254071661237783,0.0781758957654723,0.0,0.41368078175895767,0.4592833876221498,0.5407166123778502,0.0,Joe Tirone Jr. RECAP,0.5407166123778502
63034,63034,100,12,83,7,0,88,190,100,90,0,0.06315789473684211,0.4368421052631579,0.03684210526315789,0.0,0.4631578947368421,0.5263157894736842,0.47368421052631576,0.0,Michael J. Cusick RECAP,0.5263157894736842
63035,63035,100,14,129,28,1,93,265,107,157,1,0.052830188679245285,0.4867924528301887,0.10566037735849057,0.0037735849056603774,0.35094339622641507,0.4037735849056604,0.5924528301886792,0.0037735849056603774,Joe Tirone Jr. RECAP,0.5924528301886792
63036,63036,100,18,159,21,1,205,404,223,180,1,0.04455445544554455,0.3935643564356436,0.05198019801980198,0.0024752475247524753,0.5074257425742574,0.551980198019802,0.44554455445544555,0.0024752475247524753,Michael J. Cusick RECAP,0.551980198019802
63037,63037,100,7,55,16,0,196,274,203,71,0,0.025547445255474453,0.20072992700729927,0.058394160583941604,0.0,0.7153284671532847,0.7408759124087592,0.2591240875912409,0.0,Michael J. Cusick RECAP,0.7408759124087592
63038,63038,100,14,41,14,0,221,290,235,55,0,0.04827586206896552,0.1413793103448276,0.04827586206896552,0.0,0.7620689655172413,0.8103448275862069,0.1896551724137931,0.0,Michael J. Cusick RECAP,0.8103448275862069
63039,63039,100,11,56,8,0,175,250,186,64,0,0.044,0.224,0.032,0.0,0.7,0.744,0.256,0.0,Michael J. Cusick RECAP,0.744
63040,63040,100,6,18,4,0,155,183,161,22,0,0.03278688524590164,0.09836065573770492,0.02185792349726776,0.0,0.8469945355191257,0.8797814207650273,0.12021857923497267,0.0,Michael J. Cusick RECAP,0.8797814207650273
63041,63041,100,2,7,1,0,121,131,123,8,0,0.015267175572519083,0.05343511450381679,0.007633587786259542,0.0,0.9236641221374046,0.9389312977099237,0.061068702290076333,0.0,Michael J. Cusick RECAP,0.9389312977099237
63042,63042,100,7,8,2,0,226,243,233,10,0,0.02880658436213992,0.03292181069958848,0.00823045267489712,0.0,0.9300411522633745,0.9588477366255144,0.0411522633744856,0.0,Michael J. Cusick RECAP,0.9588477366255144
63043,63043,100,6,28,3,0,226,263,232,31,0,0.022813688212927757,0.10646387832699619,0.011406844106463879,0.0,0.8593155893536122,0.8821292775665399,0.11787072243346007,0.0,Michael J. Cusick RECAP,0.8821292775665399
63044,63044,100,4,11,4,1,169,189,173,15,1,0.021164021164021163,0.0582010582010582,0.021164021164021163,0.005291005291005291,0.8941798941798942,0.9153439153439153,0.07936507936507936,0.005291005291005291,Michael J. Cusick RECAP,0.9153439153439153
63045,63045,100,2,8,3,1,181,195,183,11,1,0.010256410256410256,0.041025641025641026,0.015384615384615385,0.005128205128205128,0.9282051282051282,0.9384615384615385,0.05641025641025641,0.005128205128205128,Michael J. Cusick RECAP,0.9384615384615385
63046,63046,100,6,93,8,0,64,171,70,101,0,0.03508771929824561,0.543859649122807,0.04678362573099415,0.0,0.3742690058479532,0.4093567251461988,0.5906432748538012,0.0,Joe Tirone Jr. RECAP,0.5906432748538012
63047,63047,100,27,154,27,0,166,374,193,181,0,0.07219251336898395,0.4117647058823529,0.07219251336898395,0.0,0.44385026737967914,0.516042780748663,0.4839572192513369,0.0,Michael J. Cusick RECAP,0.516042780748663
63048,63048,100,9,178,15,0,137,339,146,193,0,0.02654867256637168,0.5250737463126843,0.04424778761061947,0.0,0.40412979351032446,0.4306784660766962,0.5693215339233039,0.0,Joe Tirone Jr. RECAP,0.5693215339233039
63049,63049,100,24,173,25,1,141,364,165,198,1,0.06593406593406594,0.47527472527472525,0.06868131868131869,0.0027472527472527475,0.3873626373626374,0.4532967032967033,0.5439560439560439,0.0027472527472527475,Joe Tirone Jr. RECAP,0.5439560439560439
63050,63050,100,20,146,23,1,169,359,189,169,1,0.055710306406685235,0.40668523676880225,0.06406685236768803,0.002785515320334262,0.47075208913649025,0.5264623955431755,0.47075208913649025,0.002785515320334262,Michael J. Cusick RECAP,0.5264623955431755
63051,63051,100,12,144,25,1,119,301,131,169,1,0.03986710963455149,0.47840531561461797,0.08305647840531562,0.0033222591362126247,0.3953488372093023,0.43521594684385384,0.5614617940199336,0.0033222591362126247,Joe Tirone Jr. RECAP,0.5614617940199336
63052,63052,100,14,115,15,0,92,236,106,130,0,0.059322033898305086,0.4872881355932203,0.0635593220338983,0.0,0.3898305084745763,0.4491525423728814,0.5508474576271186,0.0,Joe Tirone Jr. RECAP,0.5508474576271186
63053,63053,100,10,85,11,0,106,212,116,96,0,0.04716981132075472,0.4009433962264151,0.05188679245283019,0.0,0.5,0.5471698113207547,0.4528301886792453,0.0,Michael J. Cusick RECAP,0.5471698113207547
63054,63054,100,22,138,21,0,219,400,241,159,0,0.055,0.345,0.0525,0.0,0.5475,0.6025,0.3975,0.0,Michael J. Cusick RECAP,0.6025
63055,63055,100,10,97,19,0,124,250,134,116,0,0.04,0.388,0.076,0.0,0.496,0.536,0.464,0.0,Michael J. Cusick RECAP,0.536
63056,63056,100,15,70,11,0,170,266,185,81,0,0.05639097744360902,0.2631578947368421,0.041353383458646614,0.0,0.6390977443609023,0.6954887218045113,0.30451127819548873,0.0,Michael J. Cusick RECAP,0.6954887218045113
63057,63057,100,27,97,19,0,274,417,301,116,0,0.06474820143884892,0.23261390887290168,0.045563549160671464,0.0,0.657074340527578,0.7218225419664268,0.27817745803357313,0.0,Michael J. Cusick RECAP,0.7218225419664268
63058,63058,100,14,123,21,0,214,372,228,144,0,0.03763440860215054,0.33064516129032256,0.056451612903225805,0.0,0.5752688172043011,0.6129032258064516,0.3870967741935484,0.0,Michael J. Cusick RECAP,0.6129032258064516
63059,63059,100,22,140,36,1,180,379,202,176,1,0.05804749340369393,0.36939313984168864,0.09498680738786279,0.002638522427440633,0.47493403693931396,0.5329815303430079,0.46437994722955145,0.002638522427440633,Michael J. Cusick RECAP,0.5329815303430079
63060,63060,100,25,133,37,2,160,357,185,170,2,0.0700280112044818,0.37254901960784315,0.10364145658263306,0.0056022408963585435,0.4481792717086835,0.5182072829131653,0.47619047619047616,0.0056022408963585435,Michael J. Cusick RECAP,0.5182072829131653
63061,63061,100,18,92,19,1,147,277,165,111,1,0.06498194945848375,0.33212996389891697,0.06859205776173286,0.0036101083032490976,0.5306859205776173,0.5956678700361011,0.4007220216606498,0.0036101083032490976,Michael J. Cusick RECAP,0.5956678700361011
63062,63062,100,11,144,29,0,85,269,96,173,0,0.040892193308550186,0.5353159851301115,0.10780669144981413,0.0,0.3159851301115242,0.35687732342007433,0.6431226765799256,0.0,Joe Tirone Jr. RECAP,0.6431226765799256
63063,63063,100,18,178,42,1,155,394,173,220,1,0.04568527918781726,0.4517766497461929,0.1065989847715736,0.0025380710659898475,0.3934010152284264,0.43908629441624364,0.5583756345177665,0.0025380710659898475,Joe Tirone Jr. RECAP,0.5583756345177665
63064,63064,100,39,176,49,0,229,493,268,225,0,0.07910750507099391,0.35699797160243407,0.09939148073022312,0.0,0.4645030425963489,0.5436105476673428,0.4563894523326572,0.0,Michael J. Cusick RECAP,0.5436105476673428
63065,63065,100,18,109,39,0,151,317,169,148,0,0.056782334384858045,0.3438485804416404,0.12302839116719243,0.0,0.47634069400630913,0.5331230283911672,0.4668769716088328,0.0,Michael J. Cusick RECAP,0.5331230283911672
63066,63066,100,25,132,31,0,207,395,232,163,0,0.06329113924050633,0.3341772151898734,0.07848101265822785,0.0,0.5240506329113924,0.5873417721518988,0.41265822784810124,0.0,Michael J. Cusick RECAP,0.5873417721518988
63067,63067,100,21,117,36,0,143,317,164,153,0,0.06624605678233439,0.36908517350157727,0.11356466876971609,0.0,0.45110410094637227,0.5173501577287066,0.48264984227129337,0.0,Michael J. Cusick RECAP,0.5173501577287066
63068,63068,100,16,73,6,1,181,277,197,79,1,0.05776173285198556,0.26353790613718414,0.021660649819494584,0.0036101083032490976,0.6534296028880866,0.7111913357400722,0.2851985559566787,0.0036101083032490976,Michael J. Cusick RECAP,0.7111913357400722
63069,63069,100,8,60,20,0,95,183,103,80,0,0.04371584699453552,0.32786885245901637,0.1092896174863388,0.0,0.5191256830601093,0.5628415300546448,0.4371584699453552,0.0,Michael J. Cusick RECAP,0.5628415300546448
63070,63070,100,9,81,13,0,69,172,78,94,0,0.05232558139534884,0.47093023255813954,0.0755813953488372,0.0,0.4011627906976744,0.45348837209302323,0.5465116279069767,0.0,Joe Tirone Jr. RECAP,0.5465116279069767
63071,63071,100,7,19,4,0,153,183,160,23,0,0.03825136612021858,0.10382513661202186,0.02185792349726776,0.0,0.8360655737704918,0.8743169398907104,0.12568306010928962,0.0,Michael J. Cusick RECAP,0.8743169398907104
63072,63072,100,16,142,23,1,137,319,153,165,1,0.050156739811912224,0.445141065830721,0.07210031347962383,0.003134796238244514,0.42946708463949845,0.47962382445141066,0.5172413793103449,0.003134796238244514,Joe Tirone Jr. RECAP,0.5172413793103449
63073,63073,100,11,119,25,0,106,261,117,144,0,0.0421455938697318,0.4559386973180077,0.09578544061302682,0.0,0.4061302681992337,0.4482758620689655,0.5517241379310345,0.0,Joe Tirone Jr. RECAP,0.5517241379310345
63074,63074,100,7,67,16,0,90,180,97,83,0,0.03888888888888889,0.37222222222222223,0.08888888888888889,0.0,0.5,0.5388888888888889,0.46111111111111114,0.0,Michael J. Cusick RECAP,0.5388888888888889
63075,63075,100,12,24,3,1,137,177,149,27,1,0.06779661016949153,0.13559322033898305,0.01694915254237288,0.005649717514124294,0.7740112994350282,0.8418079096045198,0.15254237288135594,0.005649717514124294,Michael J. Cusick RECAP,0.8418079096045198
63076,63076,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
63077,63077,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
