ED,Reported As,Reporting,Andrew J. Lanza (Conservative),Andrew J. Lanza (Republican),Gary W. Carsel (Democratic),Andrew J. Lanza (Independence),Scattered,Gary W. Carsel (Working Families),Total Votes,Andrew J. Lanza RECAP,Gary W. Carsel RECAP,Scattered RECAP,p_Andrew J. Lanza (Conservative),p_Andrew J. Lanza (Republican),p_Gary W. Carsel (Democratic),p_Andrew J. Lanza (Independence),p_Scattered,p_Gary W. Carsel (Working Families),p_Andrew J. Lanza RECAP,p_Gary W. Carsel RECAP,p_Scattered RECAP,winner,winner_p
61034,61034,100,39,224,73,18,1,11,366,281,84,1,0.10655737704918032,0.6120218579234973,0.1994535519125683,0.04918032786885246,0.00273224043715847,0.030054644808743168,0.76775956284153,0.22950819672131148,0.00273224043715847,Andrew J. Lanza RECAP,0.76775956284153
61035,61035,100,35,185,47,18,0,8,293,238,55,0,0.11945392491467577,0.6313993174061433,0.16040955631399317,0.06143344709897611,0.0,0.027303754266211604,0.8122866894197952,0.18771331058020477,0.0,Andrew J. Lanza RECAP,0.8122866894197952
61036,61036,100,17,116,39,10,0,3,185,143,42,0,0.0918918918918919,0.6270270270270271,0.21081081081081082,0.05405405405405406,0.0,0.016216216216216217,0.772972972972973,0.22702702702702704,0.0,Andrew J. Lanza RECAP,0.772972972972973
61037,61037,100,38,132,109,17,0,32,328,187,141,0,0.11585365853658537,0.4024390243902439,0.3323170731707317,0.051829268292682924,0.0,0.0975609756097561,0.5701219512195121,0.4298780487804878,0.0,Andrew J. Lanza RECAP,0.5701219512195121
61038,61038,100,41,245,106,26,1,11,430,312,117,1,0.09534883720930233,0.5697674418604651,0.24651162790697675,0.06046511627906977,0.002325581395348837,0.02558139534883721,0.7255813953488373,0.27209302325581397,0.002325581395348837,Andrew J. Lanza RECAP,0.7255813953488373
61039,61039,100,51,241,118,25,2,18,455,317,136,2,0.11208791208791209,0.5296703296703297,0.25934065934065936,0.054945054945054944,0.004395604395604396,0.03956043956043956,0.6967032967032967,0.2989010989010989,0.004395604395604396,Andrew J. Lanza RECAP,0.6967032967032967
61040,61040,100,60,284,114,28,1,17,504,372,131,1,0.11904761904761904,0.5634920634920635,0.2261904761904762,0.05555555555555555,0.001984126984126984,0.03373015873015873,0.7380952380952381,0.25992063492063494,0.001984126984126984,Andrew J. Lanza RECAP,0.7380952380952381
61041,61041,100,47,256,87,19,0,10,419,322,97,0,0.11217183770883055,0.6109785202863962,0.20763723150357996,0.045346062052505964,0.0,0.02386634844868735,0.7684964200477327,0.2315035799522673,0.0,Andrew J. Lanza RECAP,0.7684964200477327
61042,61042,100,45,283,105,26,0,34,493,354,139,0,0.09127789046653144,0.5740365111561866,0.2129817444219067,0.05273833671399594,0.0,0.06896551724137931,0.718052738336714,0.281947261663286,0.0,Andrew J. Lanza RECAP,0.718052738336714
61043,61043,100,47,234,87,28,1,9,406,309,96,1,0.11576354679802955,0.5763546798029556,0.21428571428571427,0.06896551724137931,0.0024630541871921183,0.022167487684729065,0.7610837438423645,0.23645320197044334,0.0024630541871921183,Andrew J. Lanza RECAP,0.7610837438423645
61044,61044,100,42,163,53,9,1,11,279,214,64,1,0.15053763440860216,0.5842293906810035,0.18996415770609318,0.03225806451612903,0.0035842293906810036,0.03942652329749104,0.7670250896057348,0.22939068100358423,0.0035842293906810036,Andrew J. Lanza RECAP,0.7670250896057348
61045,61045,100,41,193,47,15,0,8,304,249,55,0,0.13486842105263158,0.6348684210526315,0.15460526315789475,0.049342105263157895,0.0,0.02631578947368421,0.819078947368421,0.18092105263157895,0.0,Andrew J. Lanza RECAP,0.819078947368421
61046,61046,100,38,239,79,19,0,11,386,296,90,0,0.09844559585492228,0.6191709844559585,0.20466321243523317,0.04922279792746114,0.0,0.02849740932642487,0.7668393782383419,0.23316062176165803,0.0,Andrew J. Lanza RECAP,0.7668393782383419
61047,61047,100,21,179,47,7,0,4,258,207,51,0,0.08139534883720931,0.6937984496124031,0.1821705426356589,0.027131782945736434,0.0,0.015503875968992248,0.8023255813953488,0.19767441860465115,0.0,Andrew J. Lanza RECAP,0.8023255813953488
61048,61048,100,25,199,34,12,0,4,274,236,38,0,0.09124087591240876,0.7262773722627737,0.12408759124087591,0.043795620437956206,0.0,0.014598540145985401,0.8613138686131386,0.1386861313868613,0.0,Andrew J. Lanza RECAP,0.8613138686131386
61062,61062,100,21,131,51,6,0,5,214,158,56,0,0.09813084112149532,0.6121495327102804,0.2383177570093458,0.028037383177570093,0.0,0.02336448598130841,0.7383177570093458,0.2616822429906542,0.0,Andrew J. Lanza RECAP,0.7383177570093458
62001,62001,100,36,274,47,10,0,3,370,320,50,0,0.0972972972972973,0.7405405405405405,0.12702702702702703,0.02702702702702703,0.0,0.008108108108108109,0.8648648648648649,0.13513513513513514,0.0,Andrew J. Lanza RECAP,0.8648648648648649
62002,62002,100,61,279,39,16,1,9,405,356,48,1,0.1506172839506173,0.6888888888888889,0.0962962962962963,0.03950617283950617,0.0024691358024691358,0.022222222222222223,0.8790123456790123,0.11851851851851852,0.0024691358024691358,Andrew J. Lanza RECAP,0.8790123456790123
62003,62003,100,33,250,36,16,0,3,338,299,39,0,0.09763313609467456,0.7396449704142012,0.10650887573964497,0.047337278106508875,0.0,0.008875739644970414,0.8846153846153846,0.11538461538461539,0.0,Andrew J. Lanza RECAP,0.8846153846153846
62004,62004,100,27,224,36,12,0,10,309,263,46,0,0.08737864077669903,0.7249190938511327,0.11650485436893204,0.038834951456310676,0.0,0.032362459546925564,0.8511326860841424,0.1488673139158576,0.0,Andrew J. Lanza RECAP,0.8511326860841424
62005,62005,100,33,244,33,18,0,2,330,295,35,0,0.1,0.7393939393939394,0.1,0.05454545454545454,0.0,0.006060606060606061,0.8939393939393939,0.10606060606060606,0.0,Andrew J. Lanza RECAP,0.8939393939393939
62006,62006,100,51,237,57,25,1,10,381,313,67,1,0.13385826771653545,0.6220472440944882,0.14960629921259844,0.06561679790026247,0.0026246719160104987,0.026246719160104987,0.821522309711286,0.17585301837270342,0.0026246719160104987,Andrew J. Lanza RECAP,0.821522309711286
62007,62007,100,65,243,49,15,1,8,381,323,57,1,0.17060367454068243,0.6377952755905512,0.12860892388451445,0.03937007874015748,0.0026246719160104987,0.02099737532808399,0.847769028871391,0.14960629921259844,0.0026246719160104987,Andrew J. Lanza RECAP,0.847769028871391
62008,62008,100,43,236,38,20,0,4,341,299,42,0,0.12609970674486803,0.6920821114369502,0.11143695014662756,0.05865102639296188,0.0,0.011730205278592375,0.8768328445747801,0.12316715542521994,0.0,Andrew J. Lanza RECAP,0.8768328445747801
62009,62009,100,19,139,32,5,0,3,198,163,35,0,0.09595959595959595,0.702020202020202,0.16161616161616163,0.025252525252525252,0.0,0.015151515151515152,0.8232323232323232,0.17676767676767677,0.0,Andrew J. Lanza RECAP,0.8232323232323232
